Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
4,"TIRUVALLUVAR COLLEGE, THAVATHIRU KUNDRAKUDI ADIKALAR AUDITORIAM, EASTERN PORTION, PAPANASAM, VICKRAMASINGAPURAM - 2","1 - Vickramasingapuram (M), Amboor Road Door no.1 to 635",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.4750593824228029
7,"TIRUVALLUVAR COLLEGE, HISTRY BLOCK , EASTERN PORTION, PAPANASAM","1 - Vickramasingapuram (M), Agasthier Kovil Street",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,18,2.834645669291338
17,"P.L.W.A PRIMARY SCHOOL, SOUTHERN BUILDING EASTERN PORTION, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Vickramasingapuarm  Main Road",Tamilaga Vettri Kazhagam,Indian National Congress,2,0.3795066413662239
19,"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING, WEST PORTION (HALL NO.5), VICKRAMASINGAPURAM - 1","1 - Vickramasingapuarm (M), North Car Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,3.612716763005781
20,"ST.JOSEPHS PRIMARY SCHOOL, ROOM NO. 2, NEW BUILDING, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Pasukidaivizhai Road",Indian National Congress,Tamilaga Vettri Kazhagam,9,2.295918367346939
21,"ST.JOSEPHS PRIMARY SCHOOL, ROOM NO. 3, NEW BUILDING, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Subramaniasamy Koil Street",Indian National Congress,Tamilaga Vettri Kazhagam,25,4.173622704507513
22,"ST.MARY`S HR.SEC.SCHOOL, EASTERN BUILDING NORTH PORTION ROOM NO 2 VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Pasukidaivilai West Street",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,25,3.201024327784891
24,"ST.MARY`S HR.SEC.SCHOOL, SILVER JUBLEE BLOCK WESTERN PORTION        VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Arunachalapuram North Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,11,1.80921052631579
28,"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING. EASTERN PORTION, VICKRAMASINGAPURAM - 1","1 - Vickramasingapuarm (M), Mupudathy Amman Kovil North Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,4,0.6514657980456027
29,"PANCHAYAT UNION MIDDLE SCHOOL, SOUTHERN PORTION SANNATHI STREET, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Old Office Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,3.069053708439898
30,"P.L.W.A PRIMARY SCHOOL, EASTERN BUILDING (MIDDLE PORTION) VICKRAMASINGAPURM","1 - Vickramasingapuarm (M), Main Road",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,23,3.116531165311653
