Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, GOLDEN JUBLIE BUILDING, ROOM NO. 29, EASTERN PORTION, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, GOLDEN JUBLIE BUILDING, ROOM NO. 31, WESTERN PORTION, AMBASAMUDRAM",1,Tamilaga Vettri Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, NORTHERN BUILDING EAST PORTION AMBASAMUDRAM",1,Tamilaga Vettri Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, NORTHERN BUILDING, SOUTH PORTION AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 1 AMBASAMUDRAM.",1,All India Anna Dravida Munnetra Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, OLD NABORAD BUDILING, HALL NO. 3 AMBASAMUDRAM.",1,All India Anna Dravida Munnetra Kazhagam,1
"A.V.R.M.V. GOVT.GIRLS HR.SEC. SCHOOL, S.S.A BUILDING BLOCK NO.1 CENTRAL PORTION AMBASAMUDRAM",1,Tamilaga Vettri Kazhagam,1
"ANDREWS METRICULATION HR. SEC.SCHOOL, SOUTH BUILDING, EASTERN PORTION, STD-2nd A1, EAST KOTTARAM, VICKRAMASINGAPURAM.",1,All India Anna Dravida Munnetra Kazhagam,1
"ANDREWS METRICULATION HR. SEC.SCHOOL, SOUTH BUILDING, WESTERN PORTION, STD-1A, EAST KOTTARAM, VICKRAMASINGAPURAM.",1,Indian National Congress,1
"ANGANVADI BUILDING, BRAMADESAM",1,All India Anna Dravida Munnetra Kazhagam,1
"ANGANWADI BUILDING, ADAYAKARUNKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"ANGANWADI BUILDING, ROOOM NO 35 UTHIRAMUTHAPATTI, SIVANTHIPURAM ( NEAR VAO OFFICE)",1,All India Anna Dravida Munnetra Kazhagam,1
"ANGANWADI BUILDING, URKAD",1,All India Anna Dravida Munnetra Kazhagam,1
ANTONY METRIC HR SEC.SCHOOL MAIN BLOCK HALL.NO.NEARST OFFICE ROOM,1,All India Anna Dravida Munnetra Kazhagam,1
Assiesi Matric hr Sec school Eastrn Block  center portion,1,Indian National Congress,1
Assiesi Matric hr Sec school Eastrn Block northern portion,1,Indian National Congress,1
"B.B.T.C PRIMARY SCHOOL, WESTERN PORTION NALUMUKKU",1,Tamilaga Vettri Kazhagam,1
"B.B.T.C.PRIMARY SCHOOL, EAST PORTION WEST SIDE
MANJOLAI",1,Tamilaga Vettri Kazhagam,1
"B.B.T.C.PRIMARY SCHOOL, OOTHU",1,Tamilaga Vettri Kazhagam,1
"BARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.7 EASTERN BUILDING, VEERAVANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"BARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.8 EAST BUILDING, NORTH BLOCK, WEST PORTION, VEERAVANALLUR",1,Indian National Congress,1
"BHARATHI HARIJAN PRIMARY SCHOOL, NEW BUILDING, WESTERN PORTION, AYAN SINGAMPATTI",1,Indian National Congress,1
