Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
3,"PANCHAYAT UNION MIDDLE SCHOOL, NEW BUILDING SOUTHERN, LOWER DAM, PAPANASAM","1 - Vickramasingapuram (M), Papanasam Lower Dam",Indian National Congress,11.428571428571429
7,"TIRUVALLUVAR COLLEGE, HISTRY BLOCK , EASTERN PORTION, PAPANASAM","1 - Vickramasingapuram (M), Agasthier Kovil Street",All India Anna Dravida Munnetra Kazhagam,2.8257456828885403
22,"ST.MARY`S HR.SEC.SCHOOL, EASTERN BUILDING NORTH PORTION ROOM NO 2 VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Pasukidaivilai West Street",All India Anna Dravida Munnetra Kazhagam,3.188775510204082
23,"ST.MARY`S HR.SEC.SCHOOL, WESTERN BUILDING, HALL NO. , VICKRAMASINGAPURAM -1","1 - Vickramasingapuarm (M), Pasukidaivalai North Street",Indian National Congress,10.482921083627797
34,"ST.THERASA MIDDLE SCHOOL, EASTERN BUILDING, MAIN BUILDING VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Colony Main Road",Tamilaga Vettri Kazhagam,1.2379642365887207
42,"P.L.W.A HR.SEC.SCHOOL, ROOM.NO.7 SOUTHERN BUILDING VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Poonthottam Street",Tamilaga Vettri Kazhagam,8.969210174029453
47,"ST. SACRED HEART HIGH SCHOOL, EASTERN BUILDING NORTHRN PORTION ROOM NO.2 VICKRAMASINGAPURAM - 1","1 - Vickramasingapuram (M), Ambalavanapuram Main Road",Tamilaga Vettri Kazhagam,0.6622516556291391
48,"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, CENTRE PORTION, MUDALIARPATTI VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Agasthiyerpuram",Indian National Congress,7.100591715976331
49,"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, WESTERN PORTION, FACING SOUTH, MUDALIARPATTI VICKRAMASINGAPURAM - 2","2 - Vickramasingapuram (M), Agasthiyerpuram",Tamilaga Vettri Kazhagam,0.2976190476190476
50,"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, , MUDALIARPATTI VICKRAMASINGAPURAM - 2","1 - Vickramasingapuram (M), Vadamalaisamuthiram",Tamilaga Vettri Kazhagam,2.0146520146520146
51,"NADAR UNION MIDDLE SCHOOL, WESTERN BUILDING, EASTERN PORTION,MUDALIARPATTI
VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Muthu Nagar (Mudhaliyarpatti)",All India Anna Dravida Munnetra Kazhagam,19.92797118847539
68,"PANCHAYAT COMMUNITY HALL, EASTERN PORTION BRAMADESAM","1 - Brahmadesam (R.V), Brahmadesam (P), Brahmdesam",Indian National Congress,0.2949852507374631
69,"PUNCHAYAT UNION PRIMAY SCHOOL, EASTERN PORTION, VEILAN COLONY, BRAMMADESAM","1 - Brahmadesam (R.V), Brahmadesam (P), Veilan Colony",All India Anna Dravida Munnetra Kazhagam,10.177705977382875
