Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
13,"ST.XAVIER MIDDLE SCHOOL, SOUTH BUILDING NORTH PORTION, DEVASAHAYAPURAM ADIVARAM, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Kottaram Main Road",All India Anna Dravida Munnetra Kazhagam,10.57347670250896
36,"SENAITHALAIVAR PRIMARY SCHOOL, ADDITIONAL NEW BUILDING NORTH PORTION, VICKRAMASINGAPURM","1 - Vickramasingapuarm (M), Vaithilingapuram North Street",All India Anna Dravida Munnetra Kazhagam,10.778443113772456
52,"SRI RAMAR HINDU PRIMARY SCHOOL, KOTTAIVILAIPATTI VICKRAMASINGAPURAM -1","2 - Vickramasingapuram (M), Kottaivilaipatti",All India Anna Dravida Munnetra Kazhagam,17.89617486338798
53,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN PORTION, IYANARKULAM VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Iyanarkulam",All India Anna Dravida Munnetra Kazhagam,34.00735294117647
54,"PANCHAYAT UNION PRIMARY SCHOOL ,SOUTHERN BUILDING WEST SIDE MANNARKOVIL","1 - Mannarkovil (R.V), Mannarkovil  (P), Mannarkovil",All India Anna Dravida Munnetra Kazhagam,26.71232876712329
55,"PANCHAYAT UNION MIDDLE SCHOOL, EASTERN BUILDING, MANNARKOVIL","1 - Mannarkovil (R.V), Mannarkovil  (P), Mannarkovil",All India Anna Dravida Munnetra Kazhagam,16.666666666666664
56,GOVERNMENT HIGH SCHOOL EASTERN BUILDING MANNARKOVIL,"1 - Mannarkovil (R.V), Mannarkovil (P), Mannarkovil",All India Anna Dravida Munnetra Kazhagam,15.954415954415953
58,"SRI VEDHANARAYANAR NURSERY & PRIMARY SCHOOL, MANNARKOVIL.","1 - Mannarkovil (R.V), MannarKovil (P), Sivanthipettai",All India Anna Dravida Munnetra Kazhagam,17.63157894736842
61,"COMMUNITY HALL , SOUTHERN PORTION, KAKKANALLUR, AYAN THIRUVALEESWARAM","1 - Ayan Thiruvaliswaram (R.V), Ayan Thiruvaliswaram (P), Ayan Thiruvaliswaram North Street",All India Anna Dravida Munnetra Kazhagam,9.203980099502488
63,"HINDU PRIMARY SCHOOL, NEW BUILDING, SOUTH SIDE,","1 - Brahmadesam (R.V), Brahmadesam (P), Brahmadesam",All India Anna Dravida Munnetra Kazhagam,15.022091310751104
64,"SUYAUTHAVIKULU CENTRE MEETTING HALL,
BRAMADESAM","1 - Brahmadesam (R.V), Brahmadesam (P), Brahmadesam",All India Anna Dravida Munnetra Kazhagam,25.57726465364121
65,"ANGANVADI BUILDING, BRAMADESAM","1 - Brahmadesam (R.V), Brahmadesam (P), Brahmadesam",All India Anna Dravida Munnetra Kazhagam,30.842911877394634
70,"HINDU MIDDLE SCHOOL, WESTERN PORTION, VAGAIKUL","1 - Vagaikulam (R.V), Vagaikulam (P), Vagaikulam Block No 1",All India Anna Dravida Munnetra Kazhagam,12.322946175637393
72,"GRAMA SEVAI CENTRE, SATTUPATHU","1 - Sattupathu (R.V), Sattupathu (P), Block No 1,2 Ayan Sattupathu",All India Anna Dravida Munnetra Kazhagam,22.188449848024316
89,"KAMARAJAR MIDDLE SCHOOL, EASTERN POTION, SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 4 Uthiramuthanpatti",All India Anna Dravida Munnetra Kazhagam,5.665024630541872
91,"T.D.T.A.MIDDLE SCHOOL, SOUTHERN BUILIDING, EASTERN PORTION, KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (M), Block No 7 Sivandhipuram",All India Anna Dravida Munnetra Kazhagam,20.187793427230048
92,"T.D.T.A.MIDDLE SCHOOL, NORTHERN BUILDING, CENTRE PORTION, KEELA SIVANTHIPURAM","1 - Sivanthipuram (R.V), Sivanthipuram (P), Block No 9 Sivanthipuram",All India Anna Dravida Munnetra Kazhagam,16.666666666666664
95,"COMMITTEE HINDU PRIMARY SCHOOL, KODARANKULAM","1 - Kodarankulam(R.V),Kodarankulam(P), Kodarankulam north street",All India Anna Dravida Munnetra Kazhagam,25.276752767527675
96,"COMMITTEE HINDU PRIMARY SCHOOL, SOUTH EAST BUILDING, KODARANKULAM","1 - Kodarankulam (R.V), Kodarankulam (P), Block No 3",All India Anna Dravida Munnetra Kazhagam,26.501035196687372
