Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
1,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, UPPER DAM, VICKRAMASINGAPURAM","1 - Vickramasingapuram (M), Mailar",Indian National Congress,25.935828877005346
131,"MOHIDEEN FATHIMA MIDDLE SCHOOL, EAST BUILDING, NORTHERN PORTION, (STD - I & II) AMBASAMUDRAM.","2 - Ambasamudram (M), Thevamar Amman Kovil Street",Indian National Congress,26.50273224043716
165,"PANCHAYAT UNION PRIMARY SCHOOL, BRANCH BUILDING EASTERN BUILDING KALLIDAIKURICHI","1 - Kallidaikurichi (T.P), Ward No 4 Chinna Pallivasal Street",Indian National Congress,46.932952924393724
166,"PANCHAYAT UNION PRIMARY SCHOOL, BRANCH BUILDING SOUTHERN BUILDING KALLIDAIKURICHI","1 - Kallidaikurichi (T.P), Ward No 4 Periya Pallivasal Street",Indian National Congress,66.73387096774194
179,"PANCHYAT UNION PRIMERY SCHOOL, EASTERN BUILDING, SOUTH SIDE, NEW BUILDING KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 10 Rastha Kadai Street",Indian National Congress,47.19626168224299
189,"COMMUNITY HALL ,EASTERN PORTION KALLIDAIKURICHI","1 - Kallidaikurichi (M), Ward No 14 Kottai Street",Indian National Congress,19.300911854103344
212,"COMMITTEE PRIMARY SCHOOL ,EASTERN BUILDING NORTH SIDE GIRIAMMALPURAM","1 - Giriyammalpuram (R.V), Harikesavanallur (P), Block No 10 Muhamathiyar Street",Indian National Congress,34.42367601246106
229,"BHARATHIYAR GOVT.HR.SEC SCHOOL(New Building), WEST BUILDING, MIDDLE PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 12 Subbiah Tailor Street",Indian National Congress,23.26869806094183
262,"MUSLIM COMMITTEE HIGH SCHOOL, SOUTHERN BUILDING, EASTERN SIDE, CHERANMAHADEVI","1 - Cheran mahadevi  (P), Ward No. 11 North Road Street",Indian National Congress,37.0722433460076
263,"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING, CENTER SIDE, CHERANMAHADEVI","3 - Cheranmahadevi (P), Ward No. 11 Kaithemillathu Street",Indian National Congress,50.24390243902439
265,"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING (West Side), CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 11 Pallivasal Street.",Indian National Congress,31.045751633986928
270,"R.C.MIDDLE SCHOOL, MAIN BUILDING, ROOM NO-7A EASTERN PORTION, CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 10 Arasadi South Side Street",Indian National Congress,23.917525773195877
277,"RAMASESHIER HR.SEC. SCHOOL, WESTERN BUILDING, NORTHERN PORTION, PATHAMADAI","1 - Patthamadai  (P), Ward No. 9 West Car Street",Indian National Congress,48.191027496382056
278,"TOWN PUNCHAYAT OFFICE, PATHAMADAI","1 - Patthamadai  (P), Ward No. 9 North Car Street",Indian National Congress,65.96153846153847
279,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTH NEW BUILDING, PATHAMADAI","1 - Patthamadai  (P), Ward No. 7 Pallivasal East 3rd Street.",Indian National Congress,55.38461538461539
280,"TOWN PUNCHAYAT OFFICE, MEETING HALL, PATHAMADAI","1 - Patthamadai (P), Ward No. 11 Ambethkar Nagar 2nd Street.",Indian National Congress,28.998699609882966
281,"GOV.GIRLS HR SEC. SCHOOL, , COMPUTER ROOM, PATHAMADAI","1 - Patthamadai  (P), Ward No. 6 Ambethkar Nagar 6th Street",Indian National Congress,34.93635077793494
282,"GOV.GIRLS HR SEC. SCHOOL, ROOM NO.7, XII B CLASS ROOM, PATHAMADAI","1 - Patthamadai (P), Ward No. 8 Chinnamalukkamali East Street.",Indian National Congress,83.87573964497041
284,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN BUILDING, PATHAMADAI","1 - Patthamadai  (P), Ward No.10 Kundalakesi Street.",Indian National Congress,37.17532467532468
285,"GOVT. GIRLS. HR SEC. SCHOOL, CENTRAL BUILDING NORTHERN PORTION PATHAMADAI","1 - Patthamadai  (P), Ward No. 9 Puthukudi Manikkavasagar Street",Indian National Congress,28.985507246376812
286,"GOVT.GIRLS.HR.SEC.SCHOOL, NORTHERN BUILDING,SOUTHERN PORTION,PATHAMADAI","3 - Patthamadai (P), Ward No.12 Muthuperumal Street.",Indian National Congress,71.42857142857143
287,"PANCHAYAT UNION PRIMARY SCHOOL NORTH SIDE,PATHAMADAI","1 - Patthamadai  (P), Ward No. 11 Ahammad Maraikayar Street",Indian National Congress,35.61253561253561
298,"PANCHAYAT UNION PRIMARY SCHOOL, NORTH BUILDING, WESTERN PORTION, CHOKKALINGAPURAM","1 - Melacheval (P), Ward No 9 Muthu veerappuram street",Indian National Congress,41.45077720207254
310,"C.M.S.E.S DAVID MEMORIAL HR.SEC.SCHOOL, WESTERN PORTION, SOUTH SIDE KARISALPATTI","1 - Karisalpatti (R.V), Karisalpatti (P), Block No 1 Karisalpatti",Indian National Congress,30.019880715705767
318,"VILLAGE PANCHAYAT OFFICE, CENTRAL PORTION, NEW BUILDING, ULAGANKULAM","1 - Ulagankulam (R.V),, Block no 1",Indian National Congress,33.931777378815084
