Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
2,"PANCHAYAT UNION PRIMARY SCHOOL, MIDDLE PORTION SERVALAR","1 - Vickramasingapuram (M), Valaiyar Estate",Tamilaga Vettri Kazhagam,5.05050505050505
4,"TIRUVALLUVAR COLLEGE, THAVATHIRU KUNDRAKUDI ADIKALAR AUDITORIAM, EASTERN PORTION, PAPANASAM, VICKRAMASINGAPURAM - 2","1 - Vickramasingapuram (M), Amboor Road Door no.1 to 635",All India Anna Dravida Munnetra Kazhagam,0.4728132387706856
5,"TIRUVALLUVAR COLLEGE, M.Com., HALL NORTHERN PORTION, (NEAR ARULMUGU VETRIVINAYAGAR KOVIL) PAPANASAM, VICKRAMASINGAPURAM - 2","1 - Vickramasingapuram (M), Amboor Road  Door no.636 above",All India Anna Dravida Munnetra Kazhagam,7.218683651804671
6,"TIRUVALLUVAR COLLEGE, HISTRY BLOCK, WESTERN PORTION, PAPANASAM","1 - Vickramasingapuram (M), Pothigaiadi South Street",All India Anna Dravida Munnetra Kazhagam,6.581352833638025
8,"TIRUVALLUVAR COLLEGE, NEW SOUTH PORTION HALL NO.15, PAPANASAM","1 - Vickramasingapuram (M), Kuyavan Pothai.",All India Anna Dravida Munnetra Kazhagam,7.573149741824441
9,"TIRUVALLUVAR COLLEGE, NEW SOUTH PORTION HALL NO.18, PAPANASAM","1 - Vikramasingapuram (M), Sivaganapuram South Street",All India Anna Dravida Munnetra Kazhagam,5.949656750572083
10,Assiesi Matric hr Sec school Eastrn Block northern portion,"1 - Vickramasingapuram (M), Papanasam Main Road door no 1 to 150",Indian National Congress,6.904231625835189
11,Assiesi Matric hr Sec school Eastrn Block  center portion,"1 - Vickramasingapuram (M), Papanasam Main Road door no  150 to above",Indian National Congress,8.436724565756824
12,"TIRUVALLUVAR COLLEGE, EASTERN PORTION, EAST SIDE, PAPANASAM, VICKRAMASINGAPURAM.","1 - Vickramasingapuram (M), Erigal Parai North Street",Indian National Congress,13.229571984435799
14,"ST.XAVIER MIDDLE SCHOOL, SUVISHESAPURAM DEVASAHAYAPURAM MAIN ROAD, ADIVARAM, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Puthumanai East Street",Indian National Congress,14.040114613180515
15,"ANDREWS METRICULATION HR. SEC.SCHOOL, SOUTH BUILDING, WESTERN PORTION, STD-1A, EAST KOTTARAM, VICKRAMASINGAPURAM.","1 - Vickramasingapuarm (M), Devasahayam East Street",Indian National Congress,14.923076923076922
16,"ANDREWS METRICULATION HR. SEC.SCHOOL, SOUTH BUILDING, EASTERN PORTION, STD-2nd A1, EAST KOTTARAM, VICKRAMASINGAPURAM.","1 - Vickramasingapuarm (M), Kottaram Lane",All India Anna Dravida Munnetra Kazhagam,9.064327485380117
17,"P.L.W.A PRIMARY SCHOOL, SOUTHERN BUILDING EASTERN PORTION, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Vickramasingapuarm  Main Road",Tamilaga Vettri Kazhagam,0.37593984962406013
18,"P.L.W.A PRIMARY SCHOOL, SOUTHERN BUILDING WESTERN PORTION, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), South Car Street",Indian National Congress,6.156716417910448
19,"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING, WEST PORTION (HALL NO.5), VICKRAMASINGAPURAM - 1","1 - Vickramasingapuarm (M), North Car Street",All India Anna Dravida Munnetra Kazhagam,3.5919540229885056
20,"ST.JOSEPHS PRIMARY SCHOOL, ROOM NO. 2, NEW BUILDING, VICKRAMASINGAPURAM","1 - Vickramasingapuarm (M), Pasukidaivizhai Road",Indian National Congress,2.2900763358778624
