Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
9,"Govt.Kallar High School,West Side Building, B.Anaikaraipatti","1.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Main  Road
2.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 S.K.P. Nagar
3.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 North  Street
4.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Near Panchayat Building
5.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 EastColony 1st Street
6.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 East Colony 2nd Street
7.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 East Colony 3rd Street
8.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Kummasalai
9.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Meena Velakku
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,1.201923076923077
11,"Panchayat Union Middle School., North Side, Munthal","1.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Munthal  A.T. Colony
2.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Pitchangari
3.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Uralmethu
4.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Athiuthu Elangavarisai
5.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Kookthodu
6.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Uthamparai
7.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Solaiyur
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,3.806228373702422
16,"Govt. Hr.sec. School, South East Building, East Side, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-15 West Main Road
2.Boothipuram (R.V) And (T.P), Ward-13 South Savadi Street
3.Boothipuram (R.V) And (T.P), Ward-13 Subramaniyan Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,16,2.37037037037037
19,"Panchayat Union Ele. School, Eastern Side,East Block, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-8 Kamatchiyamman Kovil Street
2.Boothipuram (R.V) And (T.P), Ward-8 Velu Chettiar Street
3.Boothipuram (R.V) And (T.P), Ward-7 Moopar  Street
4.Boothipuram (R.V) And (T.P), Ward-7 kadambalingam Chettiar Street
5.Boothipuram (R.V) And (T.P), Ward-10 Theni Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,5,1.054852320675105
20,"Govt. Hr. Sec. School, New Building, North Side South Room, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-10 Thelungu Chettiar Street
2.Boothipuram (R.V) And (T.P), Ward-10 Palanisamy Gowdar Street
3.Boothipuram (R.V) And (T.P), Ward-10 Nattanmaikarar Street
4.Boothipuram (R.V) And (T.P), Ward-11 Jakkammal Kovil Street
5.Boothipuram (R.V) And (T.P), Ward-11 Mookan Moopar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,4.399999999999999
21,"Govt. Hr. Sec. School, Outer Side Building, North Side, South Facing, Center Room, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-12 Moottathevar Lane
2.Boothipuram (R.V) And (T.P), Ward-12 S.V. Pillai Lane
3.Boothipuram (R.V) And (T.P), Ward-11 Silampayammal Street
4.Boothipuram (R.V) And (T.P), Ward-11 Pattani Chettiar Street
5.Boothipuram (R.V) And (T.P), Ward-11 Sourth Savadi Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.994011976047904
29,"Senthil Middle School,Additional Buliding, North Room, Keppurenganpatti, Manjinayakanpatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Vinayagar Kovil Back Street
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 South Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Chinnadurai  Street
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Main Street
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Aasari Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Old Milk Society Street
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Muthian Aasari Street
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Balakrishnan Street
9.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Ponram   Street
10.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Mayasalai
11.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Seerangan Street
12.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Valayapatti Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,2.397743300423131
36,"Govt. Kallar Middle School, North Block, B.Meenakchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-1 Keerakadai  Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-1 Lakali Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-1 Maniyakar Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-1 North Aasari Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-2 North Pillaimar Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-2 Chithi Makkal Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-2 Palaniappan Aasari Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-15 Vinayakar Kovil Street
9.B.Meenakshipuram (R.V) And (T.P), Ward-15 Nagalingam Pillai Street
10.B.Meenakshipuram (R.V) And (T.P), Ward-15 Sankaramoorthi Pillai Street
11.B.Meenakshipuram (R.V) And (T.P), Ward-15 Ramar Pillai Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,2.803738317757009
37,"Govt. Kallar Middle. School, Southern Side, B.meenakchipuram.","1.B.Meenakshipuram (R.V) And (T.P), Ward-15 Kandiamman Kovil Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-15 Oorkalan Pillai Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-14 Punnaivanam Pillai Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-14 Sathuragiri Asari  Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-14 Kannimar Kovil Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-14 Pillaimar South  Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-12 Asari South Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-12 Subbyan Chettiar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,2.178423236514523
38,"M.K Hindu Aided Ele.School, East Side Building, B.meenakchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-11 Vinayakar Kovil Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-11 Petchiyamman Kovil Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-11 Gandhi Main Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-11 Kannimar Kovil Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-11 Karnam Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-11 Mariyamman Kovil Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-13 Perumal Kovil Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-13 Sankara Moorthiya Pillai Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,3.074433656957929
