Location and Name of Building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"10th Ward Municipal Elementary School, Eastern side, Bodinayakanur.",1,Tamilaga Vettri Kazhagam,1
"10th Ward Municipal Elementary School, Western side, Bodinayakanur.",1,Tamilaga Vettri Kazhagam,1
"10th Ward Municipal High School, East Side, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"10th Ward Municipal High School, South Side, Bodinayakanur.",1,Tamilaga Vettri Kazhagam,1
"1st Ward Municipal Elementary School,
North Side New Building , Municipal Travellers Bunglow Compound, Bodinayakanur.",1,Dravida Munnetra Kazhagam,1
"7th Municipal Higher Secondary School, Class Room 11th Std C Sec Western Side North Building  Paramasivan Kovil Street, Bodinayakanur",1,Tamilaga Vettri Kazhagam,1
"7th Municipal Higher Secondary School, East Side Building Paramasivan Kovil Street, Bodinayakanur.",1,Tamilaga Vettri Kazhagam,1
"7th Municipal Higher Secondary School, North Side, Additional Building, Paramasivan Kovil Street, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"7th Municipal Higher Secondary School, South Side, East Building Paramasivan Kovil Street, Bodinayakanur.",1,Tamilaga Vettri Kazhagam,1
"Adidravidar Welfare Ele. School,South Block, B.Meenatchipuram",1,Dravida Munnetra Kazhagam,1
"Adidravidar Welfare Ele.School, North Block, B.Meenakchipuram",1,Dravida Munnetra Kazhagam,1
"Amaravathi Middle School, North Building, Thiruchenthur",1,Tamilaga Vettri Kazhagam,1
"Anganwadi Centre No. 313, North Building, West Side, Mariamman Kovilpatti.",1,Tamilaga Vettri Kazhagam,1
"Anganwadi Centre No.18,North Side
Building, East Room,TVKK Nagar,
Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Anganwadi Centre No.22,North Side Building, West Room, TVKK Nagar, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
"Anganwadi Centre, East Side Facing, Bodendrapuram.",1,Dravida Munnetra Kazhagam,1
"Anganwadi Centre, RI Office Back Side, Kodangipatti",1,Dravida Munnetra Kazhagam,1
"Anna Memorial   Municipal Middle School, ICDS Centre No.32, North Side West Part, Bodinayakanur",1,Dravida Munnetra Kazhagam,1
