Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
6,"Panchayat Union Ele. School, Muthuvarkudi","1.Kottakudi (R.V) And (P), Ward-3 Muttam
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,20,15,10.416666666666668
7,"Veeravel Ele. School , (Block -3),Top Station","1.Kottakudi (R.V) And (P), Ward-4 Top Station
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,60,35,21.929824561403507
10,"Panchayat Union Middle School., South Side, Munthal","1.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Munthal Kurangani Main Road
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,357,231,16.62269129287599
11,"Panchayat Union Middle School., North Side, Munthal","1.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Munthal  A.T. Colony
2.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Pitchangari
3.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Uralmethu
4.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Athiuthu Elangavarisai
5.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Kookthodu
6.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Uthamparai
7.Bodinayakanur (R.V), Anaikaraipatti (P), Ward-1 Solaiyur
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,253,231,3.7996545768566494
13,"Govt. Adidravidar Residential School, North Block Upstairs, Kannakarai","1.Agamalai (R.V) And (P), Ward-2 Alangaram-1
2.Agamalai (R.V) And (P), Ward-2 Chokkan Alai
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,66,46,13.245033112582782
14,"Panchayat Union Elementary School, Oothukadu","1.Agamalai (R.V) And (P), Ward-3 Uthukadu
2.Agamalai (R.V) And (P), Ward-3 Subramaniyapuram
3.Agamalai (R.V) And (P), Ward-3 Uradi
4.Agamalai (R.V) And (P), Ward-3 Periyamoongil
5.Agamalai (R.V) And (P), Ward-3 Petchiyamman Solai
6.Agamalai (R.V) And (P), Ward-3 Karumparai
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,100,52,21.818181818181817
36,"Govt. Kallar Middle School, North Block, B.Meenakchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-1 Keerakadai  Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-1 Lakali Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-1 Maniyakar Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-1 North Aasari Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-2 North Pillaimar Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-2 Chithi Makkal Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-2 Palaniappan Aasari Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-15 Vinayakar Kovil Street
9.B.Meenakshipuram (R.V) And (T.P), Ward-15 Nagalingam Pillai Street
10.B.Meenakshipuram (R.V) And (T.P), Ward-15 Sankaramoorthi Pillai Street
11.B.Meenakshipuram (R.V) And (T.P), Ward-15 Ramar Pillai Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,238,220,2.803738317757009
37,"Govt. Kallar Middle. School, Southern Side, B.meenakchipuram.","1.B.Meenakshipuram (R.V) And (T.P), Ward-15 Kandiamman Kovil Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-15 Oorkalan Pillai Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-14 Punnaivanam Pillai Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-14 Sathuragiri Asari  Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-14 Kannimar Kovil Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-14 Pillaimar South  Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-12 Asari South Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-12 Subbyan Chettiar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,318,297,2.1784232365145226
38,"M.K Hindu Aided Ele.School, East Side Building, B.meenakchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-11 Vinayakar Kovil Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-11 Petchiyamman Kovil Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-11 Gandhi Main Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-11 Kannimar Kovil Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-11 Karnam Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-11 Mariyamman Kovil Street
7.B.Meenakshipuram (R.V) And (T.P), Ward-13 Perumal Kovil Street
8.B.Meenakshipuram (R.V) And (T.P), Ward-13 Sankara Moorthiya Pillai Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,203,184,3.0844155844155843
43,"Maravar Munnettra Sangam, Sowendravel Nagar, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Valasathurai Road Street-1
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,233,207,5.138339920948617
