Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
19,"Panchayat Union Ele. School, Eastern Side,East Block, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-8 Kamatchiyamman Kovil Street
2.Boothipuram (R.V) And (T.P), Ward-8 Velu Chettiar Street
3.Boothipuram (R.V) And (T.P), Ward-7 Moopar  Street
4.Boothipuram (R.V) And (T.P), Ward-7 kadambalingam Chettiar Street
5.Boothipuram (R.V) And (T.P), Ward-10 Theni Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,179,174,1.059322033898305
20,"Govt. Hr. Sec. School, New Building, North Side South Room, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-10 Thelungu Chettiar Street
2.Boothipuram (R.V) And (T.P), Ward-10 Palanisamy Gowdar Street
3.Boothipuram (R.V) And (T.P), Ward-10 Nattanmaikarar Street
4.Boothipuram (R.V) And (T.P), Ward-11 Jakkammal Kovil Street
5.Boothipuram (R.V) And (T.P), Ward-11 Mookan Moopar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,179,157,4.39121756487026
22,"Govt. Kallar Ele. School , Additional Building, North Side, Valaiyathupatti","1.Boothipuram (R.V) And (T.P), Ward-5 Periya Bazar Street
2.Boothipuram (R.V) And (T.P), Ward-5 Okkaligar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,325,235,10.75268817204301
23,"Govt. Kallar Ele. School , South Side, Valaiyathupatti","1.Boothipuram (R.V) And (T.P), Ward-3 Thelungu Chettiar Street
2.Boothipuram (R.V) And (T.P), Ward-1 Mallaya Gowdar Street
3.Boothipuram (R.V) And (T.P), Ward-3 Orkalan Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,304,256,5.6939501779359425
24,"Govt. Kallar Ele. School, Additional Building, South Side,  Valaiyathupatti","1.Boothipuram (R.V) And (T.P), Ward-1 Harijana Street
2.Boothipuram (R.V) And (T.P), Ward-1 Pootchi Mayandi Thevar Street
3.Boothipuram (R.V) And (T.P), Ward-1 Perumal Gowndar Street
4.Boothipuram (R.V) And (T.P), Ward-1 Kuttirasu Street
5.Boothipuram (R.V) And (T.P), Ward-5 Periya Bazar Street
6.Boothipuram (R.V) And (T.P), Ward-5 Sivanandi Thevar Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,237,173,10.613598673300165
25,"Govt. Kallar Ele. School, Additional Building, North Side,  Valaiyathupatti","1.Boothipuram (R.V) And (T.P), Ward-5 Valaiyathuppatti Periya Street
2.Boothipuram (R.V) And (T.P), Ward-7 Railway Station Street
3.Boothipuram (R.V) And (T.P), Ward-2 Moopar Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,249,186,9.531013615733738
28,"Senthil Middle School,Additional Building,Middle Room, Keppurenganpatti, Manjinayakanpatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Keppurangan Patti Main Road
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Manimuthu Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Nayakkar West Street
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Panchayat Union Street
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Subbayan Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 U.Ramasamy  Street
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Thirupathi House Street
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Manjinayakkanpatti Main Road
9.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Sangili Street
10.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Pandaram Street
11.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Vinayagar Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,260,216,6.294706723891273
29,"Senthil Middle School,Additional Buliding, North Room, Keppurenganpatti, Manjinayakanpatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 Vinayagar Kovil Back Street
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-2 South Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Chinnadurai  Street
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Main Street
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Aasari Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Old Milk Society Street
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Muthian Aasari Street
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Balakrishnan Street
9.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Ponram   Street
10.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Mayasalai
11.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Seerangan Street
12.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-3 Valayapatti Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,245,228,2.401129943502825
30,"Panchayat Union Middle School, Old Building, North Side, South Facing Room, Valayapatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Valayapatti Oonippathai West
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 West Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Savadi Street West
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Main Road
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Main Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Savadi Street
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Veeruchinnammal Kovil Street
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Thottathu Veedu North
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,244,152,15.807560137457044
51,"Resource Room and Day Care for Children with Disabilities,East Building, South Room, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-31 T.V.K.K.Nagar 1st Street
2.Bodinayakanur (R.V) And (M), Ward-2 Chellakaliyamman Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,171,121,11.441647597254006
