Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
8,"Govt. Kallar High School,Old Building, Eastern side, X Std.Room, B.Anaikaraipatti","1.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 South Street
2.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 1st East Street
3.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 2nd East Street
4.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 3rd EastStreet
5.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 4th East Street
6.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 1st West Street
7.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 2nd West Street
8.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 3rd  West Street
9.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 Middle Street
10.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 Main  Road
11.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-2 Sannasipuram
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,444,340,10.81081081081081
9,"Govt.Kallar High School,West Side Building, B.Anaikaraipatti","1.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Main  Road
2.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 S.K.P. Nagar
3.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 North  Street
4.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Near Panchayat Building
5.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 EastColony 1st Street
6.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 East Colony 2nd Street
7.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 East Colony 3rd Street
8.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Kummasalai
9.B.Meenakshipuram (R.V), Anaikaraipatti (P), Ward-3 Meena Velakku
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,342,332,1.2062726176115801
15,"Govt. Hr.Sec. School,West Side,
Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-15 Kottai Mettu Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,346,215,16.990920881971466
16,"Govt. Hr.sec. School, South East Building, East Side, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-15 West Main Road
2.Boothipuram (R.V) And (T.P), Ward-13 South Savadi Street
3.Boothipuram (R.V) And (T.P), Ward-13 Subramaniyan Kovil Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,256,240,2.363367799113737
17,"Govt. Hr. Sec. School,  South East Building,West Side,  Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-9 Kamatchi Nadar Street
2.Boothipuram (R.V) And (T.P), Ward-7 Periya Bazar Street
3.Boothipuram (R.V) And (T.P), Ward-13 Karuppalagu Nadar Street
4.Boothipuram (R.V) And (T.P), Ward-9 Nadar Kaliyamman Kovil Street
5.Boothipuram (R.V) And (T.P), Ward-9 Chambakkamar Street
6.Boothipuram (R.V) And (T.P), Ward-8 Mathari Perumal Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,396,288,12.857142857142856
18,"Panchayat Union Ele. School,North Side, West Block,  Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-8 Ramakkaran Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,450,378,6.9297401347449465
21,"Govt. Hr. Sec. School, Outer Side Building, North Side, South Facing, Center Room, Boothipuram","1.Boothipuram (R.V) And (T.P), Ward-12 Moottathevar Lane
2.Boothipuram (R.V) And (T.P), Ward-12 S.V. Pillai Lane
3.Boothipuram (R.V) And (T.P), Ward-11 Silampayammal Street
4.Boothipuram (R.V) And (T.P), Ward-11 Pattani Chettiar Street
5.Boothipuram (R.V) And (T.P), Ward-11 Sourth Savadi Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,196,181,2.976190476190476
27,"Senthil Middle School,Additional Buliding, South Room, Keppurenganpatti, Manjinayakanpatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Kulalar Street
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Kaliyamman Kovil Main Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Chettiar Street
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Keppurenganpatti Main Road
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Thirupathi Chettiar Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Manjinayakkan Patti Main Street
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Vaniyar Street
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Boyar Street
9.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Nesavalar Street
10.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Harijana Street
11.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Kovilpatti Perumal Street
12.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Muthu Nagar
13.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Muthu Nagar Main Street
14.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-1 Aasari Street
999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,334,255,9.875
41,"Kadiria Primary School,    ,  North Building, Boyan Thurai Road, Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Kurangani Road
2.Bodinayakanur (R.V) And (M), Ward-1 Railway Line Road
3.Bodinayakanur (R.V) And (M), Ward-1 Railway Station Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,205,187,3.8876889848812093
44,"ICDS Center, Sowendravel Nagar Bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Valasathurai Road Street-2
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,243,223,3.731343283582089
