Serial No. Of Polling Station,Location and Name of Building in which Polling Station located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
1,"Panchayat Union Ele. School, Kottakudi","1.Kottakudi (R.V) And (P), Ward-1 Kottakudi
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,116,54,26.160337552742618
2,"Panchayat Union Middle School, Kurangani","1.Kottakudi (R.V) And (P), Ward-2 Kurngani
2.Kottakudi (R.V) And (P), Ward-2 Salaiparai
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,151,111,10.75268817204301
3,"ICDS Centre, Karippatti","1.Kottakudi (R.V) And (P), Rasimalai
2.Kottakudi (R.V) And (P), Karipatti
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,52,20,40.50632911392405
4,"Panchayat Union Ele. School, Kozhukkumalai","1.Kottakudi (R.V) And (P), Ward-4 Kozhukkumalai
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,35,16,33.33333333333333
5,"Jesuva Memorial Ele. School, (Block -2) Central Station","1.Kottakudi (R.V) And (P), Ward-3 Central Station
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,28,14,28.57142857142857
12,"Panchayat Union Middle School, Western Side, Agamalai","1.Agamalai (R.V) And (P), Ward-1 Agamalai
2.Agamalai (R.V) And (P), Ward-1 Kovilur
3.Agamalai (R.V) And (P), Ward-2 Annanagar
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,210,141,14.315352697095435
26,"Panchayat Union Ele. School, New Building
Western Side, Athipatti","1.Boothipuram (R.V) And (T.P), Ward-6 Athipatti
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,393,203,22.97460701330109
31,"Panchayat Union Middle School, New Building,  North Facing, Center Room, Valayapatti","1.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Middle Street
2.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 East Street
3.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Karupasami Kovil Street
4.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Church Street
5.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Harijana Street
6.Kodangipatti (R.V), Manjinayakanpatti (P), Main Road Kottakudi River
7.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 Thottathu Veedu North Main Road
8.Kodangipatti (R.V), Manjinayakanpatti (P), Ward-4 New O.H.T. Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,276,136,26.022304832713754
32,"Adidravidar Welfare Ele.School, North Block, B.Meenakchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-8 Suruli Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-4 Pattalamman Kovil Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-4 Mathari Kaliamman Kovil Street
4.B.Meenakshipuram (R.V) And (T.P), Ward-4 Chellaiamman Kovil Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-3 Keerakadai Street
6.B.Meenakshipuram (R.V) And (T.P), Ward-3 Mottayan Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,309,178,19.69924812030075
33,"Ramapalanivelsamy Middle School, Part Building, B.Meenachipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-9 Dr.Ambethkar Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-9 Emmanuvel Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-9 Rangan Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,317,135,30.033003300330037
34,"Adidravidar Welfare Ele. School,South Block, B.Meenatchipuram","1.B.Meenakshipuram (R.V) And (T.P), Ward-3 Gandhi Main Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-3 Perumal Kovil Street
3.B.Meenakshipuram (R.V) And (T.P), Ward-3 Agni Mesthiri Veethi.
4.B.Meenakshipuram (R.V) And (T.P), Ward-3 Mandaiyan Street
5.B.Meenakshipuram (R.V) And (T.P), Ward-10 Selvaraj Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,305,155,23.400936037441497
35,"Panchayat Union Primary School, North
Building, Pottalkalam","1.B.Meenakshipuram (R.V) And (T.P), Ward-7 Vinobaji Street
2.B.Meenakshipuram (R.V) And (T.P), Ward-7 Kaliamman Kovil Street
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,365,208,19.625
39,"Govt. Adidravidar Welfare Middle School,Centre New Building,
Dhurairajapuram Colony","1.B.Meenakshipuram (R.V) And (T.P), Ward-5&6 Durai Raja Puram Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,323,139,29.967426710097723
40,"Govt. Adidravidar Welfare Middle School,West Side, New Building, Dhurairajapuram Colony","1.B.Meenakshipuram (R.V) And (T.P), Ward-6 Durai Raja Puram Colony
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,308,156,22.995461422087747
42,"ICDCS-integrated child development schme Office, Puthur west street bodinayakanur","1.Bodinayakanur (R.V) And (M), Ward-1 Soundhravel Nagar
2.Bodinayakanur (R.V) And (M), Ward-1 Boyanthurai Road
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,421,309,13.81011097410604
