Location and name of building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"A G Primary School,    North Building, South Facing
,Sengottai.",1,All India Anna Dravida Munnetra Kazhagam,1
A.G.Primary School    Northern Building   Piranoor,1,Tamilaga Vettri Kazhagam,1
"A.G.Primary School    Southern Building ,    Moondruvaikkal",1,Dravida Munnetra Kazhagam,1
"A.G.Primary School    West building North Portion, Moondruvaikkal",1,Dravida Munnetra Kazhagam,1
"A.G.Primary School , Addititional Building, North Portion,    East Facing, Piranoor.",1,Tamilaga Vettri Kazhagam,1
"A.G.Primary School,   Western Building,   Piranoor",1,All India Anna Dravida Munnetra Kazhagam,1
"A.G.Primary School, Kannupulimettu",1,All India Anna Dravida Munnetra Kazhagam,1
"A.N.P.U. Middle School, Northern Building,    Poigai.",1,All India Anna Dravida Munnetra Kazhagam,1
"A.N.P.U. Middle School, Southern Building,    Poigai.",1,Dravida Munnetra Kazhagam,1
Anganwadi Centre West Facing Kannar Street Melakadayanallur,1,Tamilaga Vettri Kazhagam,1
"Anganwadi Centre,    New Biilding West Side Vavanagaram,    Vadakarai Kilpidagai",1,All India Anna Dravida Munnetra Kazhagam,1
"Anganwadi Centre,    West Facing    Moondruvaikkal",1,Dravida Munnetra Kazhagam,1
"Anganwadi Centre, Kasidharmam",1,Dravida Munnetra Kazhagam,1
"Anganwadi building, Panpoli Road Melakadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Anganwadi building, Thirikoodapuram.",1,Dravida Munnetra Kazhagam,1
"Annai Therasa R C Primary School,    Southern Portion, Vallam",1,All India Anna Dravida Munnetra Kazhagam,1
"Annai Therasa R.C. Hr Sec School,   North Building, Western Portion, Vallam",1,Dravida Munnetra Kazhagam,1
"Annai Therasa R.C. Hr Sec School, North Building, Western New Building, East Facing, Vallam",1,Dravida Munnetra Kazhagam,1
"Annai Therasa R.C. Hr Sec School, South Portion, Western New Building,    East Facing, Vallam",1,Dravida Munnetra Kazhagam,1
"Annai Therasa R.CHr sec School,   North Building, Eastern Portion, Vallam",1,All India Anna Dravida Munnetra Kazhagam,1
"Ariyanallur Govt Primary School,    North Building Eastern Portion    Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Ariyanallur Govt Primary School,    North Building Western Portion    Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Arulmigu Vengada Primary School ,   Mela Kadayanallur.",1,All India Anna Dravida Munnetra Kazhagam,1
"Athithanar Middle School, Eastern Building Lalakudiyiruppu",1,All India Anna Dravida Munnetra Kazhagam,1
"Athithanar Middle School, Western Buliding Lalakudiyiruppu",1,All India Anna Dravida Munnetra Kazhagam,1
"Gandhi Primary School,   New Building, East Side, Krishnapuram.",1,Dravida Munnetra Kazhagam,1
"Gandhi Primary School,   Old Building,   Krishnapuram.",1,All India Anna Dravida Munnetra Kazhagam,1
"Gandhi Primary School, New Building West Side, Krishnapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Girls Hr Sec School, Block 3, West Portion, 10th Class Room, Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Girls Hr Sec School,Northern Portion,North Side, Block 8 Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Girls Hr. Sec. School, Block-7, Office Room Back Side, Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt Girls Hr.Sec. School, School entrance gate North Side, Central Hall,Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt Girls Hr.Sec. School, Southern Building, Block 3 Middle Portion, Kadayanallur",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Girls Hr.Sec. School, Southern PortionWest of Main Door   Eastern Portion Kadayanallur",1,Dravida Munnetra Kazhagam,1
"Govt High School,   East Building, Northern Portion, Melur Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt High School,   East Building, Southern Portion, Melur Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt High School,   Ground floor West Building, Melur Sengottai",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt Hr Sec School    North Building North Portion, Neduvayal.",1,All India Anna Dravida Munnetra Kazhagam,1
