Locality of Polling Station,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Minnampalli,2248,32,1.423487544483986
Somur,2765,39,1.410488245931284
Punjai Kadambankurichi,3078,42,1.364522417153996
Nerur  South,4024,46,1.143141153081511
Kathaparai,9055,86,0.9497515184980673
Vangal Kuppuchipalayam,7217,63,0.8729388942774006
Achamapuram,1471,12,0.8157715839564922
Nanniyur.,3458,28,0.8097165991902834
Panchamadevi,5899,45,0.7628411595185625
Karur City Corporation,140997,977,0.6929225444513003
Andankovil(west),5832,40,0.6858710562414266
Andankovil East,13833,91,0.6578471770404106
Manmangalam,5171,34,0.6575130535679753
Athur Poolampalayam,4523,24,0.5306212690692018
Nerur North,4754,23,0.4838031131678587
