Locality of Polling Station,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Achamapuram,2,All India Anna Dravida Munnetra Kazhagam,2
Andankovil East,17,All India Anna Dravida Munnetra Kazhagam,10
Andankovil(west),6,All India Anna Dravida Munnetra Kazhagam,4
Athur Poolampalayam,7,All India Anna Dravida Munnetra Kazhagam,4
Karur City Corporation,191,Tamilaga Vettri Kazhagam,120
Kathaparai,11,All India Anna Dravida Munnetra Kazhagam,7
Manmangalam,7,All India Anna Dravida Munnetra Kazhagam,4
Minnampalli,4,All India Anna Dravida Munnetra Kazhagam,4
Nanniyur.,4,All India Anna Dravida Munnetra Kazhagam,3
Nerur  South,5,All India Anna Dravida Munnetra Kazhagam,4
Nerur North,6,All India Anna Dravida Munnetra Kazhagam,5
Panchamadevi,7,All India Anna Dravida Munnetra Kazhagam,3
Punjai Kadambankurichi,3,All India Anna Dravida Munnetra Kazhagam,2
Somur,4,All India Anna Dravida Munnetra Kazhagam,4
Vangal Kuppuchipalayam,9,All India Anna Dravida Munnetra Kazhagam,6
