Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
3,"Panchayat Union Primary School, Mangalam South Facing East Side","1.Mangalam (P) And (R.V), Ward 1 main road salai
2.Mangalam (P) And (R.V), Ward 1 Nadu St 1
3.Mangalam (P) And (R.V), Ward 1 Kammalar St
4.Mangalam (P) And (R.V), Ward 1 Kudimi St
5.Mangalam (P) And (R.V), Ward 1 Perumal Koil St
6.Mangalam (P) And (R.V), Ward 1 Ponniamman Koil St
7.Mangalam (P) And (R.V), Ward 1 Perunkonraiyamman Koil St
8.Mangalam (P) And (R.V), Ward 1 Mariamman Koil St
9.Mangalam (P) And (R.V), Ward 1 Nadu St 2nd St
10.Mangalam (P) And (R.V), Ward 1 Pallikkuda St
11.Mangalam (P) And (R.V), Ward 1 Esu Koil St
12.Mangalam (P) And (R.V), Ward 1 Colony Graval Kula St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,0.9911894273127754
4,"Panchayat Union Primary School, Nelvoy X Road North Facing West Side","1.Mangalam (P) And (R.V), Ward 2 Manchamman Koil St
2.Mangalam (P) And (R.V), Ward 2 Nelvoy Koottu Salai St
3.Mangalam (P) And (R.V), Ward 2 Madurantakam Nedunchalai
4.Mangalam (P) And (R.V), Ward 2 kanniamman koil st
5.Mangalam (P) And (R.V), Ward 2 Pallikuda St
6.Mangalam (P) And (R.V), Ward 2 krishnapuram salai
7.Mangalam (P) And (R.V), Ward 2 Pallikooda St 2nd St
8.Mangalam (P) And (R.V), Ward 2 Rajiv Gandhi St
9.Mangalam (P) And (R.V), Ward 2 EB St
10.Mangalam (p) And (R.V), Ward 2 dr ambedhkar st
11.Mangalam (P) And (R.V), Ward 2 Esu Koil St 2
12.Mangalam (P) And (R.V), Ward 2 pillaiyar koil st
13.Mangalam (P) And (R.V), Ward 2 Dr MGR St
14.Mangalam (P) And (R.V), Ward 2 Gangaiamman Koil St
15.Mangalam (P) And (R.V), Ward 2 Road St
16.Mangalam (P) And (R.V), Ward 2 Mariamman Koil St
17.Mangalam (P) And (R.V), Ward 2 Indrapuram Pallikuda St 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,44,4.503582395087001
5,PANCHAYAT UNION PRIMARY SCHOOL KARIKILI EAST FACING EAST SIDE ROOM 1,"1.Karikili (P) And (R.V), Ward 1 Bajanai Koil Street
2.Karikili (P) And (R.V), Ward 2 Palla Street
3.Karikili (P) And (R.V), Ward1 Chithamur 3rd cross Street
4.Karikili (P) And (R.V), Ward 1 Chithamur 4th Street
5.Karikili (P) And (R.V), Ward 1 Chithamur Kulakkarai Street
6.Karikili (P) And (R.V), Ward 3 Chithamur Colony Main Road
7.Karikili (P) And (R.V), Ward 3 Chithamur Colony 3rd cross street
8.Karikili (P) And (R.V), Ward3 Chithamur Mariyamman Koil Street
9.Karikili (P) And (R.V), Ward3 Chithamur Rattina Kinaru Street
10.Karikili (P) And (R.V), Ward 1 Mariyamman Koil Street
11.Karikili (P) And (R.V), Ward1 Krishnapuram Main road
12.Karikili (P) And (R.V), Ward7 Kolathur main road
13.Karikili (P) And (R.V), Ward 6 Kolathur Dengu Street
14.Karikili (P) And (R.V), Ward 6 Kolathur mariyamman Koil St 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,3.454231433506045
12,Panchayat Union Primary School Karunagaracherry East Facing South Side,"1.Karunagaracherry (P) And (R.V), Ward 1 Thulukkanathamman Koil St
2.Karunagaracherry (P) And (R.V), Ward 1 Kulakkarai St
3.Karunagaracherry (P) And (R.V), Ward 2 Palla St
4.Karunagaracherry (P) And (R.V), Ward 2 Ammaniamman Koil St
5.Karunagaracherry (P) And (R.V), Ward 2 Irular Qtrs St
6.Karunagaracherry (P) And (R.V), Ward 2 Perumal Koil St
7.Karunagaracherry (P) AND (R.V), Ward 2 Salavakkam koot Road Main Road 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,2.098950524737631
14,"Govt. High School, Primary Section building Pukkadurai South Facing North Side","1.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram Highway St
2.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram 3rd St
3.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram Colony St
4.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 1st St
5.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 2nd St
6.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 3rd St
7.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 4th St
8.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 5th St
9.Pukkathurai (P) And (R.V), Ward 2 Samathuvapuram Thapalmedu 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,3.356890459363958
16,"Govt. High School, Primary Section building Pukkadurai South Facing","1.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
2.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
3.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
4.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai Old Colony 2nd St
5.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs 3rd
6.Pukkathurai (P) And (R.V), Ward 3 pukkathurai 5th st
7.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Qtrs New Colony 999.Overseas Electors",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,9,1.66358595194085
17,"Panchayat Union Middle School, Mamandur Vadapathi North Facing","1.Mamandoor (P) And Mamandoor (R.V), Ward 1 vadapathi anna nagar
2.Mamandoor (P) And Mamandoor (R.V), Ward 1 Pettai St
3.Mamandur (P) Mamandur (R.V), Ward 1 Mettu St
4.Mamandur (P) Mamandur (R.V), Ward 1 mudhaliyar st
5.Mamandur (P) Mamandur (R.V), Ward 1 Sannathi St 999.Overseas Electors",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,10,1.805054151624549
18,"Panchayat Union Middle School, Mamandur Vadapathi North Facing","1.Mamandur (P) Mamandur (R.V), Ward 1 Irular Part
2.Mamandur (P) And Mamandur (R.V), Ward 2 vadapathi old colony 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.204819277108434
19,"Panchayat Union Middle School, Mamandur Vadapathi North Facing","1.Mamandur (P) And Mamandur (R.V), Ward 1 Vadapathi New Colony
2.Mamandur (P) And Mamandur (R.V), Ward 1 Chembar Part
3.Mamandur (P) And Mamandur (R.V), Ward 1 checkpost
4.Mamandur (P) And Mamandur (R.V), Ward 1 Atrankarai 999.Overseas Electors",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,1.626016260162602
24,"Panchayat Union Primary School,Ambedkar Nagar, Meyyur South Facing","1.Maiyur(P) And Maiyur(R.V), Ward 1 ambedkar nagar periya colony
2.Maiyur(P)AndMaiyur(R.V), Ward 1 Ambedkar nagar Thoguppu veethy
3.Maiyur(P)And Maiyur(R.V), Ward 1,2 anna nagar main road
4.Maiyur (P) And Maiyur (R.V), Ward 2 Maiyur Mettu st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,31,3.075396825396825
