Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
6,PUP School Karikili East Facing East side Room No 2,"1.Karikili (P) And (R.V), Ward1 Karikili chithamur cross st
2.Karikili (P) And (R.V), Ward1 Karikili Village Erikkarai St
3.Karikili (P) And (R.V), Ward1 Karikili pillaiyar koil street
4.Karikili (P) And (R.V), Ward 1 Utr to MKM Road
5.Karikili (P) And (R.V), Ward1 Karikili Anna Nagar
6.Karikili (P) And (R.V), Ward 4 Malai colony Road
7.Karikili (P) And (R.V), Ward4 Malai Colony Mariyamman Koil Street
8.Karikili (P) And (R.V), Ward4 Malai Colony North Cross Street
9.Karikili (P) And (R.V), Ward4 Malai colony South Cross Street
10.Karikili (P) And (R.V), Ward4 Malai Colony East Cross Street 999.Overseas Electors",Tamilaga Vettri Kazhagam,7.708333333333334
18,"Panchayat Union Middle School, Mamandur Vadapathi North Facing","1.Mamandur (P) Mamandur (R.V), Ward 1 Irular Part
2.Mamandur (P) And Mamandur (R.V), Ward 2 vadapathi old colony 999.Overseas Electors",Dravida Munnetra Kazhagam,1.2048192771084338
24,"Panchayat Union Primary School,Ambedkar Nagar, Meyyur South Facing","1.Maiyur(P) And Maiyur(R.V), Ward 1 ambedkar nagar periya colony
2.Maiyur(P)AndMaiyur(R.V), Ward 1 Ambedkar nagar Thoguppu veethy
3.Maiyur(P)And Maiyur(R.V), Ward 1,2 anna nagar main road
4.Maiyur (P) And Maiyur (R.V), Ward 2 Maiyur Mettu st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,3.075396825396825
26,"Govt. High School, Sithandi South Facing West Side","1.Chithandi ,Athiyur(P)And Chithandi,Athiyur(R.V), Wad 2 Kakkan st
2.Chithandi Athiyur(P) And Chithandi Athiyur(R.V), Ward 2 Bharathidasan st
3.Chithandi Athiyur(P)And Chithandi Athiyur(R.V), Ward 2 Kamarajar st
4.Chithandi Athiyur(P)And Chithandi Athiyur(R.V), Ward 2 Subramania siva st
5.Chithandi, Athiyur(P)AndChithandi, Athiyur(R.V), Ward 2 Theeran Chinnamalai st
6.Chithandi, Athiyur(p)And Chithandi, Athiyur(R.V), Ward 2 Annai Therasa s
7.Chithandi, Athiyur(P)Chithandi, Athiyur(R.V), Ward 2 Kodikathakumarn st
8.Chithandi, Athiyur(P) And Chithandi, Athiyur(R.V), Ward 2 Vallabai Patel st
9.Chithandi, Athiyur(P) And Chithandi, Athiyur(RV), Ward 2 Magadma Gandhi st
10.Chithandi, Sampathi nallur(P) And Chithandi, Sampathi nallur(RV), Ward 3 Anna st
11.Chithandi, Sampathi nallur(P) And Chithandi, Sampathi nallur(RV), Ward MGR st
12.Chithandi(P) And Chithandi(RV), Ward 1 Vanjinathan st
999.Overseas Electors",Dravida Munnetra Kazhagam,9.71830985915493
27,Panchayat Union Primary School Pillapur South Facing East Side,"1.Pillapur(P)And Pilllapur(R.V), Ward 1 magadma gandhi st
2.Pillapur(P)And Pillapur(R.V), Ward 1 Thiruvalluvar veethy
3.Pillapur(P)And Pillapur(R.V), Ward 1 Indira Gandhi st
4.Pillapur(P)And Pillapur(R.V), Ward 1 elangovadikal st
5.Pillapur(P)And Pillapur(R.V), Ward 2 Bharathiyar st
6.Pillapur(P)And Pillapur(R.V), Ward 1 Nethajai st
7.Pillapur(P)And Pillapur(R.V), Ward 1 Bharathidasan st
8.Pillapur(P)And Pillapur(R.V), Ward 2,3 Kamarajar st
9.Pillapur(P)And Pillapur(R.V), Ward 2 Kannadasan st
10.Pillapur(P)And Pillapur(R.V), Ward 2 Arinjar Anna st
11.Pillapur(P)And Pillapur(R.V), Ward 3 Jawaharlal st
12.Pillapur(P)And Pillapur(R.V), Ward 3 V.O.Chidabaranar st
13.Pillapur(P)And Pillapur(R.V), Ward 3 Thilakar st
14.Pillapur(P)And Pillapur(R.V), Ward 3 Doctor Ambedkar st
15.Pillapur(P)And Pillapur(R.V), Ward 3 Kambar st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,13.333333333333334
46,"Panchayat Union Middle School, Theettalam South Facing Room No 1","1.Theettalam (P) And (R.V), Ward 1 arunthathi muthu mariyamman koil st
2.Theettalam (P) And (R.V), Ward 1 Theettalam village main road
3.Theettalam (P) And (R.V), Ward 2 Annanagar Colony st
4.Theettalam (P) And (R.V), Ward 1 Kulakkarai St
5.Theettalam (P) And (R.V), Ward 1 kulakarai mettu st
6.Theettalam (P) And (R.V), Ward 1 Kozhiyalam main salai
7.Theettalam (P) And (R.V), Ward 1 Ellalaiyamman koil st
8.Theettalam (P) And (R.V), Ward 1 Yadavar Street
9.Theettalam (P) And (R.V), Ward 1 Arasamara Street
10.Theettalam (P) And (R.V), Ward 1 Kizhakku Street
11.Theettalam (P) And (R.V), Ward 1 Bajanai Koil Street
12.Theettalam (P) And (R.V), Ward 1 Nadu Street
13.Theettalam (P) And (R.V), Ward 1 Mettu Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,3.300970873786408
48,"PANCHAYAT UNION PRIMARY SCHOOLL
KADAMBUR North Facing west Side","1.Nelli (P) And (R.V), Ward 1 Vadakku St
2.Nelli (P) And (R.V), Ward 1 Nadu St
3.Nelli (P) And (R.V), Ward 1 West St
4.Nelli (P) And (R.V), Ward 1 South St
5.Kadambur (P) And (R.V), Ward 1 Uthiramerur Road St
6.Kadambur (P) And (R.V), Ward 1 Amman Koil St
7.Kadambur (P) And (R.V), Ward 1 Ambedkar West St
8.Kadambur (P) And (R.V), Ward 2 Ayyanar Koil St
9.Kadambur (P) And (R.V), Ward 2 Ambedkar West St
10.Kadambur (P) And (R.V), Ward 2 Naidu St
11.Kadambur (P) And (R.V), Ward 2 Reddi St
12.Kadambur (P) And (R.V), Ward 2 Amman Koil St
13.Kadambur (P) And (R.V), Ward 2 Brammanar St
14.Kadambur (P) And (R.V), Ward 2 Amman Koil South St
15.Kadambur (P) And (R.V), Ward 1 Villiyar St
16.Kadambur (P) And (R.V), Ward 2 Anna Nagar
17.AYYAPAKKAM (P) And (R.V), Ward 2 Anna Nagar South St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,10.452961672473867
55,PANCHAYAT UNION PRIMARY SCHOOL THANDARAIPUDUCHERRY WEST FACING,"1.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Udaiyar St
2.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Rajiv Gandhi St
3.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry Villae Dr St
4.Thandaraipuducherry (P) And (R.V), Ward 1 Thiruvalluvar St
5.Thandaraipuducherry (P) And (R.V), Ward 1 Uthukottai St
6.Thandaraipuducherry (P) And (R.V), Ward 1 Kambar St
7.Thandaraipuducherry (P) And (R.V), Ward 1 M G R St
8.Thandaraipuducherry (P) And (R.V), Ward 1 Pillaiyar Koil St
9.Thandaraipuducherry (P) And (R.V), Ward 1 Annai indra St
10.Thandaraipuducherry (P) And (R.V), Ward 1 Puducerry then
11.Thandaraipuducherry (P) And (R.V), Ward 1 Puducherry North
12.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai village
13.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai Village Tharuma 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,2.0215633423180592
73,"Govt.High.School, Kallabiranpuram East facing building","1.Kallabiranpuram (P) And (R.V), Ward2 Pallastreet
2.Kallabiranpuram (P) And (R.V), Ward2 colony pillaiyar koil street
3.Kallabiranpuram (P) And (R.V), Ward2 Ottar Street
4.Kallabiranpuram (P) And (R.V), Ward2 Pillaiyar Koil Street
5.Kallabiranpuram (P) And (R.V), Ward2 kuruku street
6.Kallabiranpuram (P) And (R.V), Ward Neyikuppi Village Mettu Street
7.Kallabiranpuram (P) And (R.V), Ward Neyi Village Palla Street
8.Kallabiranpuram (P) And (R.V), Ward1 Throbathiyamman Koil Street
9.Kallabiranpuram (P) And (R.V), Ward2 Anthiyamman Koil Street
10.Kallabiranpuram (P) And (R.V), Ward2 New Colony
11.Kallabiranpuram (P) And (R.V), Ward1 Pazaya Colony 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,0.14204545454545456
83,Panchayat Union Middle School Essur north face building,"1.Pudur (P) And (R.V), Ward 1 agrahara st
2.Pudur (P) And (R.V), Ward 1 Theradi St
3.Pudur (P) And (R.V), Ward 2 Bajanai Koil St
4.Pudur (P) And (R.V), Ward 3 Kulakkarai St
5.Pudur (P) And (R.V), Ward 3 Ponniamman Koil St
6.Pudur (P) And (R.V), Ward 3 Thatchoor Neelamangalam Road
7.Pudur (P) And (R.V), Ward 3 Thirukalikundram Road 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,3.50609756097561
