Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
3,"Panchayat Union Primary School, Mangalam South Facing East Side","1.Mangalam (P) And (R.V), Ward 1 main road salai
2.Mangalam (P) And (R.V), Ward 1 Nadu St 1
3.Mangalam (P) And (R.V), Ward 1 Kammalar St
4.Mangalam (P) And (R.V), Ward 1 Kudimi St
5.Mangalam (P) And (R.V), Ward 1 Perumal Koil St
6.Mangalam (P) And (R.V), Ward 1 Ponniamman Koil St
7.Mangalam (P) And (R.V), Ward 1 Perunkonraiyamman Koil St
8.Mangalam (P) And (R.V), Ward 1 Mariamman Koil St
9.Mangalam (P) And (R.V), Ward 1 Nadu St 2nd St
10.Mangalam (P) And (R.V), Ward 1 Pallikkuda St
11.Mangalam (P) And (R.V), Ward 1 Esu Koil St
12.Mangalam (P) And (R.V), Ward 1 Colony Graval Kula St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,0.9911894273127754
4,"Panchayat Union Primary School, Nelvoy X Road North Facing West Side","1.Mangalam (P) And (R.V), Ward 2 Manchamman Koil St
2.Mangalam (P) And (R.V), Ward 2 Nelvoy Koottu Salai St
3.Mangalam (P) And (R.V), Ward 2 Madurantakam Nedunchalai
4.Mangalam (P) And (R.V), Ward 2 kanniamman koil st
5.Mangalam (P) And (R.V), Ward 2 Pallikuda St
6.Mangalam (P) And (R.V), Ward 2 krishnapuram salai
7.Mangalam (P) And (R.V), Ward 2 Pallikooda St 2nd St
8.Mangalam (P) And (R.V), Ward 2 Rajiv Gandhi St
9.Mangalam (P) And (R.V), Ward 2 EB St
10.Mangalam (p) And (R.V), Ward 2 dr ambedhkar st
11.Mangalam (P) And (R.V), Ward 2 Esu Koil St 2
12.Mangalam (P) And (R.V), Ward 2 pillaiyar koil st
13.Mangalam (P) And (R.V), Ward 2 Dr MGR St
14.Mangalam (P) And (R.V), Ward 2 Gangaiamman Koil St
15.Mangalam (P) And (R.V), Ward 2 Road St
16.Mangalam (P) And (R.V), Ward 2 Mariamman Koil St
17.Mangalam (P) And (R.V), Ward 2 Indrapuram Pallikuda St 999.Overseas Electors",Tamilaga Vettri Kazhagam,4.503582395087001
5,PANCHAYAT UNION PRIMARY SCHOOL KARIKILI EAST FACING EAST SIDE ROOM 1,"1.Karikili (P) And (R.V), Ward 1 Bajanai Koil Street
2.Karikili (P) And (R.V), Ward 2 Palla Street
3.Karikili (P) And (R.V), Ward1 Chithamur 3rd cross Street
4.Karikili (P) And (R.V), Ward 1 Chithamur 4th Street
5.Karikili (P) And (R.V), Ward 1 Chithamur Kulakkarai Street
6.Karikili (P) And (R.V), Ward 3 Chithamur Colony Main Road
7.Karikili (P) And (R.V), Ward 3 Chithamur Colony 3rd cross street
8.Karikili (P) And (R.V), Ward3 Chithamur Mariyamman Koil Street
9.Karikili (P) And (R.V), Ward3 Chithamur Rattina Kinaru Street
10.Karikili (P) And (R.V), Ward 1 Mariyamman Koil Street
11.Karikili (P) And (R.V), Ward1 Krishnapuram Main road
12.Karikili (P) And (R.V), Ward7 Kolathur main road
13.Karikili (P) And (R.V), Ward 6 Kolathur Dengu Street
14.Karikili (P) And (R.V), Ward 6 Kolathur mariyamman Koil St 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.454231433506045
7,"Panchayat Union middle School, Puzhuthivakkam North Facing West Side","1.Puzhuthivakkam (P) And (R.V), Ward 3 1st st mariamman koil st
2.Puzhuthivakkam (P) And (R.V), Ward 3 Dharmaraja Koil 2nd St
3.Puzhuthivakkam (P) And (R.V), Ward 3 Mettu St 3rd St
4.Puzhuthivakkam (P) And (R.V), Ward 4 Bharathi Nagar 4th koot Road
5.Puzhuthivakkam (P) And (R.V), Ward 4 Thiyagi Rettamalai Srinivasan St
6.Puzhuthivakkam (P) And (R.V), Ward 4 Thiyagi Kuili St
7.Puzhuthivakkam (P) And (R.V), Ward 4 Thiyagi Sundaralingam
8.Puzhuthivakkam (P) And (R.V), Ward 4 Indra Nagar 1st St 999.Overseas Electors",Tamilaga Vettri Kazhagam,6.67420814479638
12,Panchayat Union Primary School Karunagaracherry East Facing South Side,"1.Karunagaracherry (P) And (R.V), Ward 1 Thulukkanathamman Koil St
2.Karunagaracherry (P) And (R.V), Ward 1 Kulakkarai St
3.Karunagaracherry (P) And (R.V), Ward 2 Palla St
4.Karunagaracherry (P) And (R.V), Ward 2 Ammaniamman Koil St
5.Karunagaracherry (P) And (R.V), Ward 2 Irular Qtrs St
6.Karunagaracherry (P) And (R.V), Ward 2 Perumal Koil St
7.Karunagaracherry (P) AND (R.V), Ward 2 Salavakkam koot Road Main Road 999.Overseas Electors",Tamilaga Vettri Kazhagam,2.0989505247376314
14,"Govt. High School, Primary Section building Pukkadurai South Facing North Side","1.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram Highway St
2.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram 3rd St
3.Pukkathurai (P) And (R.V), Ward 1 Natarajapuram Colony St
4.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 1st St
5.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 2nd St
6.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 3rd St
7.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 4th St
8.Pukkathurai (P) And (R.V), Ward 1 Samathuvapuram 5th St
9.Pukkathurai (P) And (R.V), Ward 2 Samathuvapuram Thapalmedu 999.Overseas Electors",Tamilaga Vettri Kazhagam,3.356890459363958
15,"Govt. High School, Primary Section building Pukkadurai East Facing","1.Pukkathurai (P) And (R.V), Ward 2 pukkathurai 1st st
2.Pukkathurai (P) And(R.V), Ward 1 Pukkathurai 2nd St
3.Pukkathurai (P) And (R.V), Ward 2 pukkathurai 3rd st
4.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai Reddiyar St
5.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai Old Colony
6.Pukkathurai (P) And (R.V), Ward 2 pukkathurai 2nd st
7.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai old Colony
8.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai old Colony Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,7.885906040268456
16,"Govt. High School, Primary Section building Pukkadurai South Facing","1.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
2.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
3.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs
4.Pukkathurai (P) And (R.V), Ward 2 Pukkathurai Old Colony 2nd St
5.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Colony Qtrs 3rd
6.Pukkathurai (P) And (R.V), Ward 3 pukkathurai 5th st
7.Pukkathurai (P) And (R.V), Ward 3 Pukkathurai Qtrs New Colony 999.Overseas Electors",Tamilaga Vettri Kazhagam,1.6635859519408502
19,"Panchayat Union Middle School, Mamandur Vadapathi North Facing","1.Mamandur (P) And Mamandur (R.V), Ward 1 Vadapathi New Colony
2.Mamandur (P) And Mamandur (R.V), Ward 1 Chembar Part
3.Mamandur (P) And Mamandur (R.V), Ward 1 checkpost
4.Mamandur (P) And Mamandur (R.V), Ward 1 Atrankarai 999.Overseas Electors",Dravida Munnetra Kazhagam,1.6260162601626018
20,"Panchayat Union Middle School, Mamandur Thenpathi North Facing","1.Mamandur (P) And Mamandur (R.V), Ward 3 muthumariyamman koil st
2.Mamandur (P) And Mamandur(R.V), Ward 3 kamarajar colony
3.Mamandur (P) And Mamandur (R.V), Ward 3 Gangaiamman Koil St 999.Overseas Electors",Tamilaga Vettri Kazhagam,13.651137594799568
