Polling Station No.,Location and Name of the Building in which Polling station is located,Polling Area,Winner_Party,Margin_Percentage
2,Panchayat Union Middle School North Facing Building Nelvoy,"1.Nelvoy (P) And (R.V), Ward 1 Village Main Road
2.Nelvoy (P) And (R.V), Ward 1 Sandhai Medu Part St
3.Nelvoy (P) And (R.V), Ward 1 Ponniamman Koil St
4.Nelvoy (P) And (R.V), Ward 1 Mariamman Koil 2nd St
5.Nelvoy (P) And (R.V), Ward 1 Pillaiyar Koil Cross St
6.Nelvoy (P) And(R.V), Ward 1 Pallikuda St Cross St
7.Nelvoy (P) And (R.V), Ward 1 Irular St
8.Nelvoy (P) And (R.V), Ward 1 Milk Depo St
9.Nelvoy (P) And (R.V), Ward 1 Milk Society Cross St
10.Nelvoy (P) And (R.V), Ward 1 Pillaiyar Koil St
11.Nelvoy (P) And (R.V), Ward 1 Iyyangar St
12.Nelvoy (P) And (R.V), Ward 1 Tapal St 2
13.Nelvoy (P) And (R.V), Ward 2 Kaipampu St
14.Nelvoy (P) And (R.V), Ward 2 Mariamman Koil St 3rd St
15.Nelvoy (P) And (R.V), Ward 2 Er Ethirvai Puravadai Part 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,11.053540587219343
8,"Panchayat Union Primary School, Nelli, East Facing North sideRoom No 1","1.Nelli (P) And (R.V), Ward 1 kammavar st
2.Nelli (P) And (R.V), Ward 1 Mariamman Koil St
3.Nelli (P) And (R.V), Ward 2 Mettu St
4.Nelli (P) And (R.V), Ward 2 rice mill main road
5.Nelli (P) And (R.V), Ward 2 Bajanai Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,15.088757396449704
9,"Panchayat Union Primary School, Nelli, East Facing North SideRoom No 2","1.Nelli (P) And (R.V), Ward 3 ambedhkar st
2.Nelli (P) And (R.V), Ward 2 1st
3.Nelli (P) And (R.V), Ward 2 Ganesan Shop St
4.Nelli (P) And (R.V), Ward 2 Kunnankolathur Mettu St
5.Nelli (P) And (R.V), Ward 2 Pallikuda St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,27.228915662650603
11,"Panchayat Union Primary School,Kumaravadi East Facing South Side","1.Kumaravadi (P) And (R.V), Ward 1 ambedhkar st
2.Kumaravadi (P) And (R.V), Ward 1 MGR Nagar
3.Kumaravadi (P) And (R.V), Ward 1 Madha Koil St
4.Kumaravadi (P) And (R.V), Ward 2 Dheedir Nagar
5.Kumaravadi (P) And (R.V), Ward 4 Iyyangar St
6.Kumaravadi (P) And (R.V), Ward 4 Bajanai Koil St
7.Kumaravadi (P) And (R.V), Ward 3 Nadu St
8.Kumaravadi (P) And (R.V), Ward 3 Karunigar St
9.Kumaravadi (P) And (R.V), Ward 3 Mettu St
10.Kumaravadi (P) And (R.V), Ward 2 Pallikuda St
11.Kumaravadi (P) And (R.V), Ward 2 Thoppu St 999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,12.173913043478262
22,"Panchayat Union Primary School, Meyyur East Facing","1.Maiyur(P)AndMaiyur(R.V), Ward 3 kammalar st
2.Maiyur(P)And Maiyur(R.V), Ward 3 Pappara st
3.Maiyur(P)AndMaiyur(R.V), Ward 3 Brammanar st
4.Maiyur(P) And Maiyur(R.V), Ward 3 Vellalar st
5.Maiyur(P) And Maiyur(R.V), Ward 3,4 Mariamman koil st
6.Maiyur(P)And Maiyur(R.V), Wad 4 Vaniar st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,15.483870967741936
29,"Panchayat Union Middle School, Pazhamathur, South Facing East Side","1.Pazhamathur (P) And (R.V), Ward 2 Vivekanadar St
2.Pazhamathur (P) And (R.V), Ward 1 Rajiv Gandhi St
3.Pazhamathur (P) And (R.V), Ward 1 Nehru St
4.Pazhamathur (P) And (R.V), Ward 3 Annai Therasa St
5.Pazhamathur (P) And (R.V), Ward 2 VOC St
6.Pazhamathur (P) And (R.V), Ward 1 Elangovadigal St
7.Pazhamathur (P) And (R.V), Ward 1 Rajaji St
8.Pazhamathur (P) And (R.V), Ward 1 Nethaji St
9.Pazhamathur (P) And (R.V), Ward 1 Pillaiyar Koil St
10.Pazhamathur (P) And (R.V), Ward 1 Sri Mariamman Koil St
11.Pazhamathur (P) And (R.V), Ward 1 Bharathiyar St
12.Pazhamathur (P) And (R.V), Ward 3 Kambar St
13.Pazhamathur (P) And (R.V), Ward 3 Gandhi St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,12.888198757763975
37,Panchayat Union Middle School Vedavakkam South facing East side,"1.Andavakkam (P) And (R.V), Ward 3 Mettu St
2.Andavakkam (P) And (R.V), Ward 3 Ganapathi St
3.Andavakkam (P) And (R.V), Ward 3 Mariyamman Koil St
4.Andavakkam (P) And (R.V), Ward 3 Pallar St
5.Andavakkam (P) And (R.V), Ward 3 Colony Mariyamman Koil St
6.Andavakkam (P) And (R.V), Ward 3 MGR Nagar
7.Andavakkam (P) And (R.V), Ward 2 Vellaikalmedu Pillaiyar Koil St
8.Andavakkam (P) And (R.V), Ward 2 West St
9.Andavakkam (P) And (R.V), Ward 2 Uthiramerur Highway
10.Andavakkam (P) And (R.V), Ward 2 Vetavakkam New Road
11.Andavakkam (P) And (R.V), Ward 2 Thanthoniyamman Koil St
12.Andavakkam (P) And (R.V), Ward 2 Palla St
13.Andavakkam (P) And (R.V), Ward Basumpoor road Bountary
14.Andavakkam (P) And (R.V), Ward 2 Mettu St
15.Andavakkam (P) And (R.V), Ward 3 Samanthira St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,17.79475982532751
44,Panchayat Union Primary School Pappanallur North facing West side,"1.Pappanallur (P) And (R.V), Ward 2 valluvan kollai st
2.Pappanallur (P) And (R.V), Ward2 Pallikuda street
3.Pappanallur (P) And (R.V), Ward2 Busstand Street
4.Pappanallur (P) And (R.V), Ward 1, 2 main road
5.Pappanallur (P) And (R.V), Ward 1 Kulakkarai St
6.Pappanallur (P) And (R.V), Ward1 Chelliamman Koil St
7.Pappanallur (P) And (R.V), Ward1 Mettu St
8.Pappanallur (P) And (R.V), Ward1 Sarkkar Well St
9.Pappanallur (P) And (R.V), Ward1 Bajanai Koil St
10.Pappanallur (P) And (R.V), Ward 1 Mariyamman Koil St
11.Pappanallur (P) And (R.V), Ward2 Thirosapuram mada koil street
12.Pappanallur (P) And (R.V), Ward 2 Antonyar nagar new street
13.Pappanallur (P) And (R.V), Ward2 Reddyyar thotam new street
14.Pappanallur (P) And (R.V), Ward 2 Ellaiyamman koil street
15.Pappanallur (P) And (R.V), Ward2 Tangal street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,23.364485981308412
47,"PUM School, Theettalam, South facing Room No 2","1.Theettalam (P) And (R.V), Ward 2 C.S.I.School Street
2.Theettalam (P) And (R.V), Ward 2 Mada Koil Street
3.Theettalam (P) And (R.V), Ward 2 Thulukkathamman Koil Street
4.Theettalam (P) And (R.V), Ward 2 Muthu Pillayar Manyam St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,24.708624708624708
53,"Panchayat Union Middle School, Perumbakkam West facing","1.Perumbakkam (P) And (R.V), Ward 2 Perumbakkam 1 st street
2.Perumbakkam (P) And (R.V), Ward 2 Kullakarai st
3.Perumbakkam (P) And (R.V), Ward 2 Ricemill st
4.Perumbakkam (P) And (R.V), Ward 2 alarimedu
5.Perumbakkam (P) And (R.V), Ward 2 Thenandai st
6.Perumbakkam (P) And (R.V), Ward 3 Perumbakkam 6st Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,28.500619578686493
56,Panchayat Union Primary School Thandaraipuducherry West Facing South Side,"1.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai Nadaiya
2.Thandaraipuducherry (P) And (R.V), Ward 1 Thandarai pet colny cross St
3.Thandaraipuducherry (P) And (R.V), Ward 2 Thandaraipet colony cross St
4.Thandaraipuducherry (P) And (R.V), Ward 2 Thandaraipet colony
5.Thandaraipuducherry (P) And (R.V), Ward 2 Thandarai pet colony Water tank
6.Thandaraipuducherry (P) And (R.V), Ward 2 Gengaiamman koil St
7.Thandaraipuducherry (P) And (R.V), Ward 2 Mettu St
8.Thandaraipuducherry (P) And (R.V), Ward 2 Sri Angalaparameswari St
9.Thandaraipuducherry (P) And (R.V), Ward2 Kulakkarai Street
10.Thandaraipuducherry (P) And (R.V), Ward2 Nadu Street
11.Thandaraipuducherry (P) And (R.V), Ward2 Kusuman Kuttai Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,13.174603174603176
69,"Adi-Dravidar Welfare Middle School, Janakipuram East Facing North Side","1.Janakipuram Arayapakkam (P) And (R.V), Ward 2 Eswaran Koil St
2.Janakipuram Arayapakkam (P) And (R.V), Ward 2 irular st
3.Janakipuram Arayapakkam (P) And (R.V), Ward 2 Muthumariamman Koil St
4.Janakipuram Arayapakkam (P) And (R.V), Ward 2 Perumal Koil St
5.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Muthumariamman Koil St
6.Janakipuram Arayapakkam (P) And (R.V), Ward 1 east st
7.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Vadakku St
8.Janakipuram Arayapakkam (P) And (R.V), Ward 1 South St
9.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Kavankarai Vadakku St
10.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Kavankarai South St
11.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Valachiamman Koil St
12.Janakipuram Arayapakkam (P) And (R.V), Ward 1 kulakkarai east st
13.Janakipuram Arayapakkam (P) And (R.V), Ward 1 Kulakkarai North St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,41.82754182754182
78,Panchayat Union Middle School Lakshminarayanapuram North Facing,"1.Lakshminarayanapuram (P) And (R.V), Ward 4 L N Puram Colony
2.Lakshmi Narayanapuram (P) And (R.V), Ward 4 L N Puram Colony Nadu Street
3.Lakshminarayanapuram (P) And (R.V), Ward 4 Gandhi Nagar Mainroad
4.Lakshminarayanapuram (P) And (R.V), Ward 23 L..N. Puram Village yathavar St
5.Lakshminarayanapuram (P) And (R.V), Ward 3 L N Puram Village Padalam Salai
6.Lakshminarayanapuram (P) And (R.V), L N Puram Village Pillaiyar Koil Street
7.Lakshminarayanapuram (P) And (R.V), Ward 3 L N Puram Village Theradi Street
8.Lakshminarayanapuram (P) And (R.V), Ward 3 L.N.Puram Village Mettu St
9.Lakshminarayanapuram (P) And (R.V), Ward 3 Erular St
10.Lakshminarayanapuram (P) And (R.V), Ward 3Arasar kovil Village
11.Lakshminarayanapuram (P) And (R.V), Ward 3 Arasar Kovil Village Palla St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,13.151364764267989
80,"Panchayat Union Primary School, Budur East Facing","1.Budoor (P) And (R.V), Ward 1 irular colony st
2.Budoor (P) And (R.V), Ward 1 Eswaran Koil St
3.Budoor (P) And (R.V), Ward 2 Iyyangar St
4.Budoor (P) And (R.V), Ward 2 Mudaliar St
5.Budoor (P) And (R.V), Ward 2 Mariamman Koil St
6.Budoor(P) And (R.V), Ward 3 Nadu St
7.Budoor(P) And (R.V), Ward 3 Cross St
8.Budoor(P) And (R.V), Ward 3 Main Road
9.Budoor(P) And (R.V), Ward 4 Reddiyar St
10.Budoor(P) And (R.V), Ward 10 Sagaya Nagar 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,16.338028169014084
87,"Panchayat Union Primary School, Veeranakunnam South Facing","1.Veeranakunnam (P) And (R.V), Ward 1 poondu nagar
2.Veeranakunnam (P) And (R.V), Ward 1 Child Aeasu Nagar
3.Veeranakunnam (P) And (R.V), Ward 1 Earusalam Nagar
4.Veeranakunnam (P) And (R.V), Ward 1 M,G,R, Nagar
5.Veeranakunnam (P) And (R.V), Ward 1 north street
6.Veeranakunnam (P) And (R.V), Ward 2 South Street
7.Veeranakunnam (P) And (R.V), Ward 2 pillaiyar koil street
8.Veeranakunnam (P) And (R.V), Ward 2 naidu st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,41.627906976744185
93,Panchayat union Middle school Arayapakkam North Facing,"1.Irayapakkam (P) And (R.V), Ward 1 Iyyangar St
2.Irayapakkam (P) And (R.V), Ward 2 Palla St
3.Arayapakkam (P) And (R.V), Ward 2 mettu st
4.Arayapakkam (P) And (R.V), Ward 3 Yadavar St
5.Arayapakkam (P) And (R.V), Ward 4 Kulakkarai St
6.Arayapakkam (P) And (R.V), Ward 4 Kulakkarai Irular St
7.Arayapakkam (P) And (R.V), Ward 5 Thulukkanathamman Koil St 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,20.754716981132077
101,"Municipal Primary schoolMaduranthagam chilliamman koil Street Madurantakam East Facing West
Side","1.Mathuranthagam, Ward2 Selva Vinayagar Koil Street
2.Mathuranthagam, Ward4 Bhathsingh Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,10.975609756097562
117,Municipal Middle school East Facing Mocherry Maduranthagam,"1.Mathuranthagam, Ward17 Mochserri West Street
2.Mathuranthagam, Ward17 Mochserri North Street
3.Mathuranthagam, Ward17 Mochserri Middle Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,17.636022514071296
118,Municipal Middle school East Facing Mocherry Maduranthagam,"1.Mathuranthagam, Ward16 Mochserri South Street
2.Mathuranthagam, Ward16 Mochserri Colony
3.Mathuranthagam, Ward16 Mochserri East Street 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,13.553113553113553
132,"Government Higher Secondary School,Morapakkam East Facing Room 1","1.Morapakkam (P) And (R.V), Ward 3 allampadi st
2.Morapakkam (P) And (R.V), Ward 3 South st
3.Morapakkam (P) And (R.V), Ward 3 perumal koil st
4.Morapakkam (P) And (R.V), Ward 2 mariamman koil st
5.Morapakkam (P) And (R.V), Ward 2 Pillaiyarkoil st
6.Morapakkam (P) And (R.V), Ward 2 Ricemill st
7.Morapakkam (P) And (R.V), Ward w Mettu st
8.Morapakkam (P) And (R.V), Ward 3 Kullakarai st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,13.650306748466257
134,"Government Higher Secondary SChool,Morapakkam West Facing Room 1","1.Morappakkam (P) And (R.V), Ward 4 pillaiyar koil st, karunakara valagam
2.Morappakkam (P) And (R.V), Ward 4 Mariamman Koil st, Karunakara Valagam
3.Morappakkam (P) And (R.V), Ward 1 Pillaiyar Koil st Puthur
4.Morappakkam (P) And (R.V), Ward 1 mariamman koil st, puthur
5.Morappakkam (P) And (R.V), Ward 1 Achari St, Puthur
6.Morappakkam (P) And (R.V), Ward 1 pal society st, puthur
7.Morappakkam (P) And (R.V), Ward 1 Mocheri Salai, Puthur
8.Morappakkam (P) And (R.V), Ward 4 Maduranthagam Salai, Chinna Karunakara Valagam
9.Morappakkam (P) And (R.V), Ward 1 tank st, chinna karunakara valagam
10.Morappakkam (P) And (R.V), Ward 1 Vanniyar St, Chinna Karunakara Valagam 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,20.48780487804878
138,"Panchayat Union Middle School, Mathur South Facing East side","1.Mathur (P) And (R.V), Ward 1 kulakarai st
2.Mathur (P) And (R.V), Ward 1 Vinayagar koil st
3.Mathur (P) And (R.V), Ward 1 Nadu St
4.Mathur (P) And (R.V), Ward 1 perumal koil st
5.Mathur (P) And (R.V), Ward 1 Acharai st
6.Mathur (P) And (R.V), Ward 1 Thropathi amman koil st
7.Mathur (P) And (R.V), Ward 1 Pallikooda st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,39.04923599320883
140,Panchayat Union Primary School Sempoondi West Facing North Side,"1.Chempoondi (P) And (R.V), Ward 1 Keizhandai Main Road
2.Chempoondi (P) And (R.V), Ward 1 Andi St
3.Chempoondi (P) And (R.V), Ward 1 Bajanai koil st
4.Chempoondi (P) And (R.V), Ward 1 Manambathan st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,27.819548872180448
141,Panchayat Union Primary School Sempoondi West Facing,"1.Chempoondi (P) And (R.V), Ward 1 Erikarai St
2.Chempoondi (P) And (R.V), Ward 1 Mariamman Koil st
3.Chempoondi (P) And (R.V), Ward 2 Mellandai Main Road
4.Chempoondi (P) And (R.V), Ward 2 Acharai st
5.Chempoondi (P) And (R.V), Ward 2 Gangaiamman koil st
6.Chempoondi (P) And (R.V), Ward s MGR Nagar
7.Chempoondi (P) And (R.V), Ward 1 Perumal Koil st
8.Chempoondi (P) And (R.V), Ward 1 Kanniamman Koil st 999.Overseas Electors",All India Anna Dravida Munnetra Kazhagam,42.00792602377807
