Polling Station No.,Building in which it will be located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
4,"Panchayat Union Elementary School, West Wing, Kallappuliyur-604208","[1].Kallappuliyur (R.V) & (P), Melandai Street,
[2].Kallappuliyur (R.V) & (P), Old Colony, [3].Kallappuliyur (R.V) & (P), New colony",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,25,4.512635379061372
5,"VPRC Building, North Wing South Facing, Irumbuli-604208","[1].Erumpuli (R.V) & (P), Pajani Kovil Street, [2].Erumpuli (R.V) & (P), Pillaiyar Kovil Street, [3].Erumpuli (R.V) & (P), Cross Street,  [4].Erumpuli (R.V) & (P), Kulathu Street,  [5].Erumpuli (R.V) & (P), Pramanar Street,  [6].Erumpuli (R.V) & (P), Mariyamman Kovil Street,  [7].Erumpuli (R.V) & (P), Pillaiyar Kovil Street,  [8].Erumpuli (RV) & (P), Road
Street (Colony)",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,7,0.9333333333333335
8,"Panchayat Union Elementary School, North Building West Wing, Sozhangunam-604210","[1].Sozhangkunam  (R.V) & (P), Chetti Street, [2].Sozhangkunam  (R.V) & (P), Ahakara Street, [3].Sozhangkunam (R.V) & (P), Perumal Koil Street, [4].Sozhangkunam (R.V) & (P), Road Street, [5].Sozhangkunam  (R.V) & (P), Old Colony, [6].Sozhangkunam (R.V) & (P), Ottamandabam,
[7].Sozhangkunam  (R.V) & (P), New Colony",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,39,4.838709677419355
15,"Panchayat Union Elementary School, East Wing, Thondur-604210","[1].Thondur (R.V) & (P), Perumal Kovil Street, [2].Thondur (R.V) & (P), Kanakkan Kulam, [3].Thondur (R.V) & (P), Colony Cement Salai, [4].Thondur (R.V) & (P), Colony Pillaiyar Kovil Street., [5].Thondur (R.V) & (P), Colony Mariyamman Kovil
Street,  [6].Thondur (R.V) & (P), Ambethkar Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,4.301075268817205
21,"Pandiyan Nethi Udhavi Elementary School, South Wing, Eachur-604203","[1].Eachur (R.V) & (P), Colony Thenpathy, [2].Eachur (R.V) & (P), New Colony",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,14,4.487179487179487
24,"Government Higher Secondary School, South Building West Wing, Illodu-604210","[1].Illodu (R.V) & (P), Colony Road Street,  [2].Illodu (R.V) & (P), Colony Pillaiyar Koil Street,  [3].Illodu (R.V) & (P), Colony Mariyamman Koil Street,  [4].Illodu (R.V) & (P), Colony Ambethkar Street,  [5].Illodu (R.V) & (P), Karananthal Pillaiyar Koil Street,  [6].Illodu (R.V) & (P), Karananthal Mettu Street,  [7].Illodu (R.V) & (P),
Karananthal Ammachar Koil Street",Desiya Murpokku Dravida Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,1.992966002344666
28,"Panchayat Union Primary School, South Building East Wing North Facing, Kariyamangalam-604210","[1].Kariyamangalam (R.V) & (P), Pajanai Koil Street, [2].Kaiyamanglam (R.V) & (P), Pillaiyar oil Street, [3].Kariyamangalam (R.V) & (P), Kuyavar Street, [4].Kariyamangalam  (R.V) & (P), Vettaikaran Street, [5].Kariyamangalam  (R.V) & (P), Colony Street,
[6].Kariyamangalam (R.V) & (P), Road Street",All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,5,0.8347245409015025
36,"Panchayat Union Elementary School, West Building, Agalur-604203","[1].Agalur (R.V) & (P), Jain Street,  [2].Agalur (R.V)  & (P), Udaiyar Street,  [3].Agalur (R.V) & (P), Yathavar Street,  [4].Agalur (R.V) & (P), Chettiyar Street, [5].Agalur (R.V) & (P), Main Road,  [6].Agalur (R.V) &
(P), School Street,  [7].Agalur (R.V) & (P),
MumMoorthy Street,  [8].Agalur (R.V) & (P), Othavadai Street,  [9].Agalur (R.V)  & (P), New Colony",Desiya Murpokku Dravida Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,0.7722007722007722
41,"Panchayat Union Elementary School, North Side South Wing,
Ananthur-604202","[1].Ananthur (R.V) & (P), Vannankollai Street, [2].Ananthur (R.V) & (P), Post Office Street, [3].Ananthur (R.V) & (P), Pillaiyar Koil Street, [4].Ananthur (R.V) & (P), Mettu Street,  [5].Ananthur (R.V) & (P), Colony Street,  [6].Ananthur (R.V) & (P), Amman Koil Street,  [7].Ananthur (R.V) & (P), School
Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,28,4.48
47,"Panchayat Union Primary School, North Building West Wing South Facing, Kalaiyur-604206","[1].Kalaiyur (R.V) &  (P), Mariyamman Koil Street, [2].Kalaiyur (R.V) &  (P), Palla Street,  [3].Kalaiyur (R.V) &  (P), Adidravidar Colony",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,2.127659574468085
50,"Sri Parsuvanathar Government Higher Secondary School, North Building East Wing, Melsithamur-604206","[1].Melsithamoor (R.V) & (P), Jainar Madathu Street, [2].Melsithamoor (R.V) & (P), West Colony, [3].Melsithamoor (R.V) & (P), Kalleri",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,7,1.417004048582996
55,"Panchayat Union Middle School, Arugavur-604203","[1].Arugavoor (R.V) & (P), Road Street,  [2].Arugavoor (R.V) & (P), Colony Road Street, [3].Arugavoor (R.V) & (P), Middle Street,  [4].Arugavoor (R.V) & (P), Madhakoil Street, [5].Arugavoor (R.V) & (P), Mayana  Street, [6].Arugavoor (R.V) & (P), Eswaran Koil Street, [7].Arugavoor (R.V) & (P), Mettu Street,  [8].Arugavoor
(R.V) & (P), Road Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.4
62,"Panchayat Union Middle School, East Building South Wing,
Melathipakkam-604207","[1].Melathipakkam (R.V) & (P), Jain Street, [2].Melathipakkam (R.V) & (P), Palla Street, [3].Melathipakkam (R.V) & (P), Mettu Street, [4].Melathipakkam (R.V) & (P), Eagali Street, [5].Melathipakkam (R.V) &  (P), Mariyamman Kovil
Street,  [6].Melathipakkam (R.V) & (P), Kulakarai Street,  [7].Melathipakkam (R.V) & (P), Road Street",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,12,1.892744479495268
63,"Panchayat Union Middle School, West Building Road Side,
Melathipakkam-604207","[1].Melathipakkam (R.V) & (P), Murugan Kovil Street, [2].Melathipakkam (R.V) & (P), Naidu Street,
[3].Melathipakkam (R.V) & (P), Middle Street Colony, [4].Melathipakkam (R.V) & (P), Udaiyar Street",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,7,1.208981001727116
67,"Hindu Aided Elementary School, Melsiviri-604207","[1].Melsiviri (R.V) &  (P), Kezhandai Street, [2].Melsiviri (R.V) & (P), Melandai Street,  [3].Melsiviri (R.V) & (P), Nadu Street,  [4].Melsiviri (R.V) &  (P), Perumal Koil Street,  [5].Melsiviri (R.V) & (P), Colony
Street,  [6].Melsiviri (R.V) & (P), Colony East Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,13,2.398523985239852
75,"Panchayat Union Middle School, Additional Building North Wing,
Vizhukkam-604206","[1].Vizhukkam (R.V) & (P), Old Colony North Street, [2].Vizhukkam (R.V) & (P), Old Colony Mariyamman
Koil Street,  [3].Vizhukkam (R.V) & (P), New Colony",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,28,4.472843450479233
83,"Panchayat Union Primary School, North Building West Wing,
Agoor-604207","[1].Agoor (R.V) & (P), Old  Colony Kezh Street,
[2].Agoor (R.V) & (P), Road Street,  [3].Agoor (R.V) & (P), New Colony,  [4].Agoor (R.V) & (P), Mannampoodi",Desiya Murpokku Dravida Kazhagam,All India Anna Dravida Munnetra Kazhagam,21,2.912621359223301
86,"Thiru. Vi.Ka. Aided Primary School, South Building East Wing,
Thaniyal-604207","[1].Thaniyal (R.V) & (P), Eswaran Koil Street,, [2].Thaniyal (R.V) & (P), Kupera Vinayagar Street, [3].Thaniyal (R.V) & (P), Kudumi Santhu,  [4].Thaniyal (R.V) & (P), Pillaiyar Koil Street,  [5].Thaniyal (R.V) & (P), Kamarajar Street,  [6].Thaniyal (R.V) & (P), Valluvar Street,,  [7].Thaniyal (R.V) & (P), Palaiyam Street,  [8].Thaniyal (R.V) & (P), Irular Street, [9].Thaniyal (R.V) & (P), Koothadi Kudisai Street,
[10].Thaniyal (R.V) & (P), Mettu Street,  [11].Thaniyal (R.V) & (P), Odai Street",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,25,3.355704697986577
88,"Panchayat Union Middle School, South Building West Wing North Facing, Vadasiruvalur-604207","[1].Vadasiruvalur (R.V) & (P), Nagavaram Street, [2].Vadasiruvalur (R.V) & (P), Vinayagar Koil Street No.3,  [3].Vadasiruvalur (R.V) & (P), Mariyamman Kovil Street ,  [4].Vadasiruvalur (R.V) & (P), Palvadi Street,  [5].Vadasiruvalur (R.V) & (P), Rediyokottagai Street,  [6].Vadasiruvalur (R.V) & (P), Pillaiyar Koil Street,  [7].Vadasiruvalur (R.V) & (P), Group House
Street",Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam,12,1.524777636594663
93,"Panchayat Union Primary School, South Building North Facing, Kezhmalaiyanur-604207","[1].Singanikuppam (R.V) & Dhathapuram (P), Keezhmalaiyanur Mairyamman Koil Street, [2].Singanikuppam (R.V) & Dhathapuram (P), Keezhmalaiyanur Main Road,  [3].Singanikuppam (R.V) & Dhathapuram (P), Earikkarai Irular Street,
[4].Singanikuppam (R.V) & Dhathapuram (P), Veeranayakulam",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,6,1.474201474201474
100,"M D Primary School, Peraperi-604207","[1].Vadampoondi (R.V) & (P), Peraperi Village, [2].Vadampoondi (R.V) & (P), Peraperi New ColonY, [3].Peraperi (R.V) & Vadampoondi (P), Vadampoondi
Irular Colony",Tamilaga Vettri Kazhagam,Desiya Murpokku Dravida Kazhagam,1,0.2012072434607646
