Locality of Polling Station,Total_Booths_In_Locality,Dominant_Party_In_Sector,Booths_Won_By_Dominant_Party,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,Tamilaga Vettri Kazhagam
Agalur-604203,1,Desiya Murpokku Dravida Kazhagam,1,0,1,0
Agoor-604207,2,All India Anna Dravida Munnetra Kazhagam,1,1,1,0
Alagramam-604302,5,All India Anna Dravida Munnetra Kazhagam,3,3,1,1
Ammakulam-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Ammanampakkam-60420 7,1,Desiya Murpokku Dravida Kazhagam,1,0,1,0
Ammankulathumedu-6043 06,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Anangur-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Ananthur-604202,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Aniladi-605651,2,Desiya Murpokku Dravida Kazhagam,1,0,1,1
Arugavur-604203,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Asoor-604207,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Athikuppam-605652,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Athipakkam-604207,1,Tamilaga Vettri Kazhagam,1,0,0,1
Avaiyarkuppam-604302,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Aviyur-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Avvaiyarkuppam-604302,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Boonthi-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Chendur-604302,2,All India Anna Dravida Munnetra Kazhagam,1,1,0,1
Chinnagaram-604210,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Chinnanerkunam-604302,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Chithani-605652,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Deevanur-604206,2,All India Anna Dravida Munnetra Kazhagam,1,1,0,1
Dhathapuram-604207,3,All India Anna Dravida Munnetra Kazhagam,3,3,0,0
Eachur-604203,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Edapalayam-604302,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Elamangalam-604206,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Ethanemili-604207,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Evalur-604307,1,Desiya Murpokku Dravida Kazhagam,1,0,1,0
Ezhaay-605652,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Ganapathipattu-605652,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Grandipuram-604207,1,Tamilaga Vettri Kazhagam,1,0,0,1
Illodu-604210,2,All India Anna Dravida Munnetra Kazhagam,1,1,1,0
Irumbuli-604208,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kadambur-604206,2,All India Anna Dravida Munnetra Kazhagam,1,1,0,1
Kadukapattu-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kalaiyur-604206,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Kalladikuppam-605651,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Kallalippattu-604205,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kallappuliyur-604208,2,All India Anna Dravida Munnetra Kazhagam,1,1,0,1
Kammandur-604206,2,All India Anna Dravida Munnetra Kazhagam,1,1,1,0
Kandamanalur-604208,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kanniyam-604304,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kappai-604205,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Kariyamangalam-604210,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Karunguzhi-604203,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Karuvapakkam-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kattanchimedu-604306,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kattusiviri-604207,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Keelkaranai-604307,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Keelmavilangai-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Keezhvailamur-605651,2,All India Anna Dravida Munnetra Kazhagam,1,1,0,1
Kelmampattu-605651,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kelpappambadi-604205,2,All India Anna Dravida Munnetra Kazhagam,2,2,0,0
Kezhmalaiyanur-604207,1,Tamilaga Vettri Kazhagam,1,0,0,1
Kodium-604207,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
Kollar-604206,3,Tamilaga Vettri Kazhagam,2,1,0,2
Kolliyankunam-604304,2,Tamilaga Vettri Kazhagam,2,0,0,2
Konakkampattu-604206,1,All India Anna Dravida Munnetra Kazhagam,1,1,0,0
