Polling Station No.,Building in which it will be located,Polling Area,Winner_Party,Margin_Percentage
9,"Panchayat Union Primary School, South Building North Facing South Wing, Pennagar-604210","[1].Pennagar (R.V.) & (P), Kulathu Street, [2].Pennagar (R.V) & (P), Kuttai Street,  [3].Pennagar (R.V.) & (P), Mettu Street,  [4].Pennagar (R.V) & (P), Ex. Thalaivar Street,  [5].Pennagar (R.V) & (P), E.B. Road,  [6].Pennagar (R.V) & (P), Bank Road,
[7].Pennagar (R.V) & (P), Keeliyanur",All India Anna Dravida Munnetra Kazhagam,28.593272171253826
52,"Sri Parsuvanathar Government Higher Secondary School, North New Building East Wing Room No.3, Melsithamur-604206","[1].Melsithamoor & Melathur (R.V) & Melsithamoor (P), Mettu Street 1,  [2].Melsithamoor & Melathur (R.V) & Melsithamoor (P), Mettu Street 2,  [3].Melsithamoor & Melathur (R.V) & Melsithamoor (P),  Pillaiyar Koil
Street,  [4].Melsithamoor  & Melathur (R.V) & Melsithamoor (P), Melathur Road",All India Anna Dravida Munnetra Kazhagam,25.675675675675674
59,"Government Higher Secondary School, West Building South Wing, Veeranamur-604203","[1].Veeranamoor (R.V) & (P), Jainar Street, [2].Veeranamoor (R.V) & (P), Achari Street, [3].Veeranamoor (R.V) & (P), Neerpuchi Street, [4].Veeranamoor (R.V) & (P), Chettiyar Street, [5].Veeranamoor (R.V) & (P), Thirowpathiyamman Koil Street.,  [6].Veeranamoor (R.V) & (P), Ambethkar
Street,  [7].Veeranamoor (R.V) & (P), Road Street, [8].Veeranamoor (R.V) & (P), Mariyamman Koil Street.",All India Anna Dravida Munnetra Kazhagam,20.408163265306122
89,"Government Higher Secondary School, South Building East Wing, Vellimedupettai-604207","[1].Pothananthal (R.V ) & Vellimedupettai (P), Pajar Veethi,  [2].Pothananthal (R.V ) & Vellimedupettai (P), Kavarai Street,  [3].Pothananthal (R.V) & Vellimedupettai (P), 2nt Santhai Street, [4].Pothananthal (R.V ) & Vellimedupettai (P), Ganthi Village,  [5].Pothananthal (R.V) & Vellimedupettai (P),
Kavarai Cross Street,  [6].Pothananthal (R.V ) & Vellimedupettai (P), Irular Colony",All India Anna Dravida Munnetra Kazhagam,9.378185524974516
97,"Panchayat Union Middle School, South Wing, Keelmavilangai-604207","[1].Keelmavilangai (R.V) & (P), Kezhandai Street, [2].Keelmavilangai (R.V) & (P), Nadu Street, [3].Keelmavilangai (R.V) & (P), Kulakarai Street, [4].Keelmavailangai (R.V) & (P), Pajanai Kovil Street, [5].Keelmavilangai (R.V) & (P), Theradi Street, [6].Keelmavilangai (R.V) & (P), Ettiyamman Kovil Street,  [7].Keelmavilangai (R.V) & (P), Colony Mariyamman Kovil Street,  [8].Keelmavilangai (R.V) &
(P), Earikarai Street",All India Anna Dravida Munnetra Kazhagam,7.674684994272623
100,"M D Primary School, Peraperi-604207","[1].Vadampoondi (R.V) & (P), Peraperi Village, [2].Vadampoondi (R.V) & (P), Peraperi New ColonY, [3].Peraperi (R.V) & Vadampoondi (P), Vadampoondi
Irular Colony",Tamilaga Vettri Kazhagam,0.17391304347826086
141,"Panchayat Union Elementary School, South Wing, Kongarapattu-604306","[1].Kongarapattu (R.V) & (P), Athidravidar Colony , [2].Kongarapattu (R.V)  & (P), Pillaiyar Koil Street, [3].Kongarapattu (R.V) & (P), Samiyar Street,
[4].Kongarapattu (R.V) & (P), Kurukku street, [5].Kongarapattu (R.V) & (P), Earikarai  Street",All India Anna Dravida Munnetra Kazhagam,19.936204146730464
166,"Panchayat Union Primary School, North Building South Facing 2nd Room, Melsevur-604306","[1].Melsevur (R.V) & (P), Road Street,  [2].Melsevur (R.V) & (P), Mariyamman Koil Street,  [3].Melsevur (R.V) & (P), Middle Street,  [4].Melsevur (R.V) & (P),
Road Street (Colony)",Tamilaga Vettri Kazhagam,11.853720050441362
168,"Panchayat Union Elementary School, Ammankulathumedu-604306","[1].Melsevur (R.V) & (P), Ammankulathumedu",All India Anna Dravida Munnetra Kazhagam,13.802435723951287
174,"Panchayat Union Middle School, Thalavanur-604205","[1].Thalavanur (R.V) & (P), Kulathu Street, [2].Thalavanur (R.V) & (P), Kallalipattu  Street, [3].Thalavanur (R.V) & (P), Pillaiyar Koil Street, [4].Thalavanur (R.V) & (P), Pallikuda Street, [5].Thalavanur (R.V) & (P), Kommedu  Salai Street, [6].Thalavanur (R.V) & (P), Thangal Street, [7].Thalavanur (R.V) & (P), Old Colony Street, [8].Thalavanur (R.V) & (P), Pillaiyar Koil Street, [9].Thalavanur (R.V) & (P), Othavadai Street, [10].Thalavanur (R.V) & (P), Main Road (Colony),
[11].Thalavanur (R.V) & (P), East Street (colony)",All India Anna Dravida Munnetra Kazhagam,3.9215686274509802
