Serial No. Of Polling Station,Building in which it will be located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
18,"Kollidam Panchayat Union Elementary School, North facing Eastern portion, Muslim Street Manganampattu","1. Thirumayiladi (R.V), Anaikkaranchathiram (P), Mariyamnan Kovil Street ward:1, 2. Thirumayiladi (R.V), Anaikkaranchathiram (P), North Street ward:2, 3. Thirumayiladi (R.V), Anaikkaranchathiram (P), Anumanthapuram Road ward:2, 4. Thirumayiladi (R.V), Anaikkaranchathiram (P), Quaid-E-Millath Street ward:2, 5. Thirumayiladi (R.V), Anaikkaranchathiram (P), Puthu Street ward:2, 6. Thirumayiladi (R.V), Anaikkaranchathiram (P), Pallivasal Street ward:2, 7. Thirumayiladi (R.V), Anaikkaranchathiram (P), Pulavar Street, Hussain Street ward:2, 8. Thirumayiladi (R.V), Anaikkaranchathiram (P), K.A.P Nagar ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,339,106,43.068391866913124
23,"Kollidam Panchayat Union Elementary School, West Building South Side, Thaikkal","1. Thirumayiladi (R.V), Anaikkaranchathiram (P), Thulasenthirapuram mainroad ward:4, 2. Thirumayiladi (R.V), Anaikkaranchathiram (P), Kalaignar Nagar ward:4, 3. Thirumayiladi (R.V), Anaikkaranchathiram (P), Mathakadi Street ward:4, 4. Thirumayiladi (R.V), Anaikkaranchathiram (P), Saiyadu Nagar ward:4, 5. Thirumayiladi (R.V), Anaikkaranchathiram (P), Mani Nagar ward:4, 6. Thirumayiladi (R.V), Anaikkaranchathiram
(P), S.G.M Nagar ward:4, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,348,238,16.105417276720353
24,"Kollidam Panchayat Union Elementary School, West Building North Side, Thaikkal","1. Thirumayiladi (R.V), Anaikkaranchathiram (P), Dharga Nagar ward:4, 2. Thirumayiladi (R.V), Anaikkaranchathiram (P), Nabir Street, Asath Street ward:4, 3. Thirumayiladi (R.V), Anaikkaranchathiram (P), Parakath Street, Thaikkal ward:4, 4. Thirumayiladi (R.V), Anaikkaranchathiram (P), Rahmad Street ward:4, 5. Thirumayiladi (R.V), Anaikkaranchathiram (P), Pallivasal Street ward:4, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,482,136,52.108433734939766
25,"Venkatesa Higher Secondary School, Arulsethu Manikkam Block, Ayankudipallam","1. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Main Road Street ward:5, 2. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Pallivasal Street ward:5, 3. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Quaid-E-Millath Street ward:5,
4. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Ismayil Street ward:5, 5. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Samiyanth Road Street ward:5, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,356,109,49.59839357429719
26,"Venkatesa Higher Secondary School, Northern side of Govindharaj Block 2nd Room From West, Ayankudipallam","1. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Jinna Street ward:5, 2. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Jahir Hussain Street ward:5, 3. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Aayangudipallam BC Street ward:5, 4. Thirumayiladi (R.V), Anaikkaranchathiram (P),Thirumayiladi Aayangudipallam SC Street ward:5, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,319,185,21.13564668769716
64,"Kollidam Panchayat Union Middle School, North Side S S A Building North Side, Puthur","1. Puthur (R.V) And (P), Mandhakarai Street ward:1, 2. Puthur (R.V) And (P), Mariyammankovil Street ward:1, 3. Puthur (R.V) And (P), Rice Mill Street ward:2, 4. Puthur (R.V) And (P), Middle Street ward:2, 5. Puthur (R.V) And (P), Azad Street ward:2, 6. Puthur (R.V) And (P), Pallivasal Street ward:2, 7. Puthur (R.V) And (P), Pattakal Street ward:2, 8. Puthur (R.V) And (P), Puthur Main Road ward:2, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,500,157,46.35135135135135
65,"Kollidam Panchayat Union Middle School, South Building Facing North, Puthur","1. Puthur (R.V) And (P), Valluvar Street ward:3, 2. Puthur (R.V) And (P), Vaikkalkarai Mettu Street ward:3, 3. Puthur (R.V) And (P), Kunnam Road Street ward:3, 4. Puthur (R.V) And (P), Vaikkalkarai Street ward:3, 5. Puthur (R.V) And (P), Kanni Kovil Street ward:3, 6. Puthur (R.V) And (P), Kaliamman Kovil Street ward:3, 7. Puthur (R.V) And (P), West Street ward:3, 8. Puthur (R.V) And (P), Puthu Street ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,352,230,17.256011315417254
100,"Kollidam Panchayat Union Elementary School, Western portion, Nallanayagapuram","1. Agaravattaram (R.V) And (P), Agaravattaram West Street ward:1, 2. Agaravattaram (R.V) And (P), Agaravattaram East Street ward:1, 3. Agaravattaram (R.V) And (P), Thiruppani Vattaram ward:1, 4. Agaravattaram (R.V) And (P), Kudiyana Street ward:1, 5. Agaravattaram (R.V) And (P), Thoppuvattaram Chinna Street,Periya Street ward:1, 6. Agaravattaram (R.V) And (P), Kuruviyampallam Atrangarai Street ward:1, 7. Agaravattaram (R.V) And (P), Kuruviyampallam ward:1, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,280,151,21.976149914821125
115,"Kollidam Panchayat Union Muslim Elementary School, West Portion Facing
North, Thirumullaivasal","1. Thirumullaivasal (R.V) And (P), Chilladi Street ward:4, 2. Thirumullaivasal (R.V) And (P), Kaliamman Kovil Street ward:4, 3. Thirumullaivasal (R.V) And (P), Quaid-E-Millath Street
ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,289,108,37.9454926624738
116,"Kollidam Panchayat Union Muslim Elementary School, Eastern Side North Facing, Thirumullaivasal","1. Thirumullaivasal (R.V) And (P), Main Road ward:4, 2. Thirumullaivasal (R.V) And (P), West Nedu Street ward:4, 3. Thirumullaivasal (R.V) And (P), Muslim Street ward:3, 4. Thirumullaivasal (R.V) And (P), Thaikkal Street ward:3, 999. OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,323,109,42.209072978303745
