Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
1,"Hindu Primary School, Kurangani","1.Mavadipannai (R.V), Kurangkani (p) Sannathi street block 1,
2.Mavadipannai (R.V), Kurangkani (P) Kurangkani Block 2,
3.Mavadipannai (R.V), Kurangkani (P) Manjal vilai Block 3,
4.Mavadipannai (R.V), Kurangkani (P) Thottiyan kudiruppu Block 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,4,0.728597449908925
6,"T.N.D.T.A Primary School, Rajapathi","1.Rajapathy (R.V) And (P) Rajapathy kasbhanorth Block 1,
2.Rajapathy (R.V) And (P) Sethu Subramaniyapuram Block 2,
3.Rajapathy (R.V) And (P) Thiruvela vattam Blocl 3, 4.Rajapathy (R.V) And (P) Rajapathy Naduvoor Southuvoor Block 4, 5.Rajapathy (R.V) And (P) Manathi Melauvoor Block 5, 6.Rajapathy (R.V) And (P) Karavelai Block 6, 7.Rajapathy (R.V) And (P) Karutthankudiruppu Block 1, 8.Rajapathy (R.V) And (P) Manathi keelauvoor Block 5, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.221483942414175
7,"TN.D.T.A Primary School East Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Thottiyankudiyiiruppu Block 1,
2.Kurukattur (R.V) And (P) Erandam Pannavellai Block 2,
3.Kurukattur (R.V) And (P) North Kottuor Block 3, 4.Kurukattur (R.V) And (P) Muthuramalingapuram Block 4, 5.Kurukattur (R.V) And (P) Kuttiyalaganoor Block 6, 6.Kurukkaatoor (R.V) And (P) Kurukkaatoor North Street Block 8, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.44404332129964
8,"TN.D.T.A Primary School West Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Rasaangapuram Block 5, 2.Kurukattur (R.V) And (P) South Kottuor Block 7, 3.Kurukattur (R.V) And (P) Kurukattur Melauvor Block 9, 4.Kurukattur (R.V) And (P) Kurukattur Keelauvor Block 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,23,4.43159922928709
12,"Hindu Primary School East Portion, Nazareth","1.Nazareth (S.G.T.P) Valadi Street 1, 2.Nazareth (S.G.T.P)
ValaiyadiStreet 2, 3.Nazareth (S.G.T.P) Valaiyadi Street 3,
4.Nazareth (S.G.T.P) Valaiyadi Street 4, 5.Nazareth (S.G.T.P) Valaiyadi Street 5, 6.Nazareth (S.G.T.P) Valaiyadi Street 6,
7.Nazareth (S.G.T.P) Valaiyadi Street 7, 8.Nazareth (S.G.T.P)
Valaiyadi Street 8,, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.435413642960813
21,"St. Joseph R.C Primary School West
Portion Standard 4 Class Room, Kanthasamypuram, Nazareth","1.Nazareth (S.G.T.P) Bethaniya nagar, 2.Nazareth (S.G.T.P) Maninagar, , 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,42,4.71380471380471
33,"St. Marks Higher Secondary School
Middle Building West Portion (Class XI  D
), Mookkuperi.","1.Mookkuperi (R.V) And (P) Oyyankudi Block 5, 2.Mookkuperi (R.V)
And (P) Mookkuperi Block 6, 3.Mookkupeeri (R.V) And (P) Mookkupeeri Block 7, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.389863547758285
35,"Asoka Vidhyalaya Middle School, West Portion, Kachinavillai.","1.kachanavilai (R.V) And (P) Ramalingapuram Block 12,
2.kachanavilai (R.V) And (P) Punnaiyadi Block 13, 3.kachanavilai (R.V) And (P) Neivelai Block 14, 4.kachanavilai (R.V) And (P) Neivelai Block 15, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,2.40384615384615
39,"St.Xavier Middle School, West side
Building, Sethukuvaithan","1.Sethukkuvaithan (R.V) And (P) Nadar street pudunagar block4,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.371747211895911
54,"Hindu Primary School, Keeranoor.","1.Authoor (S.G.T.P) Keela Keeranur Ward2, 2.Authoor (S.G.T.P)
Keeranur ward 4, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,Tamilaga Vettri Kazhagam,9,1.52542372881356
