Serial No. Of Polling Station,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bharatiya Janata Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Naam Indiar Party,Puthiya Makkal Tamil Desam Katchi,Tamilaga Vettri Kazhagam,Tamizhaga Vaazhvurimai Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Location and Name of Building in which Polling Station Located,Polling Area,Polling Station Type,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Bharatiya Janata Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Naam Indiar Party_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Independent_Rank,Margin_Percentage,Total_Independent_Votes,DMK_share_pct,NTK_share_pct,BJP_share_pct,AIPTMK_share_pct,NIP_share_pct,PMTDK_share_pct,TVK_share_pct,TAVAK_share_pct,IND_share_pct,Cluster_ID
1,144,29,184,0,0,2,180,3,7,2,1,1,2,549,0,3,552,0,"Hindu Primary School, Kurangani","1.Mavadipannai (R.V), Kurangkani (p) Sannathi street block 1,
2.Mavadipannai (R.V), Kurangkani (P) Kurangkani Block 2,
3.Mavadipannai (R.V), Kurangkani (P) Manjal vilai Block 3,
4.Mavadipannai (R.V), Kurangkani (P) Thottiyan kudiruppu Block 4, 999.OVERSEAS ELECTORS",General,Bharatiya Janata Party,184,180,4,Tamilaga Vettri Kazhagam,3,4,1,8,8,7,2,6,5,0.728597449908925,7,26.2295081967213,5.28233151183971,33.5154826958106,0.0,0.0,0.364298724954463,32.7868852459016,0.546448087431694,1.27504553734062,3
2,138,33,115,0,0,1,168,1,0,0,0,0,0,456,0,0,456,0,Govt Higher Secondary School New Building North Portion 1st Room Thentiruperail,"1.thenthiruperai (S.G.T.P) Manalmedu, 2.thenthiruperai (S.G.T.P)
Manalmedu North Street, 3.thenthiruperai (S.G.T.P) Padara Street,
4.thenthiruperai (S.G.T.P) NaduStreet, 5.thenthiruperai (S.G.T.P) SanathiStreet, 6.thenthiruperai (S.G.T.P) Kelamadaveethi,
7.thenthiruperai (S.G.T.P) North MadaStreet, 999.OVERSEAS
ELECTORS",General,Tamilaga Vettri Kazhagam,168,138,30,Dravida Munnetra Kazhagam,2,4,3,7,7,5,1,5,7,6.57894736842105,0,30.2631578947368,7.23684210526316,25.219298245614,0.0,0.0,0.219298245614035,36.8421052631579,0.219298245614035,0.0,3
3,166,30,98,3,0,0,96,0,2,0,0,0,1,395,0,2,397,0,Govt Higher Secondary School New building west portion 2st room thenthiruperai,"1.thenthiruperai (S.G.T.P) North rathaveethni, 2.thenthiruperai
(S.G.T.P) South Street, ward-10, 3.thenthiruperai (S.G.T.P) Kasbha Maveedu pannai, 4.thenthiruperai (S.G.T.P) West Street, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,166,98,68,Bharatiya Janata Party,1,4,2,5,7,7,3,7,6,17.2151898734177,2,42.0253164556962,7.59493670886076,24.8101265822785,0.759493670886076,0.0,0.0,24.3037974683544,0.0,0.506329113924051,3
4,233,54,195,2,0,1,170,0,12,1,1,1,8,667,0,6,673,0,"Panchayat Union Primary School New Building North Portion Ist Room, Thenthiruperai.","1.thenthiruperai (S.G.T.P) PuliamaraStreet, 2.thenthiruperai (S.G.T.P) Arundhathier Street, 3.thenthiruperai (S.G.T.P) Kaliamman Kovil Street, 4.thenthiruperai (S.G.T.P) Yadavar Street,
5.thenthiruperai (S.G.T.P) Thevar Street, 6.thenthiruperai (S.G.T.P) Pillaiyar Kovil Street, 7.thenthiruperai (S.G.T.P) Kurangkani Road,
8.thenthiruperai (S.G.T.P) Arignnar Anna Street, 9.thenthiruperai (S.G.T.P) Mahathma Gandi Road, 10.thenthiruperai (S.G.T.P) Kaleyammankovil Street Ward - 1, 11.thenthiruperai (S.G.T.P) Yadavar Street Santhu -1 Ward - 1, 12.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 2 Ward - 1, 13.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 3 Ward - 1, 14.thenthiruperai (S.G.T.P) Yadavar Street Santhu - 4 Ward - 1, 15.thenthiruperai (S.G.T.P)
Thevar Street - 1 Ward - 6, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,233,195,38,Bharatiya Janata Party,1,4,2,6,8,7,3,8,5,5.69715142428786,12,34.9325337331334,8.095952023988,29.2353823088456,0.299850074962519,0.0,0.149925037481259,25.4872563718141,0.0,1.79910044977511,3
5,175,33,219,1,0,3,185,1,5,0,1,0,3,622,0,2,624,0,"Panchayat Union Primary School New Building Middle Room, Thenthiruperai.","1.thenthiruperai (S.G.T.P) Sundarapandi vinayagar Street,
2.thenthiruperai (S.G.T.P) Sivan Kovil Street, 3.thenthiruperai (S.G.T.P) marthandam pillai Street, 4.thenthiruperai (S.G.T.P) PuduStreet, 5.thenthiruperai (S.G.T.P) TheradiStreet,
6.thenthiruperai (S.G.T.P) Authour road, 7.thenthiruperai (S.G.T.P) Subbiyar Street, 8.thenthiruperai (S.G.T.P) Marthandampillai Santhi South Street, 9.thenthiruperai (S.G.T.P) Merasupillai Street,
10.thenthiruperai (S.G.T.P) Maruthuvar Street -1 Ward - 6,
11.thenthiruperai (S.G.T.P) Maruthuvar Street - 2 Ward - 6,
12.thenthiruperai (S.G.T.P) Pandither nadu Street,
13.thenthiruperai (S.G.T.P) New Athuor road, 14.thenthiruperai (S.G.T.P) Melarathaveethi, 999.OVERSEAS ELECTORS",General,Bharatiya Janata Party,219,185,34,Tamilaga Vettri Kazhagam,3,4,1,7,9,6,2,7,5,5.46623794212219,5,28.1350482315113,5.30546623794212,35.2090032154341,0.160771704180064,0.0,0.482315112540193,29.7427652733119,0.160771704180064,0.803858520900322,3
6,322,69,185,1,1,0,320,1,4,1,0,0,1,903,0,4,907,0,"T.N.D.T.A Primary School, Rajapathi","1.Rajapathy (R.V) And (P) Rajapathy kasbhanorth Block 1,
2.Rajapathy (R.V) And (P) Sethu Subramaniyapuram Block 2,
3.Rajapathy (R.V) And (P) Thiruvela vattam Blocl 3, 4.Rajapathy (R.V) And (P) Rajapathy Naduvoor Southuvoor Block 4, 5.Rajapathy (R.V) And (P) Manathi Melauvoor Block 5, 6.Rajapathy (R.V) And (P) Karavelai Block 6, 7.Rajapathy (R.V) And (P) Karutthankudiruppu Block 1, 8.Rajapathy (R.V) And (P) Manathi keelauvoor Block 5, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,322,320,2,Tamilaga Vettri Kazhagam,1,4,3,6,6,9,2,6,5,0.221483942414175,4,35.6589147286822,7.64119601328904,20.4872646733112,0.110741971207087,0.110741971207087,0.0,35.437430786268,0.110741971207087,0.44296788482835,3
7,222,33,80,1,0,0,214,3,1,0,0,0,1,554,0,2,556,0,"TN.D.T.A Primary School East Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Thottiyankudiyiiruppu Block 1,
2.Kurukattur (R.V) And (P) Erandam Pannavellai Block 2,
3.Kurukattur (R.V) And (P) North Kottuor Block 3, 4.Kurukattur (R.V) And (P) Muthuramalingapuram Block 4, 5.Kurukattur (R.V) And (P) Kuttiyalaganoor Block 6, 6.Kurukkaatoor (R.V) And (P) Kurukkaatoor North Street Block 8, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,222,214,8,Tamilaga Vettri Kazhagam,1,4,3,6,8,8,2,5,6,1.44404332129964,1,40.072202166065,5.95667870036101,14.4404332129964,0.180505415162455,0.0,0.0,38.6281588447653,0.541516245487365,0.180505415162455,2
8,215,43,68,0,0,1,192,0,0,0,0,0,0,519,0,2,521,0,"TN.D.T.A Primary School West Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Rasaangapuram Block 5, 2.Kurukattur (R.V) And (P) South Kottuor Block 7, 3.Kurukattur (R.V) And (P) Kurukattur Melauvor Block 9, 4.Kurukattur (R.V) And (P) Kurukattur Keelauvor Block 10, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,215,192,23,Tamilaga Vettri Kazhagam,1,4,3,6,6,5,2,6,6,4.43159922928709,0,41.4258188824663,8.28516377649326,13.102119460501,0.0,0.0,0.192678227360308,36.9942196531792,0.0,0.0,2
9,147,25,156,0,0,3,188,1,2,0,0,0,1,522,0,2,524,0,"Panchayat Union Primary School, Keelakalamparai","1.thenthiruperai (S.G.T.P) ManathiKutti Thottam Ward 3,
2.thenthiruperai (S.G.T.P) Mela kallaampaarai, 3.thenthiruperai
(S.G.T.P) Keelakalamparai, 4.thenthiruperai (S.G.T.P) Pandimaar Street, 999.OVERSEAS ELECTORS",General,Tamilaga Vettri Kazhagam,188,156,32,Bharatiya Janata Party,3,4,2,8,8,5,1,7,6,6.13026819923372,2,28.1609195402299,4.78927203065134,29.8850574712644,0.0,0.0,0.574712643678161,36.0153256704981,0.191570881226054,0.383141762452107,3
10,208,36,123,2,0,0,175,0,1,0,1,0,0,545,0,0,545,0,"Panchayat Union Primary School, Mela kadamba","1.thenthiruperai (S.G.T.P) Melakadamba vadakkuoor,
2.thenthiruperai (S.G.T.P) Melakadambha Therkkoor Ward 4,
3.thenthiruperai (S.G.T.P) Muthukrishnapuram, 4.thenthiruperai (S.G.T.P) Kuttakarai, 5.thenthiruperai (S.G.T.P) Sivasubbramaniyapuram, 6.thenthiruperai (S.G.T.P) Annanagar,
7.thenthiruperai (S.G.T.P) Sivasubbramaniyapuramsendhu-1 Ward
- 5, 8.thenthiruperai (S.G.T.P) Siva subramaniyapuram sendhu 2 Ward - 5, 999.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,208,175,33,Tamilaga Vettri Kazhagam,1,4,3,5,7,7,2,7,6,6.05504587155963,1,38.1651376146789,6.60550458715596,22.5688073394495,0.36697247706422,0.0,0.0,32.1100917431193,0.0,0.18348623853211,3
