Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Ambrose Boys Hr.Sec School Old
Students Bulding, Meiganapuram",1,Dravida Munnetra Kazhagam,1
"Ambrose boys Hr.Sec.School Eastern Block, Class XIIth A, Meiganapuram",1,Dravida Munnetra Kazhagam,1
"Anganwadi Center Eastern side Building, North Portion, Mela Authoor.",1,Bharatiya Janata Party,1
"Anganwadi centre North Building,south facing K.T.M. Street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Anganwadi centre, Chettyapathu",1,Bharatiya Janata Party,1
"Arockiya Annai Middle School East Building Middle portion (Ground Floor), Adaikkalapuram.",1,Dravida Munnetra Kazhagam,1
"Arockiya Annai Middle School South Building, Adaikkalapuram.",1,Dravida Munnetra Kazhagam,1
"ArulRaj Primary School West Building, Rathinapuri, Kayalapattanam.",1,Dravida Munnetra Kazhagam,1
"ArulRaj Primary School, Eastern Building, Rathinapuri, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Arulmigu Senthilandavar Govt Boys
Higher Secondary School, New Building, South Portion, East Room T.B.Road, Tiruchendur.",1,Tamilaga Vettri Kazhagam,1
"Arulmigu Senthilandavar Govt Boys
Higher Secondary School, North Building, Middle Porton, T.B.Road, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Asoka Vidhyalaya Middle School Central Portion VII th Standard Room, Kachinavillai.",1,Dravida Munnetra Kazhagam,1
"Asoka Vidhyalaya Middle School, West Portion, Kachinavillai.",1,Dravida Munnetra Kazhagam,1
"Barathi Primary School , North Building, Alagappapuram.",1,Tamilaga Vettri Kazhagam,1
"Carmal Middle School, South Building, Alanthalai",1,Tamilaga Vettri Kazhagam,1
"Carmal Middle School, South East
Building, Alanthalai",1,Tamilaga Vettri Kazhagam,1
"Central Hr, Sec school, Class-VIIth c
,North Side, Sathukai street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Central Hr.Sec School, North Building
Class VIIIth B, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Central Hr.Sec School, North Building
Class VIIth B, Sathukai street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Central Primary (Matriculation) School North Block Play Room, Sathukai street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Central Primary School (matriculation) North Block Hall No III, Sathukai street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Devakani Primary School , West portion, Melaputhukudi",1,Dravida Munnetra Kazhagam,1
"Dr.MaduramT.N.T.A Kaspa Middle
School North Building North Side, Nazareth.",1,Tamilaga Vettri Kazhagam,1
"Dr.MaduramT.N.T.A Kaspa Middle School South Building North Side,Nazareth.",1,Dravida Munnetra Kazhagam,1
"Duraisivan Primary School, East portion, Paramankuruchi",1,Bharatiya Janata Party,1
"Duraisivan Primary School, West portion, Paramankuruchi",1,Dravida Munnetra Kazhagam,1
"Eka Ratchakar Sabai Middle School East
Building North Portion (Ground Floor) West Side, Mookkuperi.",1,Tamilaga Vettri Kazhagam,1
"Eka Ratchakar Sabai Middle School East
Building, South portion, (Ground Floor), Mookkuperi.",1,Dravida Munnetra Kazhagam,1
"Eliot Tuxford Girls Hr. Sec.School South Block Class XIIth A, Meiganapuram",1,Dravida Munnetra Kazhagam,1
"Eliot Tuxford Girls Hr. Sec.School South Block Class XIIth A1, Meiganapuram",1,Dravida Munnetra Kazhagam,1
"Government Higher Secondary School
East BuildingWest facing Middle portion side Authoor.",1,Tamilaga Vettri Kazhagam,1
"Government Higher Secondary School ,
West Building, South side, East Facing , Authoor.",1,Tamilaga Vettri Kazhagam,1
"Government Higher Secondary School , Ist Building X th Standard Room, Authoor.",1,Tamilaga Vettri Kazhagam,1
"Govrnment Middle School, , North Building, West side, Vithyasalai, Udankudi",1,Tamilaga Vettri Kazhagam,1
"Govt Adhidravidar Primary School
Additional Building , Thoppur, Tiruchendur",1,Dravida Munnetra Kazhagam,1
"Govt Adhidravidar Primary School South Building, Thoppur, Tiruchendur",1,Tamilaga Vettri Kazhagam,1
"Govt Girls Hr Sec School North Building
middle portion South facing Theevu street kayalpattinam",1,Dravida Munnetra Kazhagam,1
"Govt Girls Hr Sec School West Building North Side ,East Facing Theevu street, Kayalapattanam",1,Tamilaga Vettri Kazhagam,1
"Govt Girls Hr. Sec School, North
building East side. south facing Theevu street, kayalpattinam.",1,Dravida Munnetra Kazhagam,1
"Govt High School, Venkatrananugapuram, New Building , East Portion,Uthiramadankudieruppu",1,Bharatiya Janata Party,1
