Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
15,"Margochis Higher Secondary School
Class Room XIA Standard, Nazareth.","1.Nazareth (S.G.T.P) Market street ward 6, 2.Nazareth (S.G.T.P)
Thirumaraiuoor, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,342,93,53.205128205128204
44,"Panchayat Union Middle school
Pallivasal north Building South facing East side,South Authoor.","1.Mela Authoor (R.V) And (P) Musleem melastreet block 6, 2.Mela
Authoor (R.V) And (P) Musleem keelastreet block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,647,89,72.84595300261097
50,"Govt. Hr. sec school West New building
class VIth standard North Portion, Authoor.","1.Authoor (S.G.T.P) Attankarai street ward 13, 2.Authoor (S.G.T.P) Muslimwest street ward 14, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,466,161,47.0679012345679
51,"Govt. Hr. sec school East Building South side, Authoor.","1.Authoor (S.G.T.P) Kulattankarai Street Ward 15, 2.Authoor
(S.G.T.P) Peria street ward 15, 3.Authoor (S.G.T.P) Rahman street ward 15, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,300,66,60.46511627906976
120,"L.K Matriculation Hr Sec School North
Building South Facing Class Room XI  C, Sivankovil street, Kayalpattanam","1.Kayalpattinam(Municipality) Seethakathi nagar ward 15, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,464,158,45.535714285714285
121,"L.K Matriculation Hr Sec School, South
Building West Side Class Room 1stB, Kayalpattanam","1.Kayalpattinam(Municipality) Sivan kovil street ward 15, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,507,121,54.289732770745424
131,"Central Primary (Matriculation) School North Block Play Room, Sathukai street, kayalpattinam.","1.Kayalpattinam (Municipality) Komon west street block 1,
2.Kayalpattinam (Municipality) Komon middle street block 1,
3.Kayalpattinam (Municipality) Komon east street block 1, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,700,128,66.58905704307334
132,"Central Primary School (matriculation) North Block Hall No III, Sathukai street, kayalpattinam.","1.kayalpattinam (Municipality) Ke.mu. kachichery street ward 5,
2.kayalpattinam (Municipality) Magathum street ward 5,
3.Kayalpattinam(Municipality) Mohaideen Street Ward 5, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,533,37,85.37005163511188
135,"Govt. Girls Hr. Sec School, North
Building Middle Portion, Theevu street, kayalpattinam","1.Kayalpattinam(Municipality) Pandakasalai karanar street theevu street block 7, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,520,46,79.39698492462311
136,"Govt Girls Hr Sec School North Building
middle portion South facing Theevu street kayalpattinam","1.kayalpattinam (Municipality) (mangarastreet )keela nainar street ward 3, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,263,46,67.18266253869969
