Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
7,"TN.D.T.A Primary School East Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Thottiyankudiyiiruppu Block 1,
2.Kurukattur (R.V) And (P) Erandam Pannavellai Block 2,
3.Kurukattur (R.V) And (P) North Kottuor Block 3, 4.Kurukattur (R.V) And (P) Muthuramalingapuram Block 4, 5.Kurukattur (R.V) And (P) Kuttiyalaganoor Block 6, 6.Kurukkaatoor (R.V) And (P) Kurukkaatoor North Street Block 8, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,222,214,1.4388489208633095
8,"TN.D.T.A Primary School West Portion, Kulaikkangudi Kurukattur","1.Kurukattur (R.V) And (P) Rasaangapuram Block 5, 2.Kurukattur (R.V) And (P) South Kottuor Block 7, 3.Kurukattur (R.V) And (P) Kurukattur Melauvor Block 9, 4.Kurukattur (R.V) And (P) Kurukattur Keelauvor Block 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,215,192,4.414587332053743
12,"Hindu Primary School East Portion, Nazareth","1.Nazareth (S.G.T.P) Valadi Street 1, 2.Nazareth (S.G.T.P)
ValaiyadiStreet 2, 3.Nazareth (S.G.T.P) Valaiyadi Street 3,
4.Nazareth (S.G.T.P) Valaiyadi Street 4, 5.Nazareth (S.G.T.P) Valaiyadi Street 5, 6.Nazareth (S.G.T.P) Valaiyadi Street 6,
7.Nazareth (S.G.T.P) Valaiyadi Street 7, 8.Nazareth (S.G.T.P)
Valaiyadi Street 8,, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,285,282,0.43541364296081275
13,TNDTA PRIMARY SCHOOL SOUTH PORTION AGAPPAIKULAM NAZARETH,"1.Nazareth (S.G.T.P) Agapaikkulam Street 1, 2.Nazareth (S.G.T.P) Agaipaikkulam 12, 3.Nazareth (S.G.T.P) Agaipaikulam Street 11,
4.Nazareth (S.G.T.P) Agaipaikkulam Street 2, 5.Nazareth (S.G.T.P) Agaipaikulam Street 3, 6.Nazareth (S.G.T.P) Agaipaikkulam Street 4, 7.Nazareth (S.G.T.P) Agaipaikulam Steet 5, 8.Nazareth (S.G.T.P) Agaipaikkulam street 6, 9.Nazareth (S.G.T.P) Agaipaikkulam Street 7, 10.Nazareth (S.G.T.P) Agaipaikulam Street 8, 11.Nazareth (S.G.T.P) Agaipaikulam Street 9, 12.Nazareth (S.G.T.P)
Agaipaikkulam Street 10, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,180,118,16.020671834625322
14,"Margochis Higher Secondary School Room No 6 Standard XI  B, Nazareth","1.Nazareth (S.G.T.P) Draviyapuram, 2.Nazareth (S.G.T.P)
Brotherton Street, 3.Nazareth (S.G.T.P) Jubilee Street, 4.Nazareth (S.G.T.P) Nattaiar Street, 5.Nazareth (S.G.T.P) East Street,
6.Nasrath (S.G.T.P) Masilas Street Ward 12, 999.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,341,240,15.805946791862285
16,"Margochis Higher Secondary School Class Room XIIB Standard, Nazareth.","1.Nasrath (S.G.T.P) Y.M.CA Sadukam 1st Street Ward 12,
2.Nasrath (S.G.T.P) Y.M.CA Sadukam 2nd Street Ward 12,
3.Nasrath (S.G.T.P) Y.M.CA Sadukam 3rd Street Ward 12,
4.Nazareth (S.G.T.P) Kanagaraj Street ward 12., 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,174,84,31.690140845070424
17,"Margochis Higher Secondary School, XII A Standard, Nazareth","1.Nazareth (S.G.T.P) 2nd kailasapuram street ward 9, 2.Nazareth
(S.G.T.P) 1 Gemar Street, 3.Nazareth (S.G.T.P) Kailasapuram Street, 4.Nazareth (S.G.T.P) Willams Street, 5.Nazareth (S.G.T.P) Lasaras Street, 6.Nazareth (S.G.T.P) Sethirabalan Street,
7.Nazareth (S.G.T.P) Kornelious Street, 8.Nazareth (S.G.T.P) Samual Iyyer Street, 9.Nazareth (S.G.T.P) Hospital Road,
999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,447,246,25.703324808184142
18,"St.Joseph R.C. Primary School East Portion Class Room I and II, Kanthasamypuram, Nazareth","1.Nazareth (S.G.T.P) kandasamypuram First Street, 2.Nazareth
(S.G.T.P) Kandasamypuram 2nd Street, 3.Nazareth (S.G.T.P) Kandasamypuram 3rd Street, 4.Nazareth (S.G.T.P) Thiruvalluvar colony, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,275,203,11.35646687697161
22,"T.N.D.T.A Kaspa Primary School, East Building, Thasan street, Nazareth.","1.Nazareth (S.G.T.P) Sanathi Street, 2.Nazareth (S.G.T.P) ethan Street, 3.Nazareth (S.G.T.P) Dosan Street, 4.Nazareth (S.G.T.P) Rani Queen Street, 5.Nazareth (S.G.T.P) Petter Street, 6.Nazareth (S.G.T.P) Kalanjiyam, 7.Nazareth (S.G.T.P) Stayply Street,
8.Nazareth (S.G.T.P) Jubilee Street, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,263,139,27.67857142857143
23,"T.N.D.T.A Kaspa Primary School South
Building, West portion, Thasan street, Nazareth.","1. Nazareth (S.P) Kovil Street 2) Nazareth (S.G.T.P) Immanual
Street, 3) .Nazareth (S.G.T.P) Asirwathapuram,, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,215,139,18.446601941747574
