Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
11,"Panchayat Union Middle School West Building,Puraiyoor","1.Puraiyoor (R.V) And (P) Pandaravelaiuvor Block 1, 2.Puraiyoor (R.V) And (P) Alauvkkaran colony Block 1, 3.Puraiyoor (R.V) And (P) Palaniyandi colony Block 1, 4.Puraiyoor (R.V) And (P) Vannar villai Block 1, 5.Puraiyoor (R.V) And (P) Paneermaadan colony Block 1,
6.Puraiyoor (R.V) And (P) Annaiyappa pillai Sathiram block 1,
7.Puraiyoor (R.V) And (P) Melastreet Block 2, 8.Puraiyoor (R.V) And
(P) North Street Block 2, 9.Puraiyoor (R.V) And (P) Odaikkarai Block 2, 10.Puraiyoor (R.V) And (P) ChinaStreet Block 3, 11.Puraiyoor (R.V) And (P) Parather Street BLOCK 3, 12.Puraiyoor (R.V) And (P) KammangkudiStreet BLOCK 3, 13.Puraiyoor (R.V) And (P) Salaiyadi Street Block 5, 14.Puraiyoor (R.V) And (P) Palli Street Block 3,
15.Puraiyur (R.V) And (P) Kattapulitheradu Block 1, 16.Puraiyur
(R.V) And (P) Nettaiyan Colony Block 1, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,443,221,28.53470437017995
19,"St.Joseph R.C. Primary School East Portion Class Room IV and V, Kanthasamypuram","1.Nazareth (S.G.T.P) Vaguthan Kuppam 4th Street, 2.Nazareth
(S.G.T.P) VaguthanKuppam 5th Street, 3.Nazareth (S.G.T.P) Vaguthan Kuppam 6 Street, 4.Nazareth (S.G.T.P) Vaguthan Kuppam 7th Street, 5.Nazareth (S.G.T.P) Vaguthan Kuppam Road, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,267,174,17.884615384615383
20,"St Joseph RC Primary School West
Portion Class Room I and II Kanthasamypuram, Nazareth","1.Nazareth (S.G.T.P) Mill Road, 2.Nazareth (S.G.T.P) Manikkavasakepuram Ward - 11, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,223,189,7.188160676532769
24,"Dr.MaduramT.N.T.A Kaspa Middle School South Building North Side,Nazareth.","1.Nazareth (S.G.T.P) DenialStreet, 2.Nazareth (S.G.T.P) Samuel
Street, 3.Nasarath(S.G.T.P) Samu gnaana Vilas Street Ward 15
4.Nazareth (S.G.T.P) Moses Street Ward 16, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,238,179,11.706349206349206
25,"Dr.MaduramT.N.T.A Kaspa Middle
School North Building North Side, Nazareth.","1.Nazareth (S.G.T.P) Viayabarikal Street, 2.Nazareth (S.G.T.P)
Packyapuram, 3.Nazareth (S.G.T.P) 2th Isack Street,, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,214,159,10.805500982318271
27,"St. Mariannai Middle School, Room No.3, Parakasapuram, Nazareth.","1.Nazareth (S.G.T.P) Vinayagar Street Ward 18, 2.Nazareth
(S.G.T.P) JeyapandianStreet Ward 18, 3.Nazareth (S.G.T.P) Margoschis Street Ward 18, , 4.Nazareth (S.G.T.P) First Isack Street, 5.Nazareth (S.G.T.P) Margoschis Road Ward 16, 6.Nazarath (S.G.T.P) N.T.N Street 1st Lane Ward 18, 999.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,203,162,9.192825112107624
29,"JAMES MEMORIAL MATRICULATION HR.SEC.OF S.D.A. SCHOOL Elementry
section building III Room prakasapuram","1.Nazareth (S.G.T.P) Prakasapuram 3rd Street, 2.Nazareth (S.G.T.P) Prakasapuram 4th Street, 3.Nazareth (S.G.T.P) Prakasapuram 5th Street, 4.Nazareth (S.G.T.P) Prakasapuram 6th Street Block 2,
5.Nazareth (S.G.T.P) Prakasapuram 7th Street Block 2, 6.Nazareth (S.G.T.P) Prakasapuram 8th Street Block 2, 7.Nazareth (S.G.T.P) Prakasapuram 1st Street Block 1, 8.Nazareth (S.G.T.P) Prakasapuram 2nd Street Block 1, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,178,127,13.672922252010725
30,"Eka Ratchakar Sabai Middle School East
Building, South portion, (Ground Floor), Mookkuperi.","1.Mookkuperi (R.V) And (p) South street block 8, 2.Mookkuperi
(R.V) And (P) Kovil Street Block 9, 3.Mookkuperi (R.V) And (P) Old Post Office Street Block 10, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,193,169,5.7007125890736345
36,"Grama Panchayat Sevai Maiyam,Idaiyanvilai","1.kachanavilai (R.V) And (P) Vadalivilai Block 1, 2.kachanavilai (R.V) And (P) Vadalivelai Block 2, 3.kachanavilai (R.V) And (P) Thandaiyarvelai Block 3, 4.kachanavilai (R.V) And (P) Puraiyoor Block 4, 5.kachanavilai (R.V) And (P) Puraiuoor Mohamediar street Block 5, 6.kachanavilai (R.V) And (P) Kannivillai, NallanvillaiBlock 7, 7.kachanavilai (R.V) And (P) Kattaiyanoor Block 8,
8.kachanavilai (R.V) And (P) Idaiyanvelai Block 9, 9.kachanavilai (R.V) And (P) Idaiyanvelai Block 10, 10.kachanavilai (R.V) And (P) Savarimuthu nadar Kudiruppa Block 11, 11.kachanavilai (R.V) And
(P) Shanmukapuram Block 6, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,338,238,13.123359580052494
38,"St.Xavier Middle School, Anto Hall, Sethukuvaithan.","1.Sethukkuvaithan (R.V) And (P) Sethukkuvaithan keelastreet
block 1, 2.Sethukkuvaithan (R.V) And (P) Nedungaraipunthottam block 5, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,269,218,7.7039274924471295
