Serial No. Of Polling Station,Location and name of Building in which Polling Station located,Polling Area,Winner_Party,Margin_Percentage
13,"St. Joseph College  Hr.Sec.School , Chathiram Bus Stand,Tamil Mediam Buliding West Facing Room No:17 (VI-H)","1.Tiruchirappalli corporation, Ward 12 throwpathi amman kovil street main, 2.Tiruchirappalli corporation, Ward 12 throwpathi amman kovil First Cross Street, 3.Tiruchirappalli    corporation, Ward    12 throwpathi amman    kovil    kudisai paguthi,
4.Tiruchirappalli corporation, Ward 12    Annai    sathiya    nagar,
5.Tiruchirappalli    corporation, Ward 12    kauveri    park,",Tamilaga Vettri Kazhagam,6.482982171799027
16,"St. Joseph College  Hr.Sec.School , Chathiram Bus Stand,Tamil Mediam Buliding West Facing Room No:20 (VI-E)","1.Tiruchirappalli corporation, Ward 12 subramaniyasamy kovil 1st street    , 2.Tiruchirappalli    corporation, Ward 12 subramaniyasamy kovil   2nd street,, 3.Tiruchirappalli corporation, Ward 12    kauveri    nagar,(Door No 39A/1 Above)",Tamilaga Vettri Kazhagam,21.80094786729858
22,"St. Joseph College  Hr.Sec.School , Chathiram Bus Stand,Tamil Mediam Buliding East Facing Room No:4 (VI-A)","1.Tiruchirappalli corporation, Ward 12 naduagraharam melachinthamani,   2.Tiruchirappalli corporation, Ward 12 Kayuthemillathe  Colony,",Dravida Munnetra Kazhagam,1.1661807580174928
29,"Urumu Dhanalakshmi Vidyalaya Hr.Sec.School, Tiruchirappalli Town Station Road, West facing RCC Building Room No:22","1.Tiruchirappalli    corporation, Ward 15    bharathiyar    street 4th    cross    street, 2.Tiruchirappalli Corporation, Ward 15 Bharathiyar Street John Thoppu, 3.Tiruchirappalli Corporation, Ward 15 Bharathiyar Street John Thoppu Extension,
4.Tiruchirappalli corporation, Ward 15    town    station railway colony,",Tamilaga Vettri Kazhagam,32.94460641399417
30,"Urumu Dhanalakshmi Vidhyalaya Hr.Sec.School, Tiruchirappalli Town Station Road, West facing RCC Building Room No:10","1.Tiruchirappalli    corporation, Ward 15    mooventhar    nagar,
2.Tiruchirappalli corporation, Ward 15 devathanam,
3.Thiruchirappalli    Corporation, Ward 15    Devathanm    Road 1st    Street,",Tamilaga Vettri Kazhagam,28.22477650063857
47,"Baktha Thayumanavar Middle School, Mahavidhvan Meenachisundaram Pillai Street, Pasumadam, Rockfort,   North Facing RCC Building","1.Tiruchirappalli Corporation, Ward 14 Tanjavur Kula Theru,
2.Tiruchirappalli Corporation, Ward 14 Kolla Vadugar    Theru,
3.Tiruchirappalli corporation, Ward 14 mariyappa muthaliyar santhu, 4.Tiruchirappalli Corporation, Ward 14 Sanjeevirao Santhu,   5.Tiruchirappalli Corporation, Ward 14 Pukaliyapillai Street,   6.Tiruchirappalli corporation, Ward 14 sukadoss mandi theru,   7.Tiruchirappalli Corporation, Ward 14 Nadusaniyan Kulatheru,",Tamilaga Vettri Kazhagam,19.131832797427652
49,"Holy Cross Girls Hr.Sec.School, Madurai Road, Centenary block, West East   Building, Class Room No-7   South Facing, RCC Roof","1.Tiruchirappalli corporation, Ward 21 kattapomman street jeeva nagar, 2.Tiruchirappalli corporation, Ward 21 kamarajar street jeeva nagar, 3.Tiruchirappalli corporation, Ward 21 yellai mariyamman kovil street jeeva nagar,   4.Tiruchirappalli corporation, Ward 21    V.O.C Street Jeeva Nagar,",Tamilaga Vettri Kazhagam,30.749354005167955
57,"Holy Cross Girls Hr.Sec.School, Madurai Road, North South Building, Class Room No VI-D west facing, Madras Terraced Building","1 - Tiruchirappalli Corporation, Ward 21 Valluvar Street Mandapam, 2 - Tiruchirappalli Corporation, Ward 21 Valluvar Street Jinna Street",Dravida Munnetra Kazhagam,4.610951008645533
68,"Vaicounts Ghosa Govt.Musilm Girls High School, E. B Road, North Block, North Block South Facing RCC Building Room No:2","1.Tiruchirappalli corporation, Ward-17 saithyamoorthy nagaril ulla munichipilpalaiya colony,   , 2.Tiruchirappalli corporation, Ward-17 sathiya moorthy nagar Door No 1 to 60,",Tamilaga Vettri Kazhagam,31.009615384615387
78,"Alangavilas Middle School, Poonthottam, Tanjore Road,   South Facing RCC Building (East)","1.Tiruchirappalli   corporation, Ward 18   poonthottam, (door No 1 to 71/1)",Tamilaga Vettri Kazhagam,11.602870813397129
82,"Corporation Elementray School, Tharanallur Agraharam, South Side West Facing RCC Building","1.Tiruchirappalli corpooration, Ward 17 tharanallur agraharam,
2.Tiruchirappalli   Corporation, Ward 16 Tharanallur Thoppu Street,",Tamilaga Vettri Kazhagam,28.1203007518797
83,"Corporation High School, E.B Road,   South Side   Facing RCC Building (West)","1.Tiruchirappalli corporation, Ward 16 vasanth nagar   1st main road (tharanallur),   2.Tiruchirappalli corporation, Wadr 16 vasanth nagar 2th   main road (tharanallur),   3.Tiruchirappalli corporation, Ward 16 vasanth nagar 3rd   main road (tharanallur),   4.Tiruchirappalli corporation, Ward 16 vasanth nagar 4th   main road (tharanallur),   5.Tiruchirappalli corporation, Ward 16 vasanth nagar 5th   main road (tharanallur),   6.Tiruchirappalli    corporation, Ward 16 tharanallur east street,   7.Tiruchirappalli    corporation, Ward 16 Tharanallur East Street Kalainger Nagar, 8.Tiruchirappalli corporation, Ward 16 East Street Upasanthu,",Tamilaga Vettri Kazhagam,44.06779661016949
96,"Corporation kottal ele school, ICDS Centre  vellai vetrilai kara street, Rcc Building","1.Tiruchirappalli    corporation, Ward 20 Maniyakkara street,
2.Tiruchirappalli corporation, Ward 20 North    rani    street,
3.Tiruchirappalli    corporation, Ward 20 Neethukara    Street,
4.Tiruchirappalli    corporation, Ward 20 Udaiyavar   Kovil  Street,, 5- Tiruchirappalli Corporation, Ward 20 Keelarani Street",Tamilaga Vettri Kazhagam,26.97274031563845
163,"St.Antonys Elemantary School, Irudayapuram,   (Ponniah School Premises) South Side  North Facing RCC Building Room No 4","1.Tiruchirappalli    corporation, Ward 32    mallikaipuram street upasanthu 5, 2.Tiruchirappalli corporation, Ward 32 mallikaipuram street upasanthu 6, 3.Tiruchirappalli corporation, Ward 32    mallikaipuram street upasanthu 7,
4.Tiruchirappalli    corporation, Ward 32 mariyam nagar,",Tamilaga Vettri Kazhagam,17.142857142857142
