Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
4,"Governement  Higher  Seocndary  School, Anna Centinary Hall (2 Class Rooms),
West  Building Vemboor",1) Vemboor  (R.V.) and (P) Vemboor  Block-4 2) Vemboor  (R.V.) and (P) Vemboor  Block-5 99.OVERSEAS ELECTORS,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,12,3.478260869565217
5,"Government  Higher  Secondary  School, Western Portion, Vemboor","1.Kodangipatti (R.V), Vemboor  (P) RamasamyPuram Block 6 , 2.Kodangipatti (R.V), Vemboor  (P) Azhkapuri Block 7 , 3.Kodangipatti (R.V), Vemboor  (P) Kodangipatti Block 8 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,27,3.648648648648649
6,"Panchayat  Union Middle school Eastern Portion ,Melakaranthai","1.Melakaranthai (R.V) And (P) Melakaranthai Block 1 , 2.Melakaranthai (R.V) And (P) Melakaranthai Block 3 99.OVERSEAS
ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,3,0.5747126436781609
8,"Panchayat  Union middle School
,Keelakaranthai","1.Kelakaranthai (R.V) And (P) Kelakaranthai Block 1 , 2.Kelakaranthai (R.V) And (P) Kelakaranthai Block 2 99.OVERSEAS
ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,29,4.221251819505095
11,"Hindu Primary  School New Building, InamArunachaluram","1.Innam Arunachalapuram (R.V) And (P) Innam Arunachalapuram
Block 1 , 2.Thomalaipatti (R.V), Innam Arunachalapuram (P) TholMalaipatti Block 2 99.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.45985401459854
14,"Panchayat  Union middle school East side Building , Front  room
Ayanvadamalapuram",1.Ayanvadamalapuram (R.V) and P Achiankulam Block 3 99.OVERSEAS ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,14,3.03030303030303
16,"Panchayat  Union Middle School South Building Eastern Portion, Singlipatti","1.Singhelipatti (R.V), N.  Vedapatti (P) Singhelipatti Block 3 , 2.Singilipatti (R.V), N.  Vedapatti (P) Kalukkumi Block 1 , 3.Singilipatti (R.V), N.Vedapatti (P) Kallukkumi Block 2 99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,20,2.301495972382048
18,"Hindu Primary  School,
Keelanambipuram","1.Nambipuram (R.V) And (P) Nambipuram Block 1 99.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,2.727272727272727
19,"Panchayat  Union Middle School North Side, Melmambipuram",1.Nambipuram (R.V) And (P) Ponnaihpuram Block 2. 2.Nambipuram (R.V) And (P) Mela NambipuramBlock 3 . 3.Nambipuram (R.V) And (P) Mela Nambipuram Block 4. 4.Nambipuram (R.V) And (P) Mela Nambipuram Block 5. 99.OVERSEAS ELECTORS,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,7,0.8684863523573202
21,"Panchayat  Union Primary  School New Building(west Portion), Kottur","1.Muthulapuram (R.V) And (P) Muthulapuram (Kottur) Block 5. 2.Muthulapuram (R.V) And (P) Muthulapuram Sourth Block 6.
99.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,11,1.899827288428325
23,"Panchayat  Union Primary  School, Keelnattukurichi","1.Keelnattukurichi (R.V), Muthulapuram (P) Keelnattukurichi Block 1
, 2.Sakeliyapatti (R.V), Muthulapuram (P) Sakeliyapatti Block 2 99.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,8,1.541425818882466
