Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Puthiya Tamilagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Part No,Location and Name of Building in which Polling Station Located,Polling Area,Polling Station Type,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Tamilaga Vettri Kazhagam_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Puthiya Tamilagam_Rank,Independent_Rank,Margin_Percentage,Total_Independent_Votes,AIADMK_share_pct,NTK_share_pct,DMK_share_pct,TVK_share_pct,NIP_share_pct,AIPTMK_share_pct,PT_share_pct,IND_share_pct,Cluster_ID
1,347,22,213,221,0,2,0,6,1,0,0,2,1,1,1,811,0,6,817,0,1,"Panchayat  Union Middle School Main Building, Ayankarisalkulam","1.AyanKarisalKulam (R.V) And (P) AyanKarisalKulam Block 1 ,
2.AyanKarisalKulam (R.V) And(P) AyanKarisalKulam Block 2 , 3.AyanKarisalKulam (R.V) And(P) AyanKarisalKulam Block 3 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,347,221,126,Tamilaga Vettri Kazhagam,1,4,3,2,7,6,7,5,15.5363748458693,6,42.78668310727497,2.712700369913687,26.26387176325524,27.25030826140567,0.0,0.2466091245376079,0.0,0.7398273736128237,2
2,255,45,204,172,1,1,2,5,0,0,0,1,0,2,1,685,0,4,689,0,2,Panchayat  Union Middle school North New Building Mavilpatti,"1.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block1 2.Ayan
Karisalkulam (R.V) And (P) Mavilpatti Block2 3.Ayan Karisalkulam
(R.V) And (P) Mavilpatti Block3 4.Ayan Karisalkulam (R.V) And (P) Mavilpatti Block4 99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,255,204,51,Dravida Munnetra Kazhagam,1,4,2,3,7,7,6,5,7.445255474452554,5,37.22627737226277,6.569343065693431,29.78102189781022,25.10948905109489,0.145985401459854,0.145985401459854,0.291970802919708,0.7299270072992701,2
3,289,53,215,179,1,2,0,1,1,0,0,0,0,0,0,740,0,3,743,0,3,"Government  Higer  Secondary  School, Western Portion West Building, Vemboor","1.Vemboor  (R.V.) and (P), Vemboor  block 1 2.Vemboor  (R.V) and (P) Vemboor  Block-2 3.Vemboor  (R.V.) and (P) Vemboor  Block-3
99.OVERSEAS ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,289,215,74,Dravida Munnetra Kazhagam,1,4,2,3,6,5,8,6,10.0,1,39.05405405405406,7.162162162162162,29.05405405405405,24.18918918918919,0.1351351351351351,0.2702702702702703,0.0,0.1351351351351351,2
4,71,15,133,121,0,0,4,1,0,0,0,0,0,1,0,345,0,1,346,0,4,"Governement  Higher  Seocndary  School, Anna Centinary Hall (2 Class Rooms),
West  Building Vemboor",1) Vemboor  (R.V.) and (P) Vemboor  Block-4 2) Vemboor  (R.V.) and (P) Vemboor  Block-5 99.OVERSEAS ELECTORS,General,Dravida Munnetra Kazhagam,133,121,12,Tamilaga Vettri Kazhagam,3,4,1,2,7,7,5,6,3.478260869565217,1,20.57971014492754,4.347826086956522,38.55072463768116,35.07246376811594,0.0,0.0,1.159420289855073,0.2898550724637681,1
5,183,73,246,219,0,2,8,9,1,0,1,0,0,2,1,740,0,1,741,0,5,"Government  Higher  Secondary  School, Western Portion, Vemboor","1.Kodangipatti (R.V), Vemboor  (P) RamasamyPuram Block 6 , 2.Kodangipatti (R.V), Vemboor  (P) Azhkapuri Block 7 , 3.Kodangipatti (R.V), Vemboor  (P) Kodangipatti Block 8 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,246,219,27,Tamilaga Vettri Kazhagam,3,4,1,2,8,7,6,5,3.648648648648649,9,24.72972972972973,9.864864864864865,33.24324324324324,29.59459459459459,0.0,0.2702702702702703,1.081081081081081,1.216216216216216,1
6,165,22,162,158,1,3,7,4,0,0,0,0,0,2,2,522,0,3,525,0,6,"Panchayat  Union Middle school Eastern Portion ,Melakaranthai","1.Melakaranthai (R.V) And (P) Melakaranthai Block 1 , 2.Melakaranthai (R.V) And (P) Melakaranthai Block 3 99.OVERSEAS
ELECTORS",General,All India Anna Dravida Munnetra Kazhagam,165,162,3,Dravida Munnetra Kazhagam,1,4,2,3,8,7,5,6,0.5747126436781609,4,31.60919540229885,4.21455938697318,31.03448275862069,30.26819923371648,0.1915708812260536,0.5747126436781609,1.340996168582375,0.7662835249042145,1
7,115,33,188,142,0,38,0,8,1,0,1,0,2,3,1,524,0,2,526,0,7,"Panchayat  Union Middle School
Eastern Building, Melakaranthai","1.Melakaranthai (R.V) And (P) Melakaranthai Block 2 99.OVERSEAS
ELECTORS",General,Dravida Munnetra Kazhagam,188,142,46,Tamilaga Vettri Kazhagam,3,5,1,2,7,4,7,6,8.778625954198473,8,21.94656488549618,6.297709923664121,35.87786259541985,27.09923664122137,0.0,7.251908396946565,0.0,1.526717557251908,3
8,205,36,204,234,1,0,2,5,1,0,0,1,1,1,0,687,0,4,691,0,8,"Panchayat  Union middle School
,Keelakaranthai","1.Kelakaranthai (R.V) And (P) Kelakaranthai Block 1 , 2.Kelakaranthai (R.V) And (P) Kelakaranthai Block 2 99.OVERSEAS
ELECTORS",General,Tamilaga Vettri Kazhagam,234,205,29,All India Anna Dravida Munnetra Kazhagam,2,4,3,1,7,8,6,5,4.221251819505095,5,29.83988355167395,5.240174672489083,29.69432314410481,34.06113537117904,0.1455604075691412,0.0,0.2911208151382824,0.727802037845706,1
9,137,13,243,112,1,0,6,9,0,1,1,0,2,3,1,521,0,2,523,0,9,"Panchayat  Union Middle School New
Building, Masarpatti","1.Masarpatti (R.V) And (P) Masarpatti Block 1 , 2.Masarpatti (R.V)
And (P) Masarpatti Block 2 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,243,137,106,All India Anna Dravida Munnetra Kazhagam,2,4,1,3,7,8,6,5,20.34548944337812,9,26.29558541266795,2.495201535508637,46.64107485604607,21.49712092130518,0.1919385796545106,0.0,1.151631477927063,1.727447216890595,3
10,125,8,203,141,0,3,0,4,0,0,0,0,0,2,2,484,0,5,489,0,10,"Panchayt  Union Primary  School New Building, Kailasapuram","1.Rajapatti (R.V) And (P) Rajapatti Block 1 , 2.Rajapatti (R.V) And (P) Kailasapuram Block 2 , 3.Rajapatti (R.V) And (P) Kailasapuram Block
3 99.OVERSEAS ELECTORS",General,Dravida Munnetra Kazhagam,203,141,62,Tamilaga Vettri Kazhagam,3,4,1,2,7,6,7,5,12.8099173553719,4,25.82644628099173,1.652892561983471,41.94214876033057,29.13223140495867,0.0,0.6198347107438017,0.0,0.8264462809917356,3
