Location and Name of Building in which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
"Panchayat  Middle School New Building, Kalugalasapuram",372,13,3.494623655913978
Panchayat  union primary  school old building Padarnthapuli,341,11,3.225806451612903
"Panchayat  Union primary  school south
side west  buillding (Govt high school campus) ilambuvanam",532,17,3.195488721804511
"Govt  High School New Building, Padarnthapuli",618,19,3.074433656957929
"Panchayat  Union Primary  School,
Ramanoothu",401,10,2.493765586034913
"Panchayat  Union Primary  School East
side New building East  portion Eppothumventran",416,10,2.403846153846154
"Panchayat  Union Primary  School New Building, Thalaikattupuram",309,7,2.26537216828479
"V.A.M.Rathinam Hindu Nadar  Middle
School, East  Building, Mela Eral",443,10,2.257336343115124
"Panchayat  Union Middle School Centre Room, Neeravipudupatti",533,12,2.25140712945591
"Sengundar High School
South Side Kadalaiyur East  Portion",839,17,2.026221692491061
Panchayat  Union Primary  School New building Vallinayagipuram,772,15,1.94300518134715
"Viveganantha Vidhiyasala Primary School, Kumarettiapuram",323,6,1.857585139318885
"Panchayat  Union middle school East side Building , Front  room
Ayanvadamalapuram",462,8,1.731601731601732
"Panchayat  Union Middle School New
Building, Masarpatti",521,9,1.727447216890595
"Panchayat  Union Middle School South Building Eastern Portion, Singlipatti",869,15,1.726121979286536
"T.D.T.A Middle School New building
North East, Vilatthikulam",889,15,1.687289088863892
"Panchayat  Union Middle school Main Building, Mettilpatti",834,14,1.678657074340528
"Hindu Nadar  Satthira Middle School North Side Building, Arunkulam",481,8,1.663201663201663
"Hindu Nadar  Middle School West Building South Side, Kulathur",666,11,1.651651651651652
"Govt  Hr.Sec School West Building South
Portion, Vilathikulam",493,8,1.622718052738337
"R.C.Middle School East  Building North Side, Kasavankundru",863,14,1.622247972190035
"T.N.D.T.A Primary  School, E
Velayuthapuram",766,12,1.566579634464752
"Panchayat  Union Primary  School, R. Venkadeshwerapuram",324,5,1.54320987654321
"Panchayat  Union Middle School
Eastern Building, Melakaranthai",524,8,1.526717557251908
"Hindu Nadar  Middle School South
Building, Panaiyur",464,7,1.508620689655172
"Hindu Nadar  Primary  School, Mavilodai",466,7,1.502145922746781
"Hindu Nadar  Uravienmurai Committee Primary School South Western portion, Valasamudrapuram Vembar",814,12,1.474201474201474
"Sengunder  Ramalingam Middle School South Side, Ayanpommiahpuram",627,9,1.435406698564593
"Hindu Nadar  Primary  School, T.Duraisamy Puram",913,13,1.423877327491785
"Senaiyer  Kalaimagal High School Centre
Portion North Side, Erachi",562,8,1.423487544483986
"Raja Hr, Sec, School West Building South Room Ettayapuram,Ettaiyapuram",634,9,1.419558359621451
"Panchayat  Union Primary  School East side New building, West Portion Eppothumventran",639,9,1.408450704225352
"Panchayat  Union Middle School West Side, Pungavarnatham",714,10,1.400560224089636
"Panchayat  Union Middle School, Sakkammalpuram",579,8,1.381692573402418
"Raja Hr, Sec, School West Building Middle Room Ettayapuram",956,13,1.359832635983264
"Panchayat  Union Middle School New Building, Nedunkulam",669,9,1.345291479820628
"Raja Hr.Sec School west  building north room, Ettaiyapuram",525,7,1.333333333333333
"Panchayat  Union Primary  School, Manjanaickkanpatti",602,8,1.32890365448505
"Panchayat  Union Primary  School, K.Kumarapuram",377,5,1.326259946949602
