Location and Name of Building in which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"Anganwady Building, Elanthaikulam",1,Dravida Munnetra Kazhagam,1
"Anganwady Centre, Attrankarai",1,Dravida Munnetra Kazhagam,1
"B.F.M. Primary  School, North Portion East side, Vellaram",1,Dravida Munnetra Kazhagam,1
"B.F.M. Primary  School, North Portion,
West  Side, Vellaram",1,Dravida Munnetra Kazhagam,1
Balamurugan Primary  School East  side New Building Lekkammpatti,1,All India Anna Dravida Munnetra Kazhagam,1
"Community  Hall, Therku Bommaiyapuram",1,Dravida Munnetra Kazhagam,1
"Community  Hall, Varathampatti",1,Dravida Munnetra Kazhagam,1
"Governement  Higher  Seocndary  School, Anna Centinary Hall (2 Class Rooms),
West  Building Vemboor",1,Dravida Munnetra Kazhagam,1
"Government  Higer  Secondary  School, Western Portion West Building, Vemboor",1,All India Anna Dravida Munnetra Kazhagam,1
"Government  Higher  Secondary  School, Western Portion, Vemboor",1,Dravida Munnetra Kazhagam,1
"Govt  Adi Dravidar welfare Primary
School, .  O.Lakshminarayanpuram",1,All India Anna Dravida Munnetra Kazhagam,1
Govt  High School New Building North Side Ariyanayagipuram,1,All India Anna Dravida Munnetra Kazhagam,1
"Govt  High School New Building, Ariyanayagipuram",1,Dravida Munnetra Kazhagam,1
"Govt  High School New Building, Padarnthapuli",1,Dravida Munnetra Kazhagam,1
"Govt  Higher  Sec. School Three classes Room Building, Middle Portion Sivaganapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Govt  Higher  Secondary  School East  side
North Block, Kulathur",1,Tamilaga Vettri Kazhagam,1
"Govt  Higher  Secondary  School North Building Central Hall, Kulathur",1,Tamilaga Vettri Kazhagam,1
"Govt  Hr  Sec School Centre Building A
Block North Portion Vilathikulam",1,Dravida Munnetra Kazhagam,1
"Govt  Hr  Sec School Centre Building A
Block South Portion Vilathikulam",1,Tamilaga Vettri Kazhagam,1
"Govt  Hr  Sec School South Building West Side, Pudur",1,Tamilaga Vettri Kazhagam,1
"Govt  Hr  Sec School, North New Building East Portion, Hall No.3 Vilathikulam",1,Dravida Munnetra Kazhagam,1
"Govt  Hr  Sec School, North New Building West  Portion, Hall No.1 Vilathikulam",1,Tamilaga Vettri Kazhagam,1
"Govt  Hr. Sec School Centre Side East Building, Pudur",1,Tamilaga Vettri Kazhagam,1
"Govt  Hr. Sec School South facing Building , Pudur.",1,Tamilaga Vettri Kazhagam,1
