Serial No. Of Polling Station,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
4,Dravida Munnetra Kazhagam,133,121,3.508771929824561
6,All India Anna Dravida Munnetra Kazhagam,165,162,0.5836575875486382
8,Tamilaga Vettri Kazhagam,234,205,4.215116279069767
18,Dravida Munnetra Kazhagam,110,101,2.727272727272727
21,All India Anna Dravida Munnetra Kazhagam,215,204,1.8932874354561102
23,Tamilaga Vettri Kazhagam,181,173,1.5625
24,Tamilaga Vettri Kazhagam,202,167,6.469500924214418
26,Tamilaga Vettri Kazhagam,108,75,11.619718309859154
27,Tamilaga Vettri Kazhagam,185,159,5.689277899343545
31,Tamilaga Vettri Kazhagam,227,217,1.4064697609001406
35,All India Anna Dravida Munnetra Kazhagam,255,244,1.4745308310991956
49,Tamilaga Vettri Kazhagam,321,228,12.269129287598943
50,Tamilaga Vettri Kazhagam,269,236,4.680851063829787
51,Dravida Munnetra Kazhagam,262,259,0.4016064257028112
52,Dravida Munnetra Kazhagam,366,308,6.170212765957447
53,Dravida Munnetra Kazhagam,284,269,2.043596730245232
55,Tamilaga Vettri Kazhagam,313,251,7.4074074074074066
57,Tamilaga Vettri Kazhagam,224,219,0.7936507936507936
59,Tamilaga Vettri Kazhagam,197,146,9.732824427480915
60,Tamilaga Vettri Kazhagam,165,164,0.22675736961451248
61,Tamilaga Vettri Kazhagam,245,239,0.9090909090909091
64,Dravida Munnetra Kazhagam,32,32,0.0
69,Tamilaga Vettri Kazhagam,359,292,7.196562835660581
72,Tamilaga Vettri Kazhagam,273,228,6.797583081570997
73,Tamilaga Vettri Kazhagam,405,353,5.526036131774708
82,Tamilaga Vettri Kazhagam,252,239,1.7711171662125342
85,Dravida Munnetra Kazhagam,333,299,3.7444933920704844
86,Tamilaga Vettri Kazhagam,199,194,0.8517887563884157
88,Dravida Munnetra Kazhagam,265,248,2.3319615912208507
96,Dravida Munnetra Kazhagam,158,151,1.4830508474576272
97,Dravida Munnetra Kazhagam,150,126,5.9405940594059405
101,Dravida Munnetra Kazhagam,126,119,1.837270341207349
105,Dravida Munnetra Kazhagam,237,217,2.9154518950437316
108,Tamilaga Vettri Kazhagam,186,140,9.426229508196721
109,All India Anna Dravida Munnetra Kazhagam,185,169,2.8828828828828827
111,Dravida Munnetra Kazhagam,311,252,7.96221322537112
113,Tamilaga Vettri Kazhagam,307,284,2.926208651399491
114,Tamilaga Vettri Kazhagam,262,156,16.905901116427433
122,All India Anna Dravida Munnetra Kazhagam,127,124,0.8064516129032258
132,Dravida Munnetra Kazhagam,139,138,0.22779043280182232
133,Dravida Munnetra Kazhagam,257,257,0.0
138,Tamilaga Vettri Kazhagam,236,197,6.161137440758294
140,Tamilaga Vettri Kazhagam,310,247,9.104046242774565
141,Dravida Munnetra Kazhagam,237,201,6.474820143884892
142,Tamilaga Vettri Kazhagam,181,168,2.6476578411405294
143,Tamilaga Vettri Kazhagam,363,276,9.742441209406495
146,Dravida Munnetra Kazhagam,154,151,0.631578947368421
147,Dravida Munnetra Kazhagam,224,211,2.276707530647986
148,Tamilaga Vettri Kazhagam,344,272,8.275862068965518
150,All India Anna Dravida Munnetra Kazhagam,221,186,5.700325732899023
151,Tamilaga Vettri Kazhagam,276,258,2.176541717049577
152,Tamilaga Vettri Kazhagam,110,100,2.9585798816568047
153,Tamilaga Vettri Kazhagam,364,221,17.1875
154,Dravida Munnetra Kazhagam,316,248,8.25242718446602
158,All India Anna Dravida Munnetra Kazhagam,123,116,2.1739130434782608
161,All India Anna Dravida Munnetra Kazhagam,331,298,3.810623556581986
163,Tamilaga Vettri Kazhagam,297,279,2.1791767554479415
164,Tamilaga Vettri Kazhagam,248,220,4.236006051437216
165,Tamilaga Vettri Kazhagam,328,310,2.18978102189781
166,Tamilaga Vettri Kazhagam,423,248,18.91891891891892
167,Tamilaga Vettri Kazhagam,294,150,24.870466321243523
168,Tamilaga Vettri Kazhagam,280,169,17.103235747303543
169,Tamilaga Vettri Kazhagam,230,199,4.83619344773791
170,Tamilaga Vettri Kazhagam,177,141,7.792207792207792
173,All India Anna Dravida Munnetra Kazhagam,255,246,1.1873350923482848
186,Dravida Munnetra Kazhagam,234,199,5.993150684931506
187,Dravida Munnetra Kazhagam,304,280,2.8503562945368173
188,All India Anna Dravida Munnetra Kazhagam,290,258,3.7735849056603774
202,Dravida Munnetra Kazhagam,151,143,1.735357917570499
203,All India Anna Dravida Munnetra Kazhagam,210,196,2.1705426356589146
