Serial No. Of Polling Station,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
5,Dravida Munnetra Kazhagam,246,219,3.6935704514363885
7,Dravida Munnetra Kazhagam,188,142,9.426229508196721
11,Dravida Munnetra Kazhagam,172,164,1.4625228519195612
12,Dravida Munnetra Kazhagam,283,224,7.712418300653595
13,Dravida Munnetra Kazhagam,176,148,5.970149253731343
14,Tamilaga Vettri Kazhagam,143,129,3.30188679245283
16,All India Anna Dravida Munnetra Kazhagam,315,295,2.3041474654377883
19,Dravida Munnetra Kazhagam,273,266,0.8760951188986232
20,Dravida Munnetra Kazhagam,249,207,6.069364161849711
30,Dravida Munnetra Kazhagam,230,217,1.6688061617458279
32,Dravida Munnetra Kazhagam,278,261,2.014218009478673
38,Dravida Munnetra Kazhagam,123,103,6.153846153846154
39,Dravida Munnetra Kazhagam,142,116,6.516290726817042
40,Dravida Munnetra Kazhagam,99,85,4.745762711864407
42,Dravida Munnetra Kazhagam,244,202,6.5522620904836195
43,All India Anna Dravida Munnetra Kazhagam,209,202,1.2216404886561953
45,All India Anna Dravida Munnetra Kazhagam,157,112,12.195121951219512
46,Dravida Munnetra Kazhagam,179,163,3.0534351145038165
47,Dravida Munnetra Kazhagam,209,205,0.6472491909385114
48,All India Anna Dravida Munnetra Kazhagam,144,95,14.327485380116958
58,Tamilaga Vettri Kazhagam,327,300,2.845100105374078
62,Dravida Munnetra Kazhagam,181,163,3.4416826003824093
65,All India Anna Dravida Munnetra Kazhagam,293,282,1.2910798122065728
71,All India Anna Dravida Munnetra Kazhagam,148,143,1.1286681715575622
76,Dravida Munnetra Kazhagam,193,185,1.3377926421404682
81,Dravida Munnetra Kazhagam,242,199,6.1253561253561255
92,Dravida Munnetra Kazhagam,124,103,6.069364161849711
94,Dravida Munnetra Kazhagam,309,270,4.328523862375139
98,Dravida Munnetra Kazhagam,167,133,7.234042553191489
102,Dravida Munnetra Kazhagam,312,251,6.91609977324263
106,All India Anna Dravida Munnetra Kazhagam,111,101,2.5906735751295336
115,Dravida Munnetra Kazhagam,146,139,1.7543859649122806
116,Dravida Munnetra Kazhagam,255,211,6.929133858267717
121,Dravida Munnetra Kazhagam,157,135,5.128205128205128
123,Dravida Munnetra Kazhagam,263,233,3.6231884057971016
124,All India Anna Dravida Munnetra Kazhagam,271,236,4.545454545454546
129,Dravida Munnetra Kazhagam,114,109,1.4326647564469914
130,All India Anna Dravida Munnetra Kazhagam,275,254,2.7096774193548385
131,All India Anna Dravida Munnetra Kazhagam,212,177,5.942275042444821
135,Dravida Munnetra Kazhagam,225,209,2.363367799113737
136,Dravida Munnetra Kazhagam,229,151,13.402061855670103
149,Dravida Munnetra Kazhagam,141,139,0.45558086560364464
191,Dravida Munnetra Kazhagam,216,199,2.6856240126382307
201,Tamilaga Vettri Kazhagam,162,158,0.81799591002045
215,Dravida Munnetra Kazhagam,312,246,7.603686635944701
216,All India Anna Dravida Munnetra Kazhagam,260,232,4.154302670623145
221,Dravida Munnetra Kazhagam,203,167,6.0606060606060606
225,Dravida Munnetra Kazhagam,175,130,9.336099585062241
229,Dravida Munnetra Kazhagam,186,178,1.282051282051282
232,Tamilaga Vettri Kazhagam,227,216,1.4492753623188406
233,Dravida Munnetra Kazhagam,283,250,4.064039408866995
238,Dravida Munnetra Kazhagam,200,180,3.4904013961605584
240,All India Anna Dravida Munnetra Kazhagam,353,299,5.4822335025380715
241,Dravida Munnetra Kazhagam,273,195,10.497981157469717
242,Dravida Munnetra Kazhagam,302,246,6.473988439306358
243,Tamilaga Vettri Kazhagam,182,156,4.20032310177706
246,Dravida Munnetra Kazhagam,343,235,11.894273127753303
251,Dravida Munnetra Kazhagam,244,137,17.51227495908347
252,Dravida Munnetra Kazhagam,195,156,7.289719626168225
259,Dravida Munnetra Kazhagam,264,255,1.0638297872340425
263,Dravida Munnetra Kazhagam,230,183,6.638418079096045
265,Dravida Munnetra Kazhagam,363,305,5.948717948717949
266,All India Anna Dravida Munnetra Kazhagam,120,117,0.6507592190889371
267,Tamilaga Vettri Kazhagam,240,176,8.767123287671232
