Serial No. Of Polling Station,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
1,All India Anna Dravida Munnetra Kazhagam,347,221,15.460122699386503
2,All India Anna Dravida Munnetra Kazhagam,255,204,7.445255474452554
3,All India Anna Dravida Munnetra Kazhagam,289,215,10.0
15,All India Anna Dravida Munnetra Kazhagam,258,188,11.11111111111111
17,All India Anna Dravida Munnetra Kazhagam,361,216,17.3444976076555
36,All India Anna Dravida Munnetra Kazhagam,150,105,13.846153846153847
37,Dravida Munnetra Kazhagam,263,239,3.4090909090909087
41,All India Anna Dravida Munnetra Kazhagam,113,69,15.884476534296029
44,All India Anna Dravida Munnetra Kazhagam,185,128,12.808988764044942
74,All India Anna Dravida Munnetra Kazhagam,219,159,11.516314779270633
75,All India Anna Dravida Munnetra Kazhagam,323,252,8.606060606060606
78,All India Anna Dravida Munnetra Kazhagam,289,139,28.517110266159694
83,All India Anna Dravida Munnetra Kazhagam,262,245,2.344827586206897
84,All India Anna Dravida Munnetra Kazhagam,149,127,6.321839080459771
90,All India Anna Dravida Munnetra Kazhagam,322,256,7.638888888888889
91,All India Anna Dravida Munnetra Kazhagam,322,173,22.85276073619632
99,All India Anna Dravida Munnetra Kazhagam,166,130,9.278350515463918
119,Dravida Munnetra Kazhagam,163,156,1.5217391304347827
120,All India Anna Dravida Munnetra Kazhagam,172,90,27.609427609427613
125,All India Anna Dravida Munnetra Kazhagam,269,184,14.705882352941178
126,All India Anna Dravida Munnetra Kazhagam,353,319,3.512396694214876
127,All India Anna Dravida Munnetra Kazhagam,237,183,8.653846153846153
128,All India Anna Dravida Munnetra Kazhagam,190,166,5.442176870748299
134,All India Anna Dravida Munnetra Kazhagam,204,198,1.0118043844856661
144,All India Anna Dravida Munnetra Kazhagam,176,147,6.387665198237885
155,All India Anna Dravida Munnetra Kazhagam,311,175,20.088626292466767
156,All India Anna Dravida Munnetra Kazhagam,158,133,6.25
157,All India Anna Dravida Munnetra Kazhagam,154,79,22.255192878338278
160,All India Anna Dravida Munnetra Kazhagam,235,218,2.627511591962906
162,All India Anna Dravida Munnetra Kazhagam,294,239,7.3138297872340425
171,All India Anna Dravida Munnetra Kazhagam,328,324,0.4576659038901602
172,All India Anna Dravida Munnetra Kazhagam,350,263,10.163551401869158
174,All India Anna Dravida Munnetra Kazhagam,141,96,13.93188854489164
175,All India Anna Dravida Munnetra Kazhagam,350,201,21.688500727802037
176,All India Anna Dravida Munnetra Kazhagam,271,173,16.610169491525422
177,Dravida Munnetra Kazhagam,248,210,6.050955414012739
178,All India Anna Dravida Munnetra Kazhagam,239,160,13.644214162348877
179,All India Anna Dravida Munnetra Kazhagam,162,126,9.0
180,All India Anna Dravida Munnetra Kazhagam,458,338,12.38390092879257
181,All India Anna Dravida Munnetra Kazhagam,199,194,0.9784735812133072
182,All India Anna Dravida Munnetra Kazhagam,221,112,23.799126637554586
183,All India Anna Dravida Munnetra Kazhagam,257,157,18.45018450184502
184,All India Anna Dravida Munnetra Kazhagam,123,110,4.304635761589404
185,All India Anna Dravida Munnetra Kazhagam,301,241,7.968127490039841
190,All India Anna Dravida Munnetra Kazhagam,182,163,3.6468330134357005
192,Dravida Munnetra Kazhagam,321,256,8.301404853128991
193,All India Anna Dravida Munnetra Kazhagam,317,255,7.251461988304094
194,All India Anna Dravida Munnetra Kazhagam,361,206,19.230769230769234
195,All India Anna Dravida Munnetra Kazhagam,150,59,31.4878892733564
196,All India Anna Dravida Munnetra Kazhagam,343,190,20.8731241473397
197,All India Anna Dravida Munnetra Kazhagam,218,177,7.592592592592593
199,All India Anna Dravida Munnetra Kazhagam,177,92,27.5974025974026
200,All India Anna Dravida Munnetra Kazhagam,290,207,11.77304964539007
218,All India Anna Dravida Munnetra Kazhagam,144,56,31.654676258992804
220,All India Anna Dravida Munnetra Kazhagam,195,76,34.492753623188406
236,All India Anna Dravida Munnetra Kazhagam,145,103,12.138728323699421
237,All India Anna Dravida Munnetra Kazhagam,266,224,6.0606060606060606
250,All India Anna Dravida Munnetra Kazhagam,135,129,1.744186046511628
255,Dravida Munnetra Kazhagam,216,215,0.16233766233766234
256,All India Anna Dravida Munnetra Kazhagam,218,189,5.141843971631205
258,All India Anna Dravida Munnetra Kazhagam,257,204,7.250341997264022
270,All India Anna Dravida Munnetra Kazhagam,178,153,5.506607929515418
