Serial No. Of Polling Station,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
9,Dravida Munnetra Kazhagam,243,137,20.54263565891473
10,Dravida Munnetra Kazhagam,203,141,12.757201646090536
22,Dravida Munnetra Kazhagam,112,68,17.46031746031746
25,Dravida Munnetra Kazhagam,323,203,17.142857142857142
28,Dravida Munnetra Kazhagam,244,190,9.40766550522648
29,Dravida Munnetra Kazhagam,306,140,28.040540540540544
33,Dravida Munnetra Kazhagam,356,258,11.821471652593486
34,Dravida Munnetra Kazhagam,246,171,11.26126126126126
54,Dravida Munnetra Kazhagam,178,125,12.383177570093459
56,Dravida Munnetra Kazhagam,371,218,19.973890339425587
63,Dravida Munnetra Kazhagam,226,153,14.313725490196077
66,Dravida Munnetra Kazhagam,327,192,18.467852257181942
67,Dravida Munnetra Kazhagam,225,143,14.828209764918626
68,Dravida Munnetra Kazhagam,346,257,10.12514220705347
70,Dravida Munnetra Kazhagam,254,140,19.453924914675767
77,Dravida Munnetra Kazhagam,260,154,18.244406196213426
79,Dravida Munnetra Kazhagam,297,113,33.153153153153156
80,Dravida Munnetra Kazhagam,293,161,20.401854714064914
87,Dravida Munnetra Kazhagam,236,101,29.15766738660907
89,Dravida Munnetra Kazhagam,204,166,7.392996108949417
93,Dravida Munnetra Kazhagam,337,228,15.593705293276109
95,Dravida Munnetra Kazhagam,285,177,16.927899686520377
100,Dravida Munnetra Kazhagam,241,173,10.69182389937107
103,Dravida Munnetra Kazhagam,259,196,9.84375
104,Dravida Munnetra Kazhagam,212,132,16.528925619834713
107,Dravida Munnetra Kazhagam,289,197,14.11042944785276
110,Dravida Munnetra Kazhagam,226,150,13.547237076648841
112,Dravida Munnetra Kazhagam,282,185,14.74164133738602
117,Dravida Munnetra Kazhagam,237,159,13.541666666666666
118,Dravida Munnetra Kazhagam,281,161,19.480519480519483
137,Dravida Munnetra Kazhagam,280,197,11.706629055007053
139,Dravida Munnetra Kazhagam,278,147,23.861566484517304
145,Dravida Munnetra Kazhagam,205,153,10.505050505050505
159,Dravida Munnetra Kazhagam,192,102,24.193548387096776
189,Dravida Munnetra Kazhagam,262,178,13.270142180094787
198,Dravida Munnetra Kazhagam,368,174,27.873563218390807
205,Dravida Munnetra Kazhagam,300,217,11.432506887052343
209,Dravida Munnetra Kazhagam,199,125,16.629213483146067
212,Dravida Munnetra Kazhagam,218,155,12.5
213,Dravida Munnetra Kazhagam,147,107,10.75268817204301
217,Dravida Munnetra Kazhagam,184,104,19.18465227817746
219,Dravida Munnetra Kazhagam,304,188,17.62917933130699
222,Dravida Munnetra Kazhagam,134,93,12.275449101796406
223,Dravida Munnetra Kazhagam,291,224,9.463276836158192
226,Dravida Munnetra Kazhagam,188,143,9.0
230,Dravida Munnetra Kazhagam,434,324,11.714589989350372
231,Dravida Munnetra Kazhagam,276,217,9.147286821705427
234,Dravida Munnetra Kazhagam,250,195,9.46643717728055
235,Dravida Munnetra Kazhagam,267,186,12.461538461538462
239,Dravida Munnetra Kazhagam,336,160,23.435419440745672
245,Dravida Munnetra Kazhagam,209,117,19.45031712473573
260,Dravida Munnetra Kazhagam,231,165,11.224489795918368
262,Dravida Munnetra Kazhagam,334,215,17.81437125748503
268,Dravida Munnetra Kazhagam,158,97,17.941176470588236
