Label,Total_Votes,Share_Percentage
TVK,82614,45.51459691148195
DMK,73220,40.33915299899179
AIADMK,18215,10.03520447796552
NTK,5012,2.761265157483568
NOTA,882,0.4859209634677789
RPI(A),476,0.2622430596492775
BSP,226,0.1245103602536485
SAP,180,0.09916754356485281
IND18,152,0.08374148123254238
IND6,123,0.06776448810264943
IND7,120,0.06611169570990187
TAVAK,104,0.05729680294858163
IND5,83,0.0457272561993488
IND8,79,0.04352353300901873
IND9,74,0.04076887902110616
IND21,72,0.03966701742594113
IND15,64,0.035259571045281
IND16,56,0.03085212466462087
IND14,55,0.03030119386703836
IND1,53,0.02919933227187333
IND22,53,0.02919933227187333
IND10,52,0.02864840147429082
IND11,50,0.02754653987912578
IND2,43,0.02369002429604817
IND24,34,0.01873164711780553
IND17,33,0.01818071632022302
IND4,33,0.01818071632022302
IND3,31,0.01707885472505798
IND19,28,0.01542606233231044
DMSK,25,0.01377326993956289
VTVTK,24,0.01322233914198038
IND23,22,0.01212047754681535
IND20,22,0.01212047754681535
IND13,21,0.01156954674923283
IND12,13,0.007162100368572704
