Polling_Station_No,location_clean,polling area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
3,Chennai-99,"1 - Kolathur [ Ward No.64] Mohammed Hussian Colony
2 - Kolathur [ Ward No.64] Ganesh Nagar G.J.V
3 - Kolathur [ Ward No.64] Jayanthi Nagar
4 - Kolathur [ Ward No.64 ] Thuraimugam Colony Harbour 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,11,1.441677588466579
6,Chennai-99,"1 - Kolathur [ ward No.64 ] Subramaniapuram Main Road
2 - Kolathur [ Ward No.64] Mahaveer Nagar
3 - Kolathur [ Ward No.64 ] Thillai Nagar 1st Main Road
4 - Kolathur [ Ward No.64 ] Thillai Nagar 2nd Main Road
5 - Kolathur [ ward No.64 ] Thillai Nagar 2nd Cross Street
6 - Kolathur [ ward No.64 ] Thillai Nagar 3th Cross Street
7 - Kolathur [ ward No.64 ] Thillai Nagar 4th Cross Street
8 - Kolathur [ ward No.64 ] Thillai Nagar 5th Cross Street
9 - Kolathur [ ward No.64 ] Selvi Nagar 2nd Street
10 - Kolathur [ ward No.64 ] Selvi Nagar 3rd Street
11 - Kolathur [ ward No.64 ] Selvi Nagar 4th Street
12 - Kolathur [ ward No.64 ] Selvi Nagar 5th Street
13 - Kolathur [ ward No.64 ] Dhanrajpuram
14 - Kolathur [ ward No.64 ] Thillai Nagar 1st Cross Street 999 - Overseas Elector",dravida munnetra kazhagam,tamilaga vettri kazhagam,22,3.026134800550206
7,4th cross Street Senthil Nagar Kolathur Chennai-99,"1 - Kolathur [ Ward No.64 ] Senthil Nagar 1st Main Road
2 - Kolathur [ Ward No.64 ] Senthil Nagar 2nd Main Road
3 - Kolathur [ Ward No.64 ] Senthil Nagar 1st Cross street
4 - Kolathur [ Ward No.64 ] Senthil Nagar 2nd Cross Street
5 - Kolathur [ Ward No.64 ] Senthil Nagar 3rd Street
6 - Kolathur [ Ward No.64 ] Senthil Nagar 4th Street
7 - Kolathur [ Ward No.64 ] Senthil Nagar 5th Cross Street
8 - Kolathur [ Ward No.64 ] Senthil Nagar 6th Cross Street
9 - Kolathur [ Ward No.64 ] Senthil Nagar 7th Cross Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,19,2.706552706552706
10,Chennai-99,"1 - Kolathur [ Ward No.64 ] Srinivasa Nagar 3rd Main Road
2 - Kolathur [ Ward No.64 ] Srinivasa Nagar 1st Cross Street
3 - Kolathur [ Ward No.64 ] T.K. Road Srinivasan Nagar
4 - Kolathur [ Ward No.64 ] Srinivasa Nagar 1st Main Road
5 - Kolathur [ Ward No.64 ] Srinivasa Nagar 2nd Main Road
6 - Kolathur [ Ward No.64 ] Thirumurugan Nagar",dravida munnetra kazhagam,tamilaga vettri kazhagam,8,1.300813008130081
11,Chennai-99,"1 - Kolathur [ Ward No.64 ] Srinrvasa Nagar 2nd Cross Street
2 - Kolathur [ Ward No.64 ] Srinivasa Nagar 5th Cross Street
3 - Kolathur [ Ward No.64 ] Srinivasa Nagar 6th Cross Street
4 - Kolathur [ Ward No.64] Srinivasa Nagar 7th Cross Street
5 - Kolathur [ Ward No.64 ] Srinivasa Nagar 3rd Cross Street
6 - Kolathur [ Ward No.64 ] Srinivasa Nagar 4th Cross Street",dravida munnetra kazhagam,tamilaga vettri kazhagam,21,4.061895551257253
15,Chennai-99,"1 - Kolathur Ward No.65Thenpazhani Nagar Vinaygar Koil Street
2 - Kolathur [Ward No.65]Thenpazhani Nagar Thiruvalluvar Street
3 - Kolathur [Ward No.65]Thenpazhani Nagar Nehru Street
4 - Kolathur [Ward No.65]Thenpazhani Nagar Kamarajar Street
5 - Kolathur [Ward No.65]Thenpazhani Nagar Vinayagam Colony
6 - Kolathur [Ward No.65]Thenpazhani Nagar Periyar Street
7 - Kolathur [Ward No.65]Thenpazhani Nagar RedhillsRoad
8 - Kolathur [ Ward No.65 ] Thenpazhani Nagar Thiru Vi Ka Street
9 - Kolathur [Ward No.65]Thenpazhani Nagar Azhagiri Street
10 - Kolathur [Ward No.65]Thenpazhani Nagar Rajaji Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,31,4.579025110782865
18,Chennai-99,"1 - Kolathur [Ward No.65]Lakshmi Nagar 1st Street
2 - Kolathur [Ward No.65]Lakshmi Nagar 2nd Street
3 - Kolathur [Ward No.65]Lakshmi Nagar 4th Street
4 - Kolathur [Ward No.65]Lakshmi Nagar 5th Street
5 - Kolathur [Ward No.65]Lakshmi Nagar 6th Steet
6 - Kolathur [Ward No.65]Lakshmi Nagar Junction
7 - Kolathur [Ward No.65]N.V.M Nagar Aerikarai
8 - Kolathur [Ward No.65]Lakshmi Nagar 7th Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,9,1.451612903225806
19,Chennai-99,"1 - Kolathur [ Ward No.64 ] Dhayalu Nagar Main Road
2 - Kolathur [ Ward No.64] Dhayalu Nagar 1st Street
3 - Kolathur [ Ward No.64 ] Dhayalu Nagar 2nd Street
4 - Kolathur [ Ward No.64 ] Dhayalu Nagar 3rd Street
5 - Kolathur [ Ward No.64 ] Dhayalu Nagar 6th Street
6 - Kolathur [ Ward No.64 ] Dhayalu Nagar 7th Street
7 - Kolathur [ Ward No.64 ] Dhayalu Nagar 8th Street
8 - Kolathur [ Ward No.64 ] Dhayalu Nagar Extn
9 - Kolathur [ Ward No.64 ] Dhayalu Nagar 4th Street
10 - Kolathur [ Ward No.64 ] Sowbhagya Flats 4th Street
11 - Kolathur [ Ward No.64 ] Indira Nagar 1st Street
12 - Kolathur [ Ward No.64 ] Indira Nagar 2nd Street
13 - Kolathur [ Ward No.64 ] R.K.Syndicate Nagar 999 - Overseas Elector",tamilaga vettri kazhagam,dravida munnetra kazhagam,33,4.796511627906977
22,Chennai-99,"1 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony
2 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony 1st Street
3 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony 2nd Street
4 - Kolathur [ Ward No.64] Rangadass Reddy Colony 3rd Street
5 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony Ganesh Nagar Extn
6 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony Ganesh
Nagar",dravida munnetra kazhagam,tamilaga vettri kazhagam,16,2.366863905325444
23,Room 4,"1 - Kolathur [ Ward No.64 ] Teachers Guild Colony 1st Street
2 - Kolathur [ Ward No.64 ] Teachers Guild Colony 2rd Street
3 - Kolathur [ Ward No.64 ] Teachers Guild Colony 3th Street
4 - Kolathur [ Ward No.64 ] Teachers Guild Colony 4th Street
5 - Kolathur [ Ward No.64 ] Teachers Guild Colony Main Road
6 - Kolathur [ Ward No.64 ] Bharathi Nagar Ext
7 - Kolathur [ Ward No.64 ] Abirami Nagar",tamilaga vettri kazhagam,dravida munnetra kazhagam,10,1.901140684410646
