Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
177,Ch-11,661,14,tamilaga vettri kazhagam,48,2.118003025718608,No
286,Chennai-11,524,11,tamilaga vettri kazhagam,19,2.099236641221374,No
64,Chennai-99,632,13,tamilaga vettri kazhagam,63,2.056962025316456,No
183,Chennai-11,672,13,dravida munnetra kazhagam,36,1.93452380952381,No
236,Chennai-11,440,8,tamilaga vettri kazhagam,8,1.818181818181818,No
134,Chennai-11,561,10,tamilaga vettri kazhagam,136,1.7825311942959,No
281,Ch-82,512,9,dravida munnetra kazhagam,11,1.7578125,No
239,Chennai-23,599,10,dravida munnetra kazhagam,44,1.669449081803005,No
222,Perambur-Ch-11,605,10,tamilaga vettri kazhagam,137,1.652892561983471,No
1,Chennai-99,801,13,tamilaga vettri kazhagam,281,1.622971285892634,No
268,Room 2,804,13,dravida munnetra kazhagam,278,1.616915422885572,No
184,Chennai-11,696,11,tamilaga vettri kazhagam,79,1.580459770114943,No
86,Ch-99,780,12,tamilaga vettri kazhagam,257,1.538461538461539,No
204,Chennai-11,458,7,tamilaga vettri kazhagam,7,1.528384279475983,No
243,Room 2,464,7,tamilaga vettri kazhagam,24,1.508620689655172,No
244,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,748,11,tamilaga vettri kazhagam,59,1.470588235294118,No
190,Ch-11,684,10,dravida munnetra kazhagam,150,1.461988304093567,No
229,Chennai-11,619,9,dravida munnetra kazhagam,87,1.453957996768982,No
262,GKM Colony Ch-82 North facing Room 5,763,11,tamilaga vettri kazhagam,115,1.441677588466579,No
62,Room 2,699,10,dravida munnetra kazhagam,0,1.430615164520744,Yes
130,Ch-82,780,11,tamilaga vettri kazhagam,100,1.41025641025641,No
253,"Chennai primary School Punitha Sagaya Matha Street
G.K.M Colony 27th street Chennai-82",500,7,tamilaga vettri kazhagam,15,1.4,No
111,Ch-82,644,9,tamilaga vettri kazhagam,114,1.397515527950311,No
188,Room 3,728,10,dravida munnetra kazhagam,100,1.373626373626374,No
182,Chennai-11,874,12,tamilaga vettri kazhagam,19,1.372997711670481,No
126,Room Ist Std A,586,8,tamilaga vettri kazhagam,76,1.36518771331058,No
171,Chennai-11,662,9,tamilaga vettri kazhagam,31,1.359516616314199,No
219,Ch-11,593,8,tamilaga vettri kazhagam,69,1.349072512647555,No
154,Chennai-82,678,9,tamilaga vettri kazhagam,28,1.327433628318584,No
276,Ch-82,604,8,tamilaga vettri kazhagam,42,1.324503311258278,No
282,Chennai-11,686,9,dravida munnetra kazhagam,118,1.311953352769679,No
198,Chennai-11,535,7,tamilaga vettri kazhagam,27,1.308411214953271,No
247,Ch-23,552,7,tamilaga vettri kazhagam,193,1.268115942028986,No
39,Ch-99,477,6,tamilaga vettri kazhagam,92,1.257861635220126,No
95,Room 8,557,7,tamilaga vettri kazhagam,74,1.25673249551167,No
73,Chennai-99,559,7,tamilaga vettri kazhagam,53,1.252236135957066,No
212,Chennai-11,321,4,dravida munnetra kazhagam,26,1.246105919003115,No
58,Chennai-82,409,5,tamilaga vettri kazhagam,26,1.222493887530562,No
224,Chennai-11,574,7,tamilaga vettri kazhagam,123,1.219512195121951,No
119,Ch-82,501,6,tamilaga vettri kazhagam,124,1.197604790419162,No
128,Chennai-82,675,8,tamilaga vettri kazhagam,119,1.185185185185185,No
131,Ch-82,677,8,tamilaga vettri kazhagam,65,1.181683899556869,No
88,Chennai - 99,438,5,dravida munnetra kazhagam,12,1.141552511415525,No
269,Ch-82,709,8,tamilaga vettri kazhagam,104,1.128349788434415,No
112,Room 2,798,9,tamilaga vettri kazhagam,134,1.12781954887218,No
135,Room 3,712,8,tamilaga vettri kazhagam,133,1.123595505617978,No
96,Chennai - 99,534,6,tamilaga vettri kazhagam,65,1.123595505617978,No
216,Room 4,715,8,dravida munnetra kazhagam,15,1.118881118881119,No
228,Chennai-11,635,7,dravida munnetra kazhagam,95,1.102362204724409,No
187,Chennai-600011.,636,7,dravida munnetra kazhagam,143,1.10062893081761,No
26,Chennai-99,639,7,dravida munnetra kazhagam,6,1.095461658841941,Yes
92,Room 5,640,7,tamilaga vettri kazhagam,78,1.09375,No
245,Greater chennai corporation Dobikana Thikkualam Ayanavaram chennai-23,824,9,tamilaga vettri kazhagam,208,1.092233009708738,No
235,Chennai-11,555,6,dravida munnetra kazhagam,4,1.081081081081081,Yes
9,4th cross Street Senthil Nagar Kolathur Chennai-99,556,6,dravida munnetra kazhagam,50,1.079136690647482,No
57,Chennai-82,564,6,dravida munnetra kazhagam,0,1.063829787234043,Yes
28,Chennai-99,944,10,tamilaga vettri kazhagam,226,1.059322033898305,No
84,Ch-99,756,8,tamilaga vettri kazhagam,158,1.058201058201058,No
49,Chennai-82,662,7,dravida munnetra kazhagam,17,1.057401812688822,No
