Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
1,Chennai-99,tamilaga vettri kazhagam,471,281
2,"chennai-99north facing
L.K.G C",tamilaga vettri kazhagam,255,48
3,Chennai-99,dravida munnetra kazhagam,323,11
4,Chennai-99,tamilaga vettri kazhagam,409,322
5,"chennai-99north facing
L.K.G A",tamilaga vettri kazhagam,268,64
6,Chennai-99,dravida munnetra kazhagam,316,22
7,4th cross Street Senthil Nagar Kolathur Chennai-99,tamilaga vettri kazhagam,298,19
8,4th cross Street Senthil Nagar Kolathur Chennai-99 North Facing Room Number 5,tamilaga vettri kazhagam,241,30
9,4th cross Street Senthil Nagar Kolathur Chennai-99,dravida munnetra kazhagam,248,50
10,Chennai-99,dravida munnetra kazhagam,256,8
11,Chennai-99,dravida munnetra kazhagam,207,21
12,Chennai-99,tamilaga vettri kazhagam,335,76
13,Chennai-99,tamilaga vettri kazhagam,275,71
14,Chennai-99,tamilaga vettri kazhagam,340,87
15,Chennai-99,tamilaga vettri kazhagam,298,31
16,Chennai-99,tamilaga vettri kazhagam,328,78
17,Chennai-99,tamilaga vettri kazhagam,434,169
18,Chennai-99,tamilaga vettri kazhagam,274,9
19,Chennai-99,tamilaga vettri kazhagam,292,33
20,Chennai-99,dravida munnetra kazhagam,341,54
21,Chennai-99,dravida munnetra kazhagam,293,50
22,Chennai-99,dravida munnetra kazhagam,301,16
23,Room 4,tamilaga vettri kazhagam,230,10
24,Chennai-99,tamilaga vettri kazhagam,284,7
25,Chennai-99,dravida munnetra kazhagam,296,9
26,Chennai-99,dravida munnetra kazhagam,276,6
27,Chennai-99,dravida munnetra kazhagam,331,80
28,Chennai-99,tamilaga vettri kazhagam,500,226
29,Chennai-99,tamilaga vettri kazhagam,226,36
30,Room 11,tamilaga vettri kazhagam,312,60
31,Chennai-99,tamilaga vettri kazhagam,304,25
32,Chennai-99,tamilaga vettri kazhagam,351,142
33,Chennai-99,tamilaga vettri kazhagam,287,50
34,Chennai-99,tamilaga vettri kazhagam,271,12
35,West Facing Room 16,tamilaga vettri kazhagam,320,85
36,Chennai-99,tamilaga vettri kazhagam,306,50
37,Chennai-99,tamilaga vettri kazhagam,387,135
38,Ch-99,tamilaga vettri kazhagam,440,95
39,Ch-99,tamilaga vettri kazhagam,250,92
40,Ch-99,tamilaga vettri kazhagam,337,62
41,Room 3,tamilaga vettri kazhagam,364,124
42,Ch-99,tamilaga vettri kazhagam,368,75
43,Room 6,tamilaga vettri kazhagam,277,58
44,Ch-99,tamilaga vettri kazhagam,342,6
45,Ch-99,tamilaga vettri kazhagam,358,1
46,Ch-99,tamilaga vettri kazhagam,248,45
47,Ch-99,tamilaga vettri kazhagam,334,101
48,Room 10,tamilaga vettri kazhagam,300,54
49,Chennai-82,dravida munnetra kazhagam,288,17
50,Chennai-82,dravida munnetra kazhagam,294,47
51,Room 3,tamilaga vettri kazhagam,216,6
52,Chennai-82,tamilaga vettri kazhagam,241,13
53,Room 2A,dravida munnetra kazhagam,234,26
54,Chennai-82,tamilaga vettri kazhagam,256,34
55,Chennai-82,tamilaga vettri kazhagam,222,5
56,Room 5A,tamilaga vettri kazhagam,256,41
57,Chennai-82,dravida munnetra kazhagam,230,0
58,Chennai-82,tamilaga vettri kazhagam,191,26
59,Chennai-82,tamilaga vettri kazhagam,231,32
60,Chennai-99,dravida munnetra kazhagam,412,99
61,Chennai-99,dravida munnetra kazhagam,360,61
62,Room 2,dravida munnetra kazhagam,306,0
63,Chennai-99,dravida munnetra kazhagam,287,20
64,Chennai-99,tamilaga vettri kazhagam,319,63
65,Chennai-99,tamilaga vettri kazhagam,289,21
66,Room 4,tamilaga vettri kazhagam,327,62
67,Chennai-99,dravida munnetra kazhagam,314,33
68,Chennai-99,dravida munnetra kazhagam,253,24
69,Chennai-99,tamilaga vettri kazhagam,260,26
70,Chennai-99,dravida munnetra kazhagam,285,15
71,Ch-99,dravida munnetra kazhagam,315,28
72,Ch-99,dravida munnetra kazhagam,274,30
73,Chennai-99,tamilaga vettri kazhagam,240,53
74,Room 3,dravida munnetra kazhagam,302,4
75,Ch-99,tamilaga vettri kazhagam,482,304
76,Room 2,tamilaga vettri kazhagam,415,236
77,Ch-99,tamilaga vettri kazhagam,305,93
78,Ch-99,tamilaga vettri kazhagam,411,233
79,Ch-99,tamilaga vettri kazhagam,438,243
80,Ch-99,tamilaga vettri kazhagam,338,85
81,Ch-99,dravida munnetra kazhagam,254,19
82,Ch-99,tamilaga vettri kazhagam,409,226
83,Room 2,tamilaga vettri kazhagam,396,158
84,Ch-99,tamilaga vettri kazhagam,400,158
85,Ch-99,tamilaga vettri kazhagam,407,166
86,Ch-99,tamilaga vettri kazhagam,466,257
87,Ch-99,tamilaga vettri kazhagam,473,287
88,Chennai - 99,dravida munnetra kazhagam,189,12
89,Room 2,tamilaga vettri kazhagam,351,69
