serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
2,"everwin globan kids school no46G4 27G,100feet road, selvi nagar,kolathur,chennai-99north facing
L.K.G C","1 - Kolathur [ Ward No.64] Krishna Nagar 1st Street
2 - Kolathur [ Ward No.64 ] Krishna Nagar 2nd Street
3 - Kolathur [ Ward No.64] Krishna Nagar 3rd Street
4 - Kolathur [ Ward No.64] Krishna Nagar 4th Street
5 - Kolathur [ Ward No.64] V.K.Main Road Vivekanandhar Nagar
6 - Kolathur [ Ward No.64 ] Thirumalai Nagar",tamilaga vettri kazhagam,8.290155440414509
3,"Everwin Global Kids School No 46G4 &27G, 100 feet road, Selvi Nagar, Kolathur, Chennai-99","1 - Kolathur [ Ward No.64] Mohammed Hussian Colony
2 - Kolathur [ Ward No.64] Ganesh Nagar G.J.V
3 - Kolathur [ Ward No.64] Jayanthi Nagar
4 - Kolathur [ Ward No.64 ] Thuraimugam Colony Harbour 999 - Overseas Elector",dravida munnetra kazhagam,1.441677588466579
5,"Everwin globan kids school no46G4 27G,100feet road, selvi nagar,kolathur,chennai-99north facing
L.K.G A","1 - Kolathur [ Ward No.64 ] Venus Nagar 1st Main Road
2 - Kolathur [ Ward No.64 ] Venus Nagar 2nd Main Road
3 - Kolathur [ Ward No.64 ] Venus Nagar 3rd Main Road
4 - Kolathur [ Ward No.64 ] Anthony Nagar
5 - Kolathur [ Ward No. 64 ] Vivekanandhar Nagar
6 - Kolathur [ Ward No.64 ] Malligai Avenue",tamilaga vettri kazhagam,11.07266435986159
6,"Everwin Global Kids School No 46G4 &27G, 100 feet road, Selvi Nagar, Kolathur, Chennai-99","1 - Kolathur [ ward No.64 ] Subramaniapuram Main Road
2 - Kolathur [ Ward No.64] Mahaveer Nagar
3 - Kolathur [ Ward No.64 ] Thillai Nagar 1st Main Road
4 - Kolathur [ Ward No.64 ] Thillai Nagar 2nd Main Road
5 - Kolathur [ ward No.64 ] Thillai Nagar 2nd Cross Street
6 - Kolathur [ ward No.64 ] Thillai Nagar 3th Cross Street
7 - Kolathur [ ward No.64 ] Thillai Nagar 4th Cross Street
8 - Kolathur [ ward No.64 ] Thillai Nagar 5th Cross Street
9 - Kolathur [ ward No.64 ] Selvi Nagar 2nd Street
10 - Kolathur [ ward No.64 ] Selvi Nagar 3rd Street
11 - Kolathur [ ward No.64 ] Selvi Nagar 4th Street
12 - Kolathur [ ward No.64 ] Selvi Nagar 5th Street
13 - Kolathur [ ward No.64 ] Dhanrajpuram
14 - Kolathur [ ward No.64 ] Thillai Nagar 1st Cross Street 999 - Overseas Elector",dravida munnetra kazhagam,3.026134800550206
7,"Doon Nursery and Primary School, No 57 , 4th cross Street Senthil Nagar Kolathur Chennai-99","1 - Kolathur [ Ward No.64 ] Senthil Nagar 1st Main Road
2 - Kolathur [ Ward No.64 ] Senthil Nagar 2nd Main Road
3 - Kolathur [ Ward No.64 ] Senthil Nagar 1st Cross street
4 - Kolathur [ Ward No.64 ] Senthil Nagar 2nd Cross Street
5 - Kolathur [ Ward No.64 ] Senthil Nagar 3rd Street
6 - Kolathur [ Ward No.64 ] Senthil Nagar 4th Street
7 - Kolathur [ Ward No.64 ] Senthil Nagar 5th Cross Street
8 - Kolathur [ Ward No.64 ] Senthil Nagar 6th Cross Street
9 - Kolathur [ Ward No.64 ] Senthil Nagar 7th Cross Street",tamilaga vettri kazhagam,2.706552706552706
8,"Doon Nursery and Primary School, No 57 , 4th cross Street Senthil Nagar Kolathur Chennai-99 North Facing Room Number 5","1 - Kolathur [ Ward No.64 ] Senthil Nagar 8th Cross Street
2 - Kolathur [ Ward No.64 ] Senthil Nagar 3rd Main Road
3 - Kolathur [ Ward No.64 ] Sivananda Nagar
4 - Kolathur [ Ward No.64 ] Senthil Nagar 9th Cross Street
5 - Kolathur [ Ward No.64 ] Senthil Nagar 10th Cross Street
6 - Kolathur [ ward No.64] Subramaniapuram 1st Street
7 - Kolathur [ ward No.64] Subramaniapuram 2nd Street
8 - Kolathur [ ward No.64] Subramaniapuram 3rd Street",tamilaga vettri kazhagam,5.154639175257731
9,"Doon Nursery and Primary School, No 57 , 4th cross Street Senthil Nagar Kolathur Chennai-99","1 - Kolathur [ Ward No.64 ] Senthil Nagar 11th Cross Street
2 - Kolathur [ Ward No.64 ] Senthil Nagar 12th Cross Street
3 - Kolathur [ Ward No.64 ] Senthil Nagar 13th Cross Street
4 - Kolathur [ Ward No.64 ] Senthil Nagar 14th Cross Street
5 - Kolathur [ Ward No.64 ] Senthil Nagar 15th Cross Street
6 - Kolathur [ Ward No.64 ] Senthil Nagar 16th Cross Street 999 - Overseas Elector",dravida munnetra kazhagam,8.992805755395683
10,"Chennai Primary School,West Facing/ Room No 2 ,3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.64 ] Srinivasa Nagar 3rd Main Road
2 - Kolathur [ Ward No.64 ] Srinivasa Nagar 1st Cross Street
3 - Kolathur [ Ward No.64 ] T.K. Road Srinivasan Nagar
4 - Kolathur [ Ward No.64 ] Srinivasa Nagar 1st Main Road
5 - Kolathur [ Ward No.64 ] Srinivasa Nagar 2nd Main Road
6 - Kolathur [ Ward No.64 ] Thirumurugan Nagar",dravida munnetra kazhagam,1.300813008130081
11,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.64 ] Srinrvasa Nagar 2nd Cross Street
2 - Kolathur [ Ward No.64 ] Srinivasa Nagar 5th Cross Street
3 - Kolathur [ Ward No.64 ] Srinivasa Nagar 6th Cross Street
4 - Kolathur [ Ward No.64] Srinivasa Nagar 7th Cross Street
5 - Kolathur [ Ward No.64 ] Srinivasa Nagar 3rd Cross Street
6 - Kolathur [ Ward No.64 ] Srinivasa Nagar 4th Cross Street",dravida munnetra kazhagam,4.061895551257253
13,"Chennai Primary School, West Facing/Room No.7, 3rd Main Road, Srinivasa Nagar, Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Makkaram Thottam Avvai Street
2 - Kolathur [ Ward No.64 ] Makkaram Thottam Ethirajan Street
3 - Kolathur [ Ward No.64 ] Makkaram Thottam Redhills Road
4 - Kolathur [ Ward No.64 ] Makkaram Thottam Anna Street
5 - Kolathur [ Ward No.64 ] Makkaram Thottam Thiruvalluar Street
6 - Kolathur [ Ward No.64 ] Pa.Vu.Shanmugam Nagar",tamilaga vettri kazhagam,12.56637168141593
