serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
12,"Chennai Primary School 3rd main road, Srinivasa Nagar, Kolathur ,Chennai-99","1 - Kolathur [ ward No.64 ] Makkaram Thottam Perumal Koil Street
2 - Kolathur [ Ward No.64 ] Makkaram Thottam Nehru Street
3 - Kolathur [ Ward No.64 ] Makkaram Thottam Bharathi Street
4 - Kolathur [ Ward No.64 ] Makkaram Thottam Periyar Street
5 - Kolathur [ ward No.64 ] Makkaram Thottam Kamarajar Street
6 - Kolathur [ Ward No.64 ] Makkaram Thottam V.O.C Steet
7 - Kolathur [ Ward No.64] Makkaram Thottam Karumariamman Street
999 - Overseas Elector",tamilaga vettri kazhagam,11.25925925925926
22,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony
2 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony 1st Street
3 - Kolathur [ Ward No.64 ] Rangadass Reddy Colony 2nd Street
4 - Kolathur [ Ward No.64] Rangadass Reddy Colony 3rd Street
5 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony Ganesh Nagar Extn
6 - Kolathur [ Ward No.64 ] Janakiram Reddy Colony Ganesh
Nagar",dravida munnetra kazhagam,2.366863905325444
26,"Don Bosco Matriculation Hr Sec School,Srinivasa Nagar,Kolathur, Chennai-99","1 - Kolathur [ Ward No.64 ] Thanigai Street Rajaji Nagar
2 - Kolathur [ Ward No.64] Thenaruvi Street Rajaji Nagar
3 - Kolathur [ Ward No.64 ] Venkateswara Street
4 - Kolathur [ Ward No.64 ] Jothi Avenue 5th Cross Street
5 - Kolathur [ Ward No.64 ] Vinayagar 5th Cross Street
6 - Kolathur [ Ward No. 64 ] Avvai Nagar
7 - Kolathur [ Ward No.64 ] Avvai Nagar 2nd Street 999 - Overseas Elector",dravida munnetra kazhagam,0.9389671361502347
42,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99","1 - Kolathur [ Ward No.64 ] G K M Colony 32nd Street ( Jeevanandham Street )
2 - Kolathur [ Ward No.64 ] G K M Colony 31st Street (Ma.Po.Si.
Street)",tamilaga vettri kazhagam,9.82961992136304
44,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99","1 - Kolathur [ Ward No.64 ] G K M Colony 35th Street Azad Street
2 - Kolathur Ward No.64 G K M Colony 34th Street Vinobaaji Street Door No 47 To END",tamilaga vettri kazhagam,0.7672634271099744
45,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99","1 - Kolathur [ Ward No.64 ] G K M Colony 34th Street Vinobaaji Street
2 - Kolathur [ Ward No.64 ] G K M Colony 36th Street Jayaprakash Street
999 - Overseas Elector",tamilaga vettri kazhagam,0.1290322580645161
46,"Kulapati Dr.S.Balakrishna Joshi Gurukulam Matric Hr Sec School, 2nd Street V V Nagar, Kolathur, Ch-99",1 - Kolathur [ Ward No.64 ] G K M Colony 37th Street Punidha Anthoniyaar Street,tamilaga vettri kazhagam,8.771929824561402
58,"Dhanish Matric Hr Sec School, Kambar Nagar , Chennai-82","1 - Kolathur [ Ward No.65] Rajarajeswari Nagar 1st Street
2 - Kolathur [ Ward No.65 ] Rajarajeswari Nagar 2nd Street
3 - Kolathur [ Ward No.65 ] Rajarajeswari Nagar 3rd Street
4 - Kolathur [ Ward No.65] Rajarajeswari Nagar 4th Street
5 - Kolathur [ Ward No.65 ] Rajarajeswari Nagar 5th Street
6 - Kolathur [ Ward No.65] Rajarajeswari Nagar 6th Street
7 - Kolathur [ Ward No.65 ] Rajarajeswari Nagar 8th Street
8 - Kolathur [ Ward No.65 ] Kamarajar Nagar 1st Street
9 - Kolathur [ Ward No.65 ] Kamarajar Nagar 1st Cross Street
10 - Kolathur [ Ward No.65 ] Kamarajar Nagar 2nd Street 999 - Overseas Elector",tamilaga vettri kazhagam,6.356968215158925
61,"SVM Primary School, Thiruveedhiamman Koil Street, Kolathur, Chennai-99","1 - Kolathur [ Ward No.65 ] Haridas 2nd Cross Street
2 - Kolathur [ Ward No.65 ] Bharathi Nagar 1st Main Road
3 - Kolathur [ Ward No.65 ] Bharathi Nagar 1st Cross Street
4 - Kolathur [ Ward No.65 ] Bharathi Nagar 2nd Cross Street
5 - Kolathur [ Ward No.65 ] Unnamalai Street Ganesh Nagar
6 - Kolathur [ Ward No.65 ] Duraisamy Street 999 - Overseas Elector",dravida munnetra kazhagam,8.232118758434549
62,"SVM Primary School, No.6, Thiruveedhiamman Koil Street, Kolathur, Chennai-99, East Block, West Facing, Room 2","1 - Kolathur [ Ward No.65 ] Haridas 1st Cross Street
2 - Kolathur [ Ward No.65 ] Haridas 3rd Street
3 - Kolathur [ Ward No.65 ] Bagavathiammal Street
4 - Kolathur [ Ward No.65 ] Haridas Main Road",dravida munnetra kazhagam,0.0
63,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] East Street
2 - Kolathur [ Ward No.65 ] Lakewiew Vinayakar Koil Street",dravida munnetra kazhagam,3.164556962025316
64,"Chennai Primary School ,Thiruveedhiamman Koil Street, Kolathur ,Chennai-99","1 - Kolathur [ Ward No.65 ] Thiruveethiamman Koil Street
2 - Kolathur [ Ward No.65 ] Thiruveethiamman Koil 1st Street
3 - Kolathur [ Ward No.65 ] Thiruveethiamman Koil 2nd Street
4 - Kolathur [ Ward No.65 ] SBM School Road Street",tamilaga vettri kazhagam,9.968354430379748
66,"Chennai Primary School, No.4, Thiruveedhiamman Koil Street, Kolathur, Chennai-99, North Block, South Facing, Room 4","1 - Kolathur [ Ward No.65 ] Sivaparvathi Nagar Kavangarai Street
2 - Kolathur [ Ward No.65 ] Subramanian Nagar Anjugam Nagar West
3 - Kolathur [ Ward No.65] V.B. Sinthan Nagar
4 - Kolathur [ Ward No.65] Anjugam Nagar Main Road",tamilaga vettri kazhagam,9.281437125748502
71,"Conservancy Inspector Office , Anjugam Nagar 18th Street, Kolathur, Ch-99","1 - Kolathur [ Ward No.65] Shanthi Nagar Main Road
2 - Kolathur [ Ward No.65 ] Shanthi Nagar 1st Cross Street
3 - Kolathur [ Ward No.65] Shanthi Nagar 2nd Cross Street
4 - Kolathur [ Ward No.65 ] Shanthi Nagar 3rd Cross Street
5 - Kolathur [ Ward No.65] Shanthi Nagar 4th Cross Street
6 - Kolathur [ Ward No.65] Shanthi Nagar 5th Cross Street
7 - Kolathur [ Ward No.65] Shanthi Nagar 6th Cross Street
8 - Kolathur [ Ward No.65 ] Shanthi Nagar Extension
9 - Kolathur [ Ward No.65 ] Thearter Street
10 - Kolathur [ Ward No.65 ] Ambedhkar Salai
11 - Kolathur [ Ward No.65 ] Vijaya Nagar",dravida munnetra kazhagam,4.0
80,"Chennai Hr Sec School , School Road , Kolathur , Ch-99","1 - Kolathur [ Ward No.65 ] Mettu Street
2 - Kolathur [ Ward No.65] M.G.R.Nagar Muthumariamman Koil Street ]
3 - Kolathur [ Ward No.65 ] Varadhan Kuttai
4 - Kolathur [ Ward No.65] Moogambigai Koil Street
5 - .Kolathur [ Ward No.65 ] Dhurga Colony
6 - Kolathur [ Ward No.65 ] R.K.R.Nagar",tamilaga vettri kazhagam,12.31884057971015
89,"Everwin Matric Hr Sec School, No.2, Redhills Road, Kolathur, Chennai-99, South East Block, South Facing, Room 2","1 - Kolathur [ Ward No.66 ] Ambedhkar Nagar Balaji Extension Slum area
2 - Kolathur [ Ward No.66 ] Balaji Nagar Main Road",tamilaga vettri kazhagam,9.556786703601109
101,"Everwin Matric Hr Sec School , Redhills Road, Kolathur, Chennai - 99","1 - Kolathur [ Ward No.66 ] Nermai Nagar
2 - Kolathur [ Ward No.65] Samudharia Colony
3 - Kolathur [ Ward No.65 ] Girija Nagar East",dravida munnetra kazhagam,2.861035422343324
109,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82","1 - Perambur [ Ward No.66 ] Krishna Nagar 1st Street
2 - Perambur [ Ward No.66 ] Krishna Nagar 2nd Street
3 - Perambur [ Ward No.66] Krishna Nagar 3rd Street
4 - Perambur [ Ward No.66 ] Sarojas Krishna Nagar 3rd Street
5 - Perambur [ Ward No.66 ] Andal Flats
6 - Perambur [ Ward No.66 ] Andal Avenue 1st Street",tamilaga vettri kazhagam,2.032520325203252
110,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82","1 - Perambur [ Ward No.66 ] Andal Avenue 2nd Street
2 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 3rd Street
3 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 2nd Street
4 - Perambur [ Ward No.66 ] A S Venus Court Andal Avenue 3rd cross Street
5 - Perambur [ Ward No.66 ] Bashyam Street
6 - Peravallur [ Ward No.66 ] Balaraman Street 999 - Overseas Elector",tamilaga vettri kazhagam,2.109704641350211
136,"Smt Chandabai Pagaria Jain Matric.Hr Sec School, Papermills Road, Perambur, Chennai-11","1 - Jawahar Nagar [ Ward No.68 ] Vengal Kannaiya Thottam 6th Cross Street
2 - Paper Mills Road [ Ward No.68 ] Vengal Kannaiya Thottam 5th Cross Street
3 - Paper Mills Road [ Ward No.68] Vengal Kannaiya Thottam 5th Street
4 - Jawahar Nagar [ Ward No.68] Vengal Kannaiya Thottam 6th Street
999 - Overseas Elector",tamilaga vettri kazhagam,10.44776119402985
138,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82",1 - Jawahar Nagar [ Ward No.68 ] Paper Mills Road,tamilaga vettri kazhagam,6.666666666666667
