serial no. of polling station,location and name of building in which polling station located,polling area,Winner_Party,Margin_Percentage
60,"SVM Primary School, Thiruveedhiamman Koil Street, Kolathur, Chennai-99",1 - Kolathur [ Ward No.65 ] Bagavathiammal Street 999 - Overseas Elector,dravida munnetra kazhagam,12.45283018867925
140,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Agaram [ Ward No.68 ] S R P Colony 14th Street
2 - Agaram [ Ward No.68 ] S R P Colony 15th Street
3 - Agaram [ Ward No.68 ] S R P Colony 8th Street
4 - Agaram [ Ward No.68 ] S R P Colony Aarthi Apartments
5 - Jawahar Nagar [ Ward No.68 ] S.R.P. Colony 1st Street
6 - Agaram [ Ward No.68 ] S R P Colony 2nd Street",dravida munnetra kazhagam,18.26241134751773
144,"Jaya Gopal Garodia Matric Hr Sec School, SRP Colony 7th Street, Agaram , Chennai-82","1 - Agaram [ Ward No.68 ] Jawahar Nagar Temple Street
2 - Agaram [ Ward No.68 ] Jawahar Nagar 5th Circular Road
3 - Agaram [ Ward No.68 ] Jawahar Nagar 1st Circular Road
4 - Agaram [ Ward No.68 ] Jawahar Nagar 2nd Circular Road
5 - Agaram [ Ward No.68 ] Jawahar Nagar Temple Road 2nd Cross Street
999 - Overseas Elector",dravida munnetra kazhagam,20.18209408194234
158,"CSI Middle School, Raghan Street, Perambur-Ch-11","1 - Perambur [ Ward No.67 ] Marianayagam Ist Street
2 - Perambur [ Ward No.67 ] Marianayagam 2nd Street
3 - Perambur [ Ward No.67 ] Watkins Street",dravida munnetra kazhagam,23.88724035608309
159,"Chennai Middle School, SRP Koil Street North, Gopalapuram, TVK Nagar, Ch-82",1 - Sembium [ Ward No.67 ] Gopalapuram 2nd Street,dravida munnetra kazhagam,9.824561403508772
179,"Chennai Urudu Primary School , Maduraisamy Madam Street, Sembium, Chennai-11","1 - Sembium [ Ward No.67 ] Jaibeam Nagar 1st Street
2 - Sembium [ Ward No.67] Jaibeam Nagar 2nd Street
3 - Sembium [ Ward No.67 ] Jaibeam Nagar 3rd Street",dravida munnetra kazhagam,14.04494382022472
186,"Sri Champalal Baharia Jain Hr Sec School, Papermills Road, Perambur, Chennai-600011.",1 - Sembium [ Ward No.67 ] Teeds Garden 6th Cross Street,dravida munnetra kazhagam,24.33281004709576
187,"Sri Champalal Baharia Jain Hr Sec School, Papermills Road, Perambur, Chennai-600011.","1 - Sembium [ Ward No.67 ] Teeds Garden 7th Street
2 - Sembium [ Ward No.67] Teeds Garden 1st Cross Street 999 - Overseas Elector",dravida munnetra kazhagam,22.48427672955975
188,"Sri Champalal Baharia Jain Higher Sec School, No.8, Paper Mills Road, Perambur, Chennai-11, East Block, West Facing, Room 3","1 - Sembium [ Ward No.67 ] Teeds Garden 3rd Cross Street
2 - Sembium [ Ward No.67 ] Teeds Garden 5th Cross Street
3 - Sembium [ Ward No.67 ] Teeds Garden 1st Street",dravida munnetra kazhagam,13.73626373626374
190,"Gandhiji Memorial Primary School, Papermills Road, Perambur, Ch-11","1 - Sembium [ Ward No.67 ] Janakiram 1st Main Road
2 - Sembium [ Ward No.67 ] janakiram Nagar 2nd Main Road
3 - Sembium [ Ward No.67 ] janakiram Nagar 1st Street
4 - Sembium [ Ward No.67 ] Janakiram 2nd Street",dravida munnetra kazhagam,21.92982456140351
