Label,Total_Votes,Share_Percentage
DMK,60803,31.80073221757322
TVK,60142,31.45502092050209
AIADMK,52393,27.40219665271966
NTK,11691,6.114539748953975
IND1,2932,1.53347280334728
AIPMMK,437,0.2285564853556485
IND7,398,0.2081589958158996
IND9,376,0.196652719665272
IND8,366,0.1914225941422594
TPK,353,0.1846234309623431
IND6,275,0.1438284518828452
BSP,186,0.09728033472803348
IND5,176,0.09205020920502091
PMTDK,139,0.07269874476987448
IND3,103,0.05387029288702929
IND4,94,0.04916317991631799
IND12,90,0.04707112970711297
IND10,77,0.04027196652719665
IND11,69,0.03608786610878661
NIP,50,0.02615062761506276
IND2,50,0.02615062761506276
