Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
1,181,236,47,1,1,6,2,122,0,4,0,0,0,1,0,2,1,2,0,0,1,607,0,2,609,0,K.  Duraisamypuram,"Panchayat  Union  Primary  School,  South Building,  K.Duraisamypuram","1.K.Venkateswarapuram  (R.V),  K.  Duraisamypuram  (P)  K.  lakshmipuram Block  1  ,  2.K.Venkateswarapuram  (R.V),  K.  Duraisamypuram  (P)  K. Ramanathapuram  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,607,Dravida Munnetra Kazhagam,236,181,55,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,10,5,7,15,6,15,15,15,10,15,7,10,7,15,15,10,9.060955518945635,11
2,124,104,1,0,0,0,0,71,0,0,0,0,0,0,2,0,3,5,0,0,2,312,0,0,312,0,K.  Duraisamypuram,"Panchayat  Union  Primary  School,  North Building,  K.Duraisamypuram","1.K.Venkateswarapuram  (R.V),  K.  Duraisamypuram  (P)  K. Duraisamypuram  Block  3  ,  2.K.Venkateswarapuram  (R.V),  K. Duraisamypuram  (P)  K.  Duraisamypuram  Block  4  ,  999.OVERSEAS ELECTORS",All  Voters,312,All India Anna Dravida Munnetra Kazhagam,124,104,20,Dravida Munnetra Kazhagam,2,1,8,3,9,9,9,9,9,9,9,9,9,9,6,9,5,4,9,9,6,6.41025641025641,12
3,251,120,8,0,0,8,0,146,0,0,0,1,0,0,1,4,1,0,1,0,0,541,0,3,544,0,Venkateswarapura m,"Panchayat  Union  Primary  School,South Venkadeshwarapuram","1.K.Venkateshwarapuram  (R.V)  And  (P)  K.Venkateshwarapuram  Block  1  , 2.K.Venkateshwarapuram  (R.V)  And  (P)  K.Venkateshwarapuram  Block  2  , 3.K.Venkateshwarapuram  (R.V)  And  (P)  K.Vengateswarapuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,541,All India Anna Dravida Munnetra Kazhagam,251,146,105,Tamilaga Vettri Kazhagam,3,1,4,2,11,11,4,11,11,11,11,7,11,11,7,6,7,11,7,11,11,19.40850277264325,8
4,186,236,44,1,0,0,3,290,1,14,0,0,0,2,1,3,3,1,0,0,0,785,0,0,785,0,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  2nd  Room  Class  2A  ,  Kalugumalai","1.Kalugumalai  (S.P)  Indhiraprasatham  Street  ward  1  ,  2.Kalugumalai (S.P)  Indhiraprasatham  Street  2  ward  2  ,  3.Kalugumalai  (S.P) Indiraprastham  Street  3  ward  1  ,  4.Kalugumalai  (S.P)  Indiraprestham
Street  4  ward  1  ,  5.Kalugumalai  (S.P)  Indirapresthem  Street  No  5  ward  1  , 6.Kalugumalai  (S.P)  Ananthamman  Koil  Street  Ward  1  ,  7.Kalugumalai
(S.P)  Matha  Koil  Street  ward  1  ,  8.Kalugumalai  (S.P)  Church  Street  ward  1
,  9.Kalugumalai  (S.P)  Kaliamman  Kovil  street  ward  2  ,  10.Kalugumalai (S.P)  Soundrapandian  Street  Ward  2  ,  11.Kalugumalai  (S.P)
Narayansamykovilstreet  Ward  2  ,  12.Kalugumalai  (S.P)  Kamarajar  Street
ward  2  ,  999.OVERSEAS  ELECTORS",All  Voters,785,Tamilaga Vettri Kazhagam,290,236,54,Dravida Munnetra Kazhagam,2,3,4,1,10,14,14,6,10,5,14,14,14,9,10,6,6,10,14,14,14,6.878980891719745,24
5,97,248,55,0,1,0,0,214,0,0,0,0,0,1,2,1,1,0,0,1,0,621,0,3,624,0,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  3rd  Room  Class  2B,  Kalugumalai","1.Kalugumalai  (s.p)  Griprabhakara  Keelaratha  Veethi  ward  2  , 2.Kalugumalai  (S.P)  Kovilpatti-Sankarankovil  road  ward  2  ,
3.Kalugumalai  (S.P)  Kannapper  Street  ward  1  ,  4.Kalugumalai  (S.P)
Sakelar  street  ward  2  ,  999.OVERSEAS  ELECTORS",All  Voters,621,Dravida Munnetra Kazhagam,248,214,34,Tamilaga Vettri Kazhagam,1,3,4,2,11,6,11,11,11,11,11,11,11,6,5,6,6,11,11,6,11,5.475040257648954,6
6,165,108,33,0,1,6,7,147,0,1,0,0,0,0,0,1,1,0,0,0,1,471,0,0,471,0,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  4th  Room  Class  1A  Kalugumalai","1.Kalugumalai  (S.P)  Kovilpatti  _  Sankarankovil  Road  Ward  1  ,
2.Kalugumalai  (S.P)  Kasukkara  Street  Ward  5  ,  3.Kalugumalai  (s.p) Muthaian  street  1  ward  5  ,  999.OVERSEAS  ELECTORS",All  Voters,471,All India Anna Dravida Munnetra Kazhagam,165,147,18,Tamilaga Vettri Kazhagam,3,1,4,2,12,7,6,5,12,7,12,12,12,12,12,7,7,12,12,12,7,3.821656050955414,4
7,101,276,51,0,0,0,4,266,0,0,0,0,0,1,0,0,1,0,0,0,0,700,0,7,707,0,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  5th  Room  Class  1B,  Kalugumalai","1.Kalugumalai  (S.P)  Narayanasamy  Kovil  Street  1  ward  3  ,  2.Kalugumalai (S.P)  Thanuskodi  Street  ward  3  ,  3.Kalugumalai  (S.P)  NarayanasamyKovil Street  2  Ward  3  ,  4.Kalugumalai  (S.P)  ThirumalikaiStreet  Ward  3  ,
5.Kalugumalai  (s.p)  Ettaiyapuram  road  ward  6  ,  6.Kalugumalai  (S.P) Krishnan  Kovil  Street  ward  4  ,  7.Kalugumalai  (S.P)  Muniasamy  Kovil Street  Ward  4  ,  8.Kalugumalai  (S.P)  Thiruppathiraja  Street  ward  4  ,
999.OVERSEAS  ELECTORS",All  Voters,700,Dravida Munnetra Kazhagam,276,266,10,Tamilaga Vettri Kazhagam,1,3,4,2,8,8,8,5,8,8,8,8,8,6,8,8,6,8,8,8,8,1.428571428571429,2
8,223,195,39,0,0,2,2,249,0,5,1,0,0,2,1,2,0,0,0,0,0,721,0,1,722,0,Kalugumalai,"St.  Marys  Primary  School,  South  Building East  6th  Room  Class  3rd  Std,  Kalugumalai.","1.Kalugumalai  (S.P)  Balasubramaniyan  Street  Ward  4  ,  2.Kalugumalai
(S.P)  Vinayakar  Kalani  Ward  4  ,  3.Kalugumalai  (s.p)  Depobhostreet  ward 6  ,  4.Kalugumalai  (S.P)  Kittange  Street  Ward  6  ,  5.Kalugumalai  (S.P)
Muthu  Veerappasamy  Kovil  Street  Ward  6  ,  999.OVERSEAS  ELECTORS",All  Voters,721,Tamilaga Vettri Kazhagam,249,223,26,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,12,12,6,6,12,5,10,12,12,6,10,6,12,12,12,12,12,3.606102635228849,11
9,165,428,36,1,0,0,1,375,1,1,1,0,2,1,2,4,6,1,0,1,2,1028,0,1,1029,0,Kalugumalai,"Govt  Higher  Secondary  School,  Middle Building  South  Room  Kalugumalai","1.Kalugumalai  (s.p)  Theyagi  n.  venkatachalam  street  ward  7  ,
2.Kalugumalai  (S.P)  Bagawathsingh  Street  Ward  7  ,  3.Kalugumalai  (S.P) Veerapandiyakattabomman  Street  ward  7  ,  4.Kalugumalai  (S.P) Kumarasan  Nagar  Street  Ward  7  ,  5.Kalugumalai  (s.p)  Kumarasan  street 2  ward  7  ,  6.Kalugumalai  (S.P)  Amalraj  Nagar  Ward  7  ,  7.Kalugumalai
(S.P)  KuthurailawyaStreet  Ward  8  ,  999.OVERSEAS  ELECTORS",All  Voters,1028,Dravida Munnetra Kazhagam,428,375,53,Tamilaga Vettri Kazhagam,1,3,4,2,10,18,18,10,10,10,10,18,7,10,7,6,5,10,18,10,7,5.155642023346303,21
10,135,152,33,0,0,2,2,183,0,0,1,0,0,0,0,1,0,0,0,0,0,509,0,1,510,0,Kalugumalai,"Govt  Higher  Secondary  School,   North Portion  Building,  Kalugumalai","1.Kalugumalai  (S.G.T.P)  Watta  theru  Ward  7  ,  2.Kalugumalai  (S.G.T.P) Kalangththeru  ,  3.Kalugumalai  (S.G.T.P)  Karakkurichiyar  Street  ,
4.Kalugumalai  (S.G.T.P)  TheyagarajaStreet  ,  999.OVERSEAS  ELECTORS",All  Voters,509,Tamilaga Vettri Kazhagam,183,152,31,Dravida Munnetra Kazhagam,2,3,4,1,9,9,5,5,9,9,7,9,9,9,9,7,9,9,9,9,9,6.090373280943026,2
11,146,161,25,1,0,1,0,158,0,0,0,1,0,1,2,0,3,1,0,0,0,500,0,0,500,0,Kalugumalai,"Govt  Higher  Secondary  School,  Middle Building,  Middle  portion  Kalugumalai","1.Kalugumalai  (S.G.T.P)  TherkurathaveethiMelpagam  Ward  9  ,
2.Kalugumalai  (S.G.T.P)  AnnaKeelastreet  ,  3.Kalugumalai  (S.G.T.P)
Annathenvadal  sandu,  4.Kalugumalai  (S.G.T.P)  Theyagei  Subbiahstreet, 5.Kalugumalai  (S.G.T.P)  Theyagi  subbiah  Thenvadalsandu,
6.Kalugumalai  (S.G.T.P)  PetchiammanKovilstreet  ,
7.Kalugumalai  (S.G.T.P)  V.O.  Chedambaranar  Street  ,
8.Kalugumalai  (S.G.T.P)  Police  Line  ,  999.OVERSEAS  ELECTORS",All  Voters,500,Dravida Munnetra Kazhagam,161,158,3,Tamilaga Vettri Kazhagam,1,3,4,2,7,12,7,12,12,12,12,7,12,7,6,12,5,7,12,12,12,0.6,8
12,199,240,40,0,0,4,1,227,1,0,0,0,1,0,0,2,1,1,2,1,0,720,0,4,724,0,Kalugumalai,"Govt  Hr.Sec  School,  West  Portion  North  Side Kalugumalai","1.Kalugumalai  (S.P)  Wattaththeru  ,  2.Kalugumalai  (S.P)  Street  3
Wattatheru  ,  3.Kalugumalai  (S.P)  Street  4  Wattatheru  ,  4.Kalugumalai (S.P)  Aranmanai  Vasal  Street  ,  5.Kalugumalai  (S.P)  PeriaKovil
Therukuvasal  Street  ,  6.Kalugumalai  (S.P)  Geriprakara  Melaveethi  , 7.Kalugumalai  (S.P)  Chedambaranar  Street  ,  8.Kalugumalai  (S.P)
Nadutheru  ,  9.Kalugumalai  (S.P)  Therukurathaveethi  ,  10.Kalugumalai (S.P)  Cumpoundar  Street  ,  11.Kalugumalai  (S.P)  Street  3  V.O, Chedambaranar  Street  ,  12.Kalugumalai  (S.P)  Street  4
V.O.Chedambaranar  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,720,Dravida Munnetra Kazhagam,240,227,13,Tamilaga Vettri Kazhagam,1,3,4,2,14,14,5,8,8,14,14,14,8,14,14,6,8,8,6,8,14,1.805555555555555,8
13,213,225,47,0,1,4,1,270,0,1,1,0,0,2,1,1,0,3,0,0,0,770,0,2,772,0,Kalugumalai,"Govt  Higher  Secondary  School,  SSA  Building South  Portion  North  Room,  Kalugumalai","1.Kalugumalai  (s.p)  Satthanathan  street  ,  2.Kalugumalai  (S.P) Sattanathan  thenvadalSandu  ,  3.Kalugumalai  (S.P)  Ahilandapoikaistret  , 4.Kalugumalai  (S.P)  Bharathiar  Street  ,  5.Kalugumalai  (S.P)
chellaperumalsandu  ,  6.Kalugumalai  (s.p)  Kovilpatti-Sankarankovil  Road
,  7.Kalugumalai  (S.P)  Madasamykonar  ThenvadalSandu  ,  8.Kalugumalai (S.P)  Kattunaickar  Street  ,  9.Kalugumalai  (S.P)  Muthuramalingam  North Street  ,  10.Kalugumalai  (S.P)  Ramasamy  Street  ,  999.OVERSEAS ELECTORS",All  Voters,770,Tamilaga Vettri Kazhagam,270,225,45,Dravida Munnetra Kazhagam,2,3,4,1,14,8,5,8,14,8,8,14,14,7,8,8,14,6,14,14,14,5.844155844155844,9
14,220,210,65,1,0,2,3,356,2,0,0,1,0,2,2,3,1,1,0,1,1,871,0,1,872,0,Kalugumalai,"Government  Higher  Secondary  School,  East Main  Building  South  Side  Room  No  16,
Kalugumalai","1.Kalugumalai  (S.P)  Arumuganagar  ,  999.OVERSEAS  ELECTORS",All  Voters,871,Tamilaga Vettri Kazhagam,356,220,136,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,11,17,7,5,7,17,17,11,17,7,7,5,11,11,17,11,11,15.6142365097589,12
15,257,126,29,0,0,0,6,161,1,0,0,0,0,0,0,0,0,1,0,0,0,581,0,2,583,0,Kalugumalai,"Government  Higher  Secondary  School,  East Main  Building.South  Side  Room  No  13  (12B)
,  Kalugumalai","1.Kalugumalai  (s.p)  Geriprakaramalaveethi  ,  2.Kalugumalai  (S.P) Saravanapuram  ,  3.Kalugumalai  (S.P)  Sowlgower  ROad  Street  ,
4.Kalugumalai  (S.P)  Kalugumalai  Nadu  Street  ,  5.Kalugumalai  (S.P)
Nadustreet  ,  6.Kalugumalai  (S.P)  Therukkustreet  ,  7.Kalugumalai  (S.P) MelaStreet  ,  8.Kalugumalai  (S.P)  Stalinstreet  ,  9.Kalugumalai  (S.P) Pasumpon  Nagar  ,  999.OVERSEAS  ELECTORS",All  Voters,581,All India Anna Dravida Munnetra Kazhagam,257,161,96,Tamilaga Vettri Kazhagam,3,1,4,2,8,8,8,5,6,8,8,8,8,8,8,8,8,6,8,8,8,16.52323580034424,1
16,139,76,12,0,1,0,1,165,0,0,1,0,0,0,1,1,1,0,0,1,0,399,0,2,401,0,Kalugumalai,"Panchayat  Union  Primary  School,  Main Building  ,  Kalugumalai","1.Kulugumalai  (s.p)  Kaithey  milath  street  ,  2.Kulugumalai  (S.P)
Annamelatheru  ,  3.Kulugumalai  (S.P)  SaynaiyarStreet  ,  999.OVERSEAS ELECTORS",All  Voters,399,Tamilaga Vettri Kazhagam,165,139,26,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,12,5,12,5,12,12,5,12,12,12,5,5,5,12,12,5,12,6.516290726817042,5
17,349,161,23,2,0,4,1,265,0,0,0,0,0,0,0,0,3,1,0,0,0,809,0,2,811,0,Kalugumalai,"Panchayat  Union  Primary  School,  East Portion  Kalugumalai","1.Kulugumalai  (s.p)  Annapudhustreet  ,  999.OVERSEAS  ELECTORS",All  Voters,809,All India Anna Dravida Munnetra Kazhagam,349,265,84,Tamilaga Vettri Kazhagam,3,1,4,2,7,10,5,8,10,10,10,10,10,10,10,10,6,8,10,10,10,10.3831891223733,4
18,281,297,56,1,1,2,7,283,0,0,1,0,0,0,2,1,4,1,0,0,0,937,0,1,938,0,Karadikulam,"Panchayat  Union  Primary  School.  North  Side Karadikulam  Colony,  Karadikulam","1.Karadikulam  (R.V)  And  (P)  C.r.  colony  block  3  ,  2.Karadikulam(R.C)  And
(P)  C.r.  colony  block  4  ,  3.Karadikulam  (R.V)  And  (P)  C.R.  Colony  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,937,Dravida Munnetra Kazhagam,297,283,14,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,7,5,14,14,9,14,14,14,7,9,6,9,14,14,14,1.494130202774813,9
19,220,338,42,0,0,5,0,147,0,7,0,0,0,0,0,2,1,1,0,0,0,763,0,2,765,0,Karadikulam.,"Panchayat  Union  Middle  School,  Southern Portion  ,  Karadikulam.","1.Karadikulam  (R.V)  And  (P)  Karadikulam  Block  1  ,  2.Karadikulam  (R.V) And  (P)  Karadikulam  block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,763,Dravida Munnetra Kazhagam,338,220,118,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,10,6,10,10,5,10,10,10,10,10,7,8,8,10,10,10,15.46526867627785,11
20,97,215,38,1,0,1,1,153,0,6,0,0,0,0,0,0,2,1,0,0,1,516,0,0,516,0,Karadikulam.,"Panchayat  Union  Middle  School  ,  East Portion  ,  Karadikulam.",1.Karadikulam  (R.V)  And  (P)  Karadikulam  block  2  999.OVERSEAS ELECTORS,All  Voters,516,Dravida Munnetra Kazhagam,215,153,62,Tamilaga Vettri Kazhagam,1,3,4,2,7,12,7,7,12,5,12,12,12,12,12,12,6,7,12,12,7,12.01550387596899,10
21,280,82,6,0,0,0,0,82,0,0,0,0,0,0,1,4,1,1,0,0,1,458,0,1,459,0,Velayuthapuram,"Panchayat  Union  Primary  School,  North  Side
,  Velayuthapuram.","1.K.  Subramaniyapuram  (R.V)  And  (P)  K.  Subramaniyapuram  K. Velayuthapuram  Block  1  ,  2.K.  Subramaniyapuram  (R.V)  And  (P) Kalukasapuram  Block  2  ,  3.K.  Subramaniyapuram  (R.V)  And  (P) Vallinayakepuram  Block  3  ,  4.K.  Subramaniyapuram  (R.V)  And  (P) Jambulingapuram  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,458,All India Anna Dravida Munnetra Kazhagam,280,82,198,Dravida Munnetra Kazhagam,2,1,4,2,10,10,10,10,10,10,10,10,10,10,6,5,6,6,10,10,6,43.23144104803494,8
22,401,141,14,0,0,0,0,179,0,0,0,0,0,0,0,0,0,1,0,0,0,736,0,2,738,0,Velayuthapuram,"Panchayat  Union  Primary  School  ,  South Side  ,  Velayuthapuram.","1.K.  Subramaniyapuram  (R.V)  And  (P)  Velayuthapuram  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,736,All India Anna Dravida Munnetra Kazhagam,401,179,222,Tamilaga Vettri Kazhagam,3,1,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,30.16304347826087,1
23,166,223,53,0,0,3,0,192,1,1,1,0,0,0,2,1,5,2,1,1,0,652,0,0,652,0,South  Kalugumalai,"Library,  South  Kalugumalai","1.Southkulugumalai  (t)  Southkulugumalai  block  1  , 2.SouthKulugumalai  (T)  SouthKulugumalai  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,652,Dravida Munnetra Kazhagam,223,192,31,Tamilaga Vettri Kazhagam,1,3,4,2,15,15,6,15,9,9,9,15,15,15,7,9,5,7,9,9,15,4.754601226993866,14
24,87,363,39,4,0,4,3,240,0,0,0,0,1,1,0,5,3,1,1,0,0,752,0,2,754,0,South  Kalugumalai,"Panchayat  Union  Primary  School  ,  South Portion  ,  South  Kalugumalai.","1.Southkulugumalai  (t)  Thulukkpatti  Block  3  ,  2.South  Kulugumalai  (T) Thulukkapatti  Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,752,Dravida Munnetra Kazhagam,363,240,123,Tamilaga Vettri Kazhagam,1,3,4,2,6,14,6,8,14,14,14,14,10,10,14,5,8,10,10,14,14,16.35638297872341,12
25,255,236,41,1,0,0,1,207,1,7,0,2,0,1,4,3,2,1,0,0,1,763,0,4,767,0,"Community  Hall, Kalankaraipatti","Community  Hall,  Kalankaraipatti.","1.Kalangaraipatti  (p)  Kalangaraipatti  block  1  ,  2.Kalangaraipatti  (P) Kchilapuram  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,763,All India Anna Dravida Munnetra Kazhagam,255,236,19,Dravida Munnetra Kazhagam,2,1,4,3,10,16,16,10,10,5,16,8,16,10,6,7,8,10,16,16,10,2.490170380078637,21
26,125,191,33,1,0,4,2,163,0,0,0,0,11,1,2,2,4,2,0,0,1,542,0,3,545,0,Vanaramutti,"Saral  Tucker  College  Branch  Primary  School, East  Side  ,
Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Vanaramutti  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,542,Dravida Munnetra Kazhagam,191,163,28,Tamilaga Vettri Kazhagam,1,3,4,2,12,15,6,8,15,15,15,15,5,12,8,8,6,8,15,15,12,5.166051660516605,23
27,219,285,69,3,0,5,1,316,2,2,0,0,3,1,0,2,1,1,0,1,0,911,0,1,912,0,Vanaramutti,"Saral  Tucker  College  Branch  Primary  School
,  West  Side  , Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Vanaramutti  Block  2  ,  2.Vanaramutti  (R.V) And  (P)  Vanaramutti  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,911,Tamilaga Vettri Kazhagam,316,285,31,Dravida Munnetra Kazhagam,2,3,4,1,6,16,5,11,8,8,16,16,6,11,16,8,11,11,16,11,16,3.402854006586169,11
28,90,125,38,0,0,2,3,176,0,5,1,0,0,1,0,1,0,0,0,0,0,442,0,4,446,0,Vanaramutti,"Saral  Tucker  College  Branch  Primary  School
,  North-West  Side  ,  Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  South  Street  Block  5  ,  2.Vanaramutti  (R.V) And  (P)  Main  Road  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,442,Tamilaga Vettri Kazhagam,176,125,51,Dravida Munnetra Kazhagam,2,3,4,1,11,11,7,6,11,5,8,11,11,8,11,8,11,11,11,11,11,11.53846153846154,8
29,102,199,46,0,0,2,0,180,2,3,0,0,0,1,3,0,1,2,0,0,0,541,0,0,541,0,Vanaramutti,"Saral  Tucker  College  Branch  Primary  School, South-East  Side  ,  Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Poomariamman  Kovil  Street  BLock  4  ,
2.Vanaramutti  (R.V)  And  (P)  R.V.Raman  Nagar  Block  4  ,  999.OVERSEAS ELECTORS",All  Voters,541,Dravida Munnetra Kazhagam,199,180,19,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,7,12,7,5,12,12,12,10,5,12,10,7,12,12,12,3.512014787430684,10
30,208,148,74,0,0,0,0,83,0,26,0,2,1,1,1,2,2,2,2,0,0,552,0,2,554,0,Vanaramutti,"Govt  Hr.Sec.  School  ,  East  Building  , Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Kallurani  block  5  ,  2.Vanaramutti  (R.V)  And
(P)  Muthusamypuram  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,552,All India Anna Dravida Munnetra Kazhagam,208,148,60,Dravida Munnetra Kazhagam,2,1,4,3,14,14,14,14,14,5,14,6,11,11,11,6,6,6,6,14,14,10.8695652173913,39
31,149,257,89,1,1,1,0,168,2,22,0,0,1,0,3,2,2,1,0,0,1,700,0,3,703,0,Vanaramutti,"Govt  Hr.Sec.  School,  West  Building
,Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Ramalingapuram  West  Street  Block  8  ,
2.Vanaramutti  (R.V)  And  (P)  Ramalingapuram  Colony  Street  Block  8  , 999.OVERSEAS  ELECTORS",All  Voters,700,Dravida Munnetra Kazhagam,257,168,89,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,10,16,7,5,16,16,10,16,6,7,7,10,16,16,10,12.71428571428571,32
32,286,180,25,0,0,0,2,236,0,0,0,0,0,2,0,2,0,1,0,0,1,735,0,2,737,0,Kumarettiyapuram,"S.  Thayammal  Memorial  Primary  School  , North  Side  ,  Kumarettiyapuram.","1.Kumareddiyapuram  (R.V)  And  (P)  Kumareddiyapuram  block  1  , 2.Kumareddiyapuram  (R.V)  And  (P)  Veiulukandapuram  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,735,All India Anna Dravida Munnetra Kazhagam,286,236,50,Tamilaga Vettri Kazhagam,3,1,4,2,10,10,10,5,10,10,10,10,10,5,10,5,10,8,10,10,8,6.802721088435375,6
33,111,128,14,0,1,0,0,84,0,1,0,0,0,0,0,0,1,6,0,0,1,347,0,2,349,0,Sankaralinga puram  Kumarettiya puram,"Panchayat  Union  Primary  School, Sankaralingapuram  Kumarettiyapuram.","1.Kumareddiyapuram  (R.V)  And  (P)  Sankaralingapuram  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,347,Dravida Munnetra Kazhagam,128,111,17,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,6,10,10,10,6,10,10,10,10,10,10,6,5,10,10,6,4.899135446685879,9
34,343,209,33,0,0,1,0,221,0,7,1,0,1,2,0,2,2,4,1,1,0,828,0,3,831,0,Kalampatti,"Govt  High  School,  Main  Building  , Kalampatti.","1.Kalampatti  (R.V)  And  (P)  West  street  block  1  ,  2.Kalampatti  (R.V)  And  (P) Middle  Street  Block  1  ,  3.Kalampatti  (R.V)  And  (P)  North  Street  Block  2  ,
4.Kalampatti  (R.V)  And  (P)  East  Street  Block  2  ,  5.Kalampatti  (R.V)  And  (P) South  Street  Block  2  ,  6.Kalampatti  (R.V)  And  (P)  Nachiyarpatti  Naickar
Street  Block  3  ,  7.Kalampatti  (R.V)  And  (P)  Nachiyarpatti  East  Street Block  3  ,  8.Kalampatti  (R.V)  And  (P)  Balakrishnapuram  ,  9.Kalampatti
(R.V)  And  (P)  Azhagappapuram  ,  999.OVERSEAS  ELECTORS",All  Voters,828,All India Anna Dravida Munnetra Kazhagam,343,221,122,Tamilaga Vettri Kazhagam,3,1,4,2,15,15,10,15,15,5,10,15,10,7,15,7,7,6,10,10,15,14.73429951690821,21
