Locality,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Thalaiyal-nadantha nkulam,1059,563,53.16336166194523
Kumaragiri,418,143,34.21052631578947
Rajapudhukudi,1134,371,32.71604938271605
"Vadakku Konarkottai,",711,157,22.08157524613221
Therkumayilodai,945,199,21.05820105820106
Pudukottai,340,60,17.64705882352941
Manankathan,559,72,12.88014311270125
Rajapudukudi,779,72,9.242618741976894
Aatthikulam,1356,112,8.259587020648967
Kammapatti,352,27,7.670454545454546
Therkku  Konnar Kottai,626,46,7.348242811501597
Vagaithavoor,544,39,7.169117647058823
Thirumangalakuruc hi,667,43,6.446776611694154
Ottadanpatti,418,25,5.980861244019139
Guruvinatham,1209,70,5.789909015715467
Therkuthittankulam,967,51,5.274043433298862
Therkku Thittankulam,1123,59,5.253784505788068
Olaikulam,469,23,4.904051172707889
Therku Thittankulam,1643,76,4.625684723067559
Govindampatti,455,20,4.395604395604396
Thirumalapuram,482,21,4.356846473029045
"Poosaripatti, Koosalipatti",494,21,4.251012145748987
Ettunaickenpatti,527,22,4.174573055028463
Mooppanpatti,775,32,4.129032258064516
Shanmuga  Nagar Therkku Thittankulam,560,23,4.107142857142857
Pandavarmangala m  Kovilpatti,492,20,4.065040650406504
Periyasamypuram,743,29,3.903095558546434
Panikkarkulam,612,22,3.594771241830065
Koosalipatti,2038,73,3.581943081452405
Thalavaipuram Irupppu Gopalapuram,544,19,3.492647058823529
Vadakku llanthaikulam,846,29,3.427895981087471
Kappulingampatti,567,19,3.350970017636684
Vanaramutti,3688,123,3.335140997830802
Nagalapuram,707,23,3.253182461103253
Theethampatti,1213,39,3.215169002473207
Puthupatti,500,16,3.2
Senbagaperi,730,23,3.150684931506849
Chithambarampatti,584,18,3.082191780821918
Villiseri,2173,66,3.037275655775426
Kadamboor,2365,69,2.91754756871036
Kayathar,6453,187,2.897876956454362
"Shunmuga
Sigamani  Nagar Kovilpatti",1875,54,2.88
Mudukkalankulam,927,26,2.804746494066883
"Community  Hall, Kalankaraipatti",763,21,2.752293577981652
Pannikulam,1299,35,2.694380292532717
Kuppanapuram,597,16,2.680067001675042
Savalaperi,828,22,2.657004830917874
Sankaralinga puram  Kumarettiya puram,347,9,2.593659942363113
Nalattinputthur,817,21,2.570379436964504
Ayyanaroothu,2473,63,2.547513141932875
Kalampatti,828,21,2.536231884057971
K.  Duraisamypuram,919,23,2.50272034820457
Kalugasalapuram,775,19,2.451612903225806
Sivanthipatti,457,11,2.407002188183808
Koppampatti,585,14,2.393162393162394
Vadakku Ilanthaikulam,715,17,2.377622377622377
USillankulam,635,15,2.362204724409449
Achankulam,1069,25,2.338634237605238
Uthupatti,1177,27,2.293967714528462
Vellalankottai,1221,28,2.293202293202293
Kilavipatti,974,22,2.258726899383984
Akilandapuram,1576,35,2.220812182741117
Kovil  patti,753,16,2.124833997343957
Chettikurchi,1039,22,2.117420596727623
Chithambarampatti.,378,8,2.116402116402116
Kattarankulam,1314,27,2.054794520547945
South Elanthaikulam,585,12,2.051282051282051
Nallattinputthur,1951,39,1.998974884674526
South  Kalugumalai,1404,26,1.851851851851852
Thottamapatti,757,14,1.849405548216645
Nalattinputhur,889,16,1.799775028121485
Chidmabarapuram,993,17,1.711983887210473
