Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
A.Karisalkulam,1,Dravida Munnetra Kazhagam,1
Aatthikulam,2,All India Anna Dravida Munnetra Kazhagam,1
Achankulam,2,Dravida Munnetra Kazhagam,1
Akilandapuram,2,Dravida Munnetra Kazhagam,2
Alampatti,4,All India Anna Dravida Munnetra Kazhagam,2
Arasankulam,1,All India Anna Dravida Munnetra Kazhagam,1
Athaikondan,5,All India Anna Dravida Munnetra Kazhagam,5
Avalnattham,2,All India Anna Dravida Munnetra Kazhagam,1
Ayyanaroothu,4,Dravida Munnetra Kazhagam,4
Bharthi  Nagar Mettu  Street Kovilpatti,3,Tamilaga Vettri Kazhagam,2
Bungalow  Street Kovilpatti,1,Tamilaga Vettri Kazhagam,1
"Bungalow  Street, Kovilpatti",1,Tamilaga Vettri Kazhagam,1
Bunglow  street Kovilpatti,2,Dravida Munnetra Kazhagam,1
Chathirapatti,1,All India Anna Dravida Munnetra Kazhagam,1
Chettikurchi,2,Dravida Munnetra Kazhagam,2
Chidmabarapuram,2,All India Anna Dravida Munnetra Kazhagam,2
Chithambarampatti,1,Dravida Munnetra Kazhagam,1
Chithambarampatti.,1,Dravida Munnetra Kazhagam,1
"Community  Hall, Kalankaraipatti",1,All India Anna Dravida Munnetra Kazhagam,1
Duraiyur,1,All India Anna Dravida Munnetra Kazhagam,1
Ettunaickenpatti,1,Tamilaga Vettri Kazhagam,1
Gandhi  Nagar KovilPatti,1,Dravida Munnetra Kazhagam,1
Gandhi  Nagar Kovilpatti,2,Dravida Munnetra Kazhagam,2
Govindampatti,1,Dravida Munnetra Kazhagam,1
Guruvinatham,2,All India Anna Dravida Munnetra Kazhagam,1
Idaisevel,2,All India Anna Dravida Munnetra Kazhagam,2
Illuppaiyurani,16,Tamilaga Vettri Kazhagam,10
Inammaniachi,7,Dravida Munnetra Kazhagam,4
Inammniachi,3,Tamilaga Vettri Kazhagam,2
K.  Duraisamypuram,2,All India Anna Dravida Munnetra Kazhagam,1
Kadamboor,3,Dravida Munnetra Kazhagam,2
Kalampatti,1,All India Anna Dravida Munnetra Kazhagam,1
Kalugasalapuram,1,All India Anna Dravida Munnetra Kazhagam,1
Kalugumalai,14,Tamilaga Vettri Kazhagam,6
Kamanayakkanpatti,3,Dravida Munnetra Kazhagam,3
Kammapatti,1,Dravida Munnetra Kazhagam,1
Kappulingampatti,1,Dravida Munnetra Kazhagam,1
