Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Winner_Votes,Tamilaga Vettri Kazhagam,Margin_Of_Victory,Total_Independent_Votes
194,Kovilpatti,"1.Kovilpatti  (M)  Sankaralingapuram  South  Street  1  Ward  5  ,  2.Kovilpatti
(M)  Sankaralingapuram  Nadu  Street  Ward  5  ,  3.Kovilpatti  (M)  Main  Road Ward  5  ,  4.Kovilpatti  (M)  Oodai  East  Street  Ward  5  ,  5.Kovilpatti(M) Sankaralingapuram  South  street  2  ward  5  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,271,269,2,8
244,Kovilpatti,"1.Kovilpatti  (M)  BharathiNagar  Medtu  Street  1  ward  30  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,120,118,2,3
11,Kalugumalai,"1.Kalugumalai  (S.G.T.P)  TherkurathaveethiMelpagam  Ward  9  ,
2.Kalugumalai  (S.G.T.P)  AnnaKeelastreet  ,  3.Kalugumalai  (S.G.T.P)
Annathenvadal  sandu,  4.Kalugumalai  (S.G.T.P)  Theyagei  Subbiahstreet, 5.Kalugumalai  (S.G.T.P)  Theyagi  subbiah  Thenvadalsandu,
6.Kalugumalai  (S.G.T.P)  PetchiammanKovilstreet  ,
7.Kalugumalai  (S.G.T.P)  V.O.  Chedambaranar  Street  ,
8.Kalugumalai  (S.G.T.P)  Police  Line  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,161,158,3,8
107,Idaisevel,"1.Idaiseval  (R.V)  And  (P)  Idaiseval  Block  1  ,  2.Idaiseval  (R.V)  And  (P)  Adhi Diravidar  Colony  Block  1  ,  3.Idaiseval  (R.V)  And  (P)  Parvathy  Amman
Kovil  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,249,243,6,14
36,Kattarankulam,"1.Kattarankulam  (R.V)  And  (P)  Ahilandapuram  2.Kattarankulam  (R.V) And  (P)  Saravanpuram  ,
3.Kattarankulam  (R.V)  And  (P)  Kayatharu  ,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,191,183,8,10
185,Therku Thittankulam,"1.SouthThittankulam  Street  (R.V)  And  (P)  Kaliammmankovil  Street  Block 3  ,  2.SouthThittankulam  Street  (R.V)  And  (P)  NehrujiColony  Block  3  , 3.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Colony  (New  Colony)Block 3  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,297,277,20,54
177,Shanmuga  Nagar Therkku Thittankulam,"1.Thittankulam  (R.V)And  (P)  Thozhil  Pettai  Block  1  ,  2.Thittankulam (R.V)And  (P)  Shanmuga  Nagar  block  1  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,214,192,22,23
163,Koosalipatti,"1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,321,291,30,34
179,Therkku Thittankulam,"1.Thittankulam  (R.V)  And  (P)  Muthu  Nagar  Block  1  Door  No.  761  above (Sl.No.  740-1513)  2.Thittankulam  (R.V)  And  (P)  John  Nagar  Block  1, 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,197,166,31,34
81,Pudukottai,"1.Kayathar  (F.G.T.P)  Ward  12  Pudhukottai  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,120,67,53,60
64,Rajapudhukudi,"1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  2  ,  999.OVERSEAS ELECTORS",Independent,197,108,89,206
