Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,All India Anna Dravida Munnetra Kazhagam_Share
104,Villiseri,"Panchayat  Union  Primary  School,  Middle Building,  Villiseri-1.","1.Villichery  (R.V)  And  (P)  EX,VM,OTH,STREETBlock3  ,  2.Villichery  (R.V) And  (P)  Eaststreet  Block4  ,  3.Villichery(R.V)  And  (P) PalpannaiStreetBlock4  ,  4.Villichery  (R.V)  And  (P)  East  Pudhu  Street Block4  ,  999.OVERSEAS  ELECTORS",0.7706766917293233
103,Villiseri,"Panchayat  Union  Primary  School,  North Building  ,  Villiseri-1.","1.Villichery  (R.V)  And  (P)  Perumal  Kovil  Street  Block  1  ,  2.Villichery(R.V) And  (P)  Muthalammankovil  Street  Block2  ,  3.Villichery  (R.V)  And  (P) PathirakaliammankovilStreetBlock2  ,  999.OVERSEAS  ELECTORS",0.655076495132128
21,Velayuthapuram,"Panchayat  Union  Primary  School,  North  Side
,  Velayuthapuram.","1.K.  Subramaniyapuram  (R.V)  And  (P)  K.  Subramaniyapuram  K. Velayuthapuram  Block  1  ,  2.K.  Subramaniyapuram  (R.V)  And  (P) Kalukasapuram  Block  2  ,  3.K.  Subramaniyapuram  (R.V)  And  (P) Vallinayakepuram  Block  3  ,  4.K.  Subramaniyapuram  (R.V)  And  (P) Jambulingapuram  Block  4  ,  999.OVERSEAS  ELECTORS",0.6222222222222222
62,Aatthikulam,"Hindu  Primary  School,  Aatthikulam.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  6  , 999.OVERSEAS  ELECTORS",0.5659050966608085
145,Kovilpatti,"Lakshmi  Mills  Matriculation  School,  west building  Std  V
Mela  Colony,  Kovilpatti.","1.Innammaniachi  (R.V)  And  (P)  Lakshmi  mill  colony  Block  4  ,
2.Innammaniachi  (R.V)  And  (P)  Arsutha  Nagar(Kathiraesan  Kovil  Lower) Block  4  ,  99.  OVERSEAS  ELECTORS",0.5653153153153153
78,Arasankulam,"Panchyat  Union  Primary  School  ,  SSA Building  ,  Arasankulam.","8.Kayathar  (F.G.T.P)  ward  12  Arasan  kulam  ,  999.OVERSEAS  ELECTORS",0.5582089552238806
22,Velayuthapuram,"Panchayat  Union  Primary  School  ,  South Side  ,  Velayuthapuram.","1.K.  Subramaniyapuram  (R.V)  And  (P)  Velayuthapuram  Block  5  , 999.OVERSEAS  ELECTORS",0.545578231292517
167,Kulasegarapuram,"Panchayat  Union  Primary  School,  new Building  ,South  West  Portion  South  Building Kulasekarapuram","1.Lingampatti(R.V),Kulasekarapuram  (p)  Kulasekarapuram  mettu  street block  1  ,  2.Lingampatti(R.V),Chedamparapuram  (P)  Kulasekarapuram
East  Street  Block  1  ,  3.Lingampatti(R.V),Chedamparapuram  (P)
Kulasekarapuram  West  Street  Block  1  ,  999.OVERSEAS  ELECTORS",0.5425361155698234
130,Athaikondan,"Panchayat  Union  Primary  School,  North Building  West  side,   Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Seenivasa  Nagar  North  Block  6  , 999.OVERSEAS  ELECTORS",0.5325581395348837
94,Chidmabarapuram,"Hindu  Primary  School,  Main  Building  North Side  ,  Chidmabarapuram.","1.Chedambarapuram  (p)  Chedambarapuram  block  1  , 2.Chedambarapuram  (P)  Chedambarapuram  Block  2  ,  OVERSEAS ELECTORS",0.5308641975308642
98,Kadamboor,"Hindu  Nadar  Hr.  Sec  School,  North  Building East  Side,  Kadamboor.","1.Kadamboor  (S.P)  Kattabommanveethi  Ward  11  ,  2.Kadamboor  (S.P)
V.O.C  ward  11  ,  3.Kadamboor  (S.P)  ThilagarVethi  Ward  11  ,  4.Kadamboor (S.P)  Nehru  Veethi  Ward  12  ,  5.Kadamboor  (S.P)  Bharathiveethi  Ward  12  , 6.Kadamboor  (S.P)  Gandhi  Veethi  Ward  12  ,  7.Kadamboor  (S.P)
Sankaraperi  Kalani  Ward  12  ,  8.Kadamboor  (S.P)  Arumuganagar  Kalani Ward  12  ,  9.Kadamboor  (S.P)  Sankaraperi  Pudhukalani  Ward  12  , 10.Kadamboor  (S.P)  Perumal  Kovil  Street  Ward  12  ,  999.OVERSEAS
ELECTORS",0.5250836120401338
110,Uthupatti,"Panchayat  union  Primary  school  ,  East Building  ,  Uthupatti.","1.Uoothupatti  (R.V)  And  (P)  Uoothupatti  Middle  Street  Ward  3  , 2.Uoothupatti  (R.V)  And  (P)  Uoothupatti  West  Street  Ward  4  ,
3.Uoothupatti  (R.V)  And  (P)  North  Kumarapuram  Ward  5  ,  4.Uoothupatti
(R.V)  And  (P)  South  Kumarapuram  Ward  6  ,  999.OVERSEAS  ELECTORS",0.51183970856102
92,Sivagnanapuram,"Panchayat  Union  Primary  School, Sivagnanapuram.","1.Sivagnanapuram  (R.V)  And  (P)  Sivagnanapuram  Block  1  , 2.Sivagnanapuram  (R.V)  And  (P)  Sivagnanapuram  Block  2  , 999.OVERSEAS  ELECTORS",0.4986072423398329
131,Athaikondan,"Panchayat  Union  Primary  School  ,  South Building,  North  facing  room,  Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Seenivasanagar  south  block  6  , 999.OVERSEAS  ELECTORS",0.49572649572649574
126,Alampatti,"T.D.T.A  Primary  School,  Alampatti.","1.Innam  maniachi  (R.V)  And  (P)  Vinayaga  nagar  ,  2.Innam  maniachi  (R.V) And  (P)  Meenachi  Nagar  ,  3.Innam  maniachi  (R.V)  And  (P)  E.B.Colony  , 999.OVERSEAS  ELECTORS",0.4922360248447205
74,Kayathar,"Panchyat  Union  Middle  School  ,  West Building  East  Room  ,  Kayathar.","1.Kayathar  (F.G.T.P)  Kanniamman  Kovil  Street  ,  2.Kayathar  (F.G.T.P) Mariamman  Kovil  Street  Ward  7  ,  3.Kayathar  (F.G.T.P)  Missan  Kovil
Street  ,  4.Kayathar  (F.G.T.P)  Vivekananthan  Street  ,  5.Kayathar  (F.G.T.P) Sekadi  Street  ,  6.Kayathar  (F.G.T.P)  Kalivanan  street  ,  999.OVERSEAS
ELECTORS",0.4876441515650741
3,Venkateswarapura m,"Panchayat  Union  Primary  School,South Venkadeshwarapuram","1.K.Venkateshwarapuram  (R.V)  And  (P)  K.Venkateshwarapuram  Block  1  , 2.K.Venkateshwarapuram  (R.V)  And  (P)  K.Venkateshwarapuram  Block  2  , 3.K.Venkateshwarapuram  (R.V)  And  (P)  K.Vengateswarapuram  Block  3  , 999.OVERSEAS  ELECTORS",0.4780952380952381
87,Thirumalapuram,"Panchayat  Union  Primary  School  ,  North Side  ,  Thirumalapuram.","1.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  south  street  Block  1  , 2.Thirumalaipuram  (R.V)  And  (P)  Thirumalapuram  Middle  Street  Block  1  , 3.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  North  Street  Block  1  , 4.Thirumalapuram  (R.V)  And  (P)  Thirumalapuram  West  Street  Block  1  , 5.Thirumalapuram  (R.V)  And  (P)  Nouchikulam  Block  2  ,  999.OVERSEAS ELECTORS",0.477124183006536
134,Athaikondan,"Panchayat  Union  Primary  School,  South Building  South  room   Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  1  Block  6  ,
2.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  2  Block  6  ,
3.Innam  maniachi  (R.V)  And  (P)  Srinivasa  Nagar  Street  3  Block  6  , 999.OVERSEAS  ELECTORS",0.4708994708994709
132,Athaikondan,"Panchayat  Union  Primary  School,  North Building  East  side,  Athaikondan","1.Innam  maniachi  (R.V)  And  (P)  Athaikondon  North  Block  6  ,  (Part  1) (Door  No  1  to  2103D)  999.OVERSEAS  ELECTORS",0.46835443037974683
