Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Dravida Munnetra Kazhagam_Share
56,Ayyanaroothu,"Panchayat  Union  Primary  School,  South West  Portion,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Pallivasal  Street  Block  5  ,  2.Ayyanaroothu (R.V)  And  (P)  Indhira  Nagar  Street  Block  7  ,  999.OVERSEAS  ELECTORS",0.7888888888888889
76,Kayathar,Community  hall  Kayathar,"1.Kayathar  (F.G.T.P)  Main  Road  Ward  9  ,
2.Kayathar  (F.G.T.P)  Pallivasal  North  Street  ward  9  ,
3.Kayathar  (F.G.T.P)  Sathkathulla  Appa  Street  Ward  9  ,
4.Kayathar  (F.G.T.P)  Seethakkadi  Street  Ward  9  ,
5.Kayathar  (F.G.T.P)  Pallivasal  Nadu  Street  Ward  9  ,
6.Kayathar  (F.G.T.P)  Kajamohadin  Street  Ward  9  ,
7.Kayathar  (F.G.T.P)  Jaherhussian  Street  Ward  9  ,
8.Kayathar  (F.G.T.P)  Pallivasal  Melatheru  Ward  9  , 999.OVERSEAS  ELECTORS",0.7876288659793814
47,Vellalankottai,"R.C.  Middle  School  ,  North  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Vellalankottai  East  street  Block  1  ,
2.Vellalankottai  (R.V)  And  (P)  Vellalankottai  Middle  Street  Block  2  ,
3.Vellalan  kottaiah  (R.V)  And  (P)  Vellalan  kottaiah  South  Street  Block  3  ,
4.Vellalan  kottai  (R.V)  And  (P)  Vellalan  kottai  West  Street  Block  4  , 999.OVERSEAS  ELECTORS",0.7674750356633381
75,Kayathar,"Panchayat  Union  Primary  School  ,  Main Building,  Uchi  makaliamman  kovil  street Kayathar.","1.Kayathar  (F.G.T.P)  Main  Road  Ward  10  ,
2.Kayathar  (F.G.T.P)  Umarupulavar  Street  Ward  10  ,
3.Kayathar  (F.G.T.P)  Uppuk  Kenatrutheru  Ward  10  ,
4.Kayathar  (F.G.T.P)  Main  Road  Ward  11  ,
5.Kayathar  (F.G.T.P)  SentamilStreet  Ward  11  ,
6.Kayathar  (F.G.T.P)  Aajath  Street  Ward  11  ,
7.Kayathar  (F.G.T.P)  Bhavalar  Street  Ward  11  ,
8.Kayathar  (F.G.T.P)  Ginna  STreet  Ward  11  , 999.OVERSEAS  ELECTORS",0.7603603603603604
200,North Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  East Building  South  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  Mohamad  Saliyapuram  Masque  Street  No1  Ward  13  , 999.OVERSEAS  ELECTORS",0.6135957066189625
89,Kappulingampatti,"Panchayat  Union  Primary  School, Kappulingampatti","1.Kappulingampatti  (R.V)  And  (P)  Kappulingampatti  Block  3  , 2.Kappulingampatti  (R.V)  And  (P)  Kappulingampatti  Block  2  , 999.OVERSEAS  ELECTORS",0.5989010989010989
55,Ayyanaroothu,"Panchayat  Union  Primary  School,  South Portion  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Middle  street  Block  4  ,  2.Ayyanaroothu (R.V)  And  (P)  A.Kuppanapuram  Block  6  ,  999.OVERSEAS  ELECTORS",0.5960854092526691
45,Periyasamypuram,"Panchayat  Union  Primary  School  , Periyasamypuram.","1.Thirumangalakurichi  (R.V)  And  (P)  Periasamiapuram  Block  3  , 2.Thirumangalakurichi  (R.V)  And  (P)  Pallankulam,  3.
Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  North  street Block  5,  4.Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  block
5,  999.OVERSEAS  ELECTORS",0.5909732016925247
158,Illuppaiyurani,"Syamala  Hr.  sec.  School  Room  1  (Class  12  th
)  Illuppaiyurani","1.Elupaiyurani  (A.V)  And  (P)  North  Street  Block  2  ,  2.Elupaiyurani  (A.V) And  (P)  West  Street  Block  2  ,  3.Elupaiyurani  (A.V)  And  (P)  South  Street Block  2  ,  999.OVERSEAS  ELECTORS",0.5607142857142857
199,North Puthugramam Kovilpatti,"Vivek  Nursury  and  Primary  School,  West Building  South  Portion,  North  Puthugramam Kovilpatti","1.Kovilpatti  (M)  Street  No2  Loyal  Mill  NorthLine  Ward  13  ,  2.Kovilpatti  (M) Main  Raod  Ward  6  ,  3.Kovilpatti  (M)  Mohamad  Saliyapuram  Masque
Street  No2  Ward  13  ,  999.OVERSEAS  ELECTORS",0.5598885793871866
