Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Margin_Percentage
59,South Elanthaikulam,"Community  Hall  ,  South  Elanthaikulam.","1.Therku  elanthaikulam  (R.V)  And  (P)  Therku  Elanthaikulam  Block  1  , 999.OVERSEAS  ELECTORS",0.5128205128205128
195,Kovilpatti,"Sankarakumar  Primary  School,  Middle  Side Kovilpatti","1.Kovilpatti  (M)  Sankaralingapuram  East  Street  Ward  5  ,  2.Kovilpatti  (M) Sankaralingapuram  East  Street  No  2  Ward  5  ,  3.Kovilpatti  (M)  Thari  Office Street  Ward  5  ,  4.Kovilpatti  (M)  Gopalapuram  Street  Ward5  , 999.OVERSEAS  ELECTORS",0.6793478260869565
198,Kovilpatti,"E.V.A.  Vallimuthu  Primary  School,  West Side,  Kovilpatti","1.Kovilpatti  (M)  Velayuthapuram  Nadu  Street  Ward  6  ,  2.Kovilpatti  (M) Velayuthapuram  3rdStreet  Ward  6  ,  3.Kovilpatti  (M)  Main  Road  Ward  6  , 4.Kovilpatti  (M)  Agriculture  Form  Ward  6  ,  5.Kovilpatti  (M) Velayuthapuram  6th  Street  Ward  6  ,  999.OVERSEAS  ELECTORS",1.032110091743119
65,Rajapudukudi,"T.D.T.A  Appasamy  Middle  School  ,  Old Building  ,  Rajapudukudi.","1.Sannathu  puthukudi  (R.V)  And  (P)  Sannathu  puthukudi  Block  1  ,
2.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  2  ,
3.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  3  ,
4.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  4  ,
5.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  5  , 999.OVERSEAS  ELECTORS",1.155327342747112
307,Guruvinatham,"Panchayat  Union  Primary  School,  East Portion,  Ilanthaipatti",1.  Kuruvinatham  (R.V)  And  (P)  Ilanthaipatti  Block 999.OVERSEAS  ELECTORS,1.286764705882353
221,New  Road  Kovilpatti,"Municipal  Middle  School,  South  Building, Middle  Room,  New  Road  Kovilpatti","1.Kovilpatti  (M)  Bangala  Street  5  Ward  11  , 2.Kovilpatti  (M)  Bangala  Street  4  Ward  11  , 3.Kovilpatti  (M)  Bangala  Street  3  Ward  11  , 4.Kovilpatti  (M)  Bangala  Street  Ward  6  ,
5.Kovilpatti  (M)  Perumal  Street  Ward  15  ,  999.OVERSEAS  ELECTORS",1.333333333333333
309,Puthupatti,"Panchayat  Union  Primary  School,  West Building,  Puthupatti","1.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram  west  street block  3  ,  2.Koppampatti  (R.V),  Mudukalankulam  (P)  Parasuramapuram
East  Street  Block  3  ,  3.Koppampatti  (R.V),  Mudukalankulam  (P) Veppangkulam  Block  4  ,  4.Koppampatti  (R.V),  Mudukalankulam  (P)
Pudhupatti  West  Street  Block  5  ,  5.Koppampatti  (R.V),  Mudukalankulam
(P)  Pudhupatti  East  street  block  5  ,  999.OVERSEAS  ELECTORS",1.4
88,Kumaragiri,"Panchayat  Union  Middle  School  , Kumaragiri.","1.Kapulingampatti  (R.V)  And  (P)  Kumarageri  Block  3  ,  2.Kappulingampatti (R.V)  And  (P)  Avudaiammalpuram  Block  4  ,  999.OVERSEAS  ELECTORS",1.674641148325359
80,Kayathar,"Panchyat  Union  Middle  School  ,  Southern Side  Eastern  Building  ,  Kayathar.","1.Kayathar  (F.G.T.P)  Ward  12  North  Subramaniyapuram  Kalani  ,
2.Kayathar  (F.G.T.P)  Ward  12  Bharathinagar  ,  999.OVERSEAS ELECTORS",1.716738197424893
292,Pandavarmangalam Kovilpatti,"Child  Welfare  Center,  Pandavarmangalam","1.Pandavarmangalam  (R.V)  And  (P)  Keelapandavarmangalam  block  3  , 999.OVERSEAS  ELECTORS",2.02140309155767
185,Therku Thittankulam,"Adi  Dravidar  Primary  School,  East  Building, East  side   Therku  Thittankulam","1.SouthThittankulam  Street  (R.V)  And  (P)  Kaliammmankovil  Street  Block 3  ,  2.SouthThittankulam  Street  (R.V)  And  (P)  NehrujiColony  Block  3  , 3.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Colony  (New  Colony)Block 3  ,  999.OVERSEAS  ELECTORS",2.317497103128621
298,Sivanthipatti,"T.D.T.A  Primary  School,  Sivanthipatti","1.Sivanthipatti  (R.V)  And(P)  Sivanthipatti  Block  1  ,  2.Sivanthipatti  (R.V) And(P)  Sivanthipatti  Block  2  ,  3.Sivanthipatti  (R.V)  And(P)  Kumarapuram Block  5  ,  999.OVERSEAS  ELECTORS",2.62582056892779
53,Ayyanaroothu,"Panchayat  Union  Primary  School  ,  North East  Side  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  North  street  Block  1  ,  999.OVERSEAS ELECTORS",2.937249666221629
163,Koosalipatti,"T.D.T.A.  Primary  School,  South  Side Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",3.409090909090909
29,Vanaramutti,"Saral  Tucker  College  Branch  Primary  School, South-East  Side  ,  Vanaramutti.","1.Vanaramutti  (R.V)  And  (P)  Poomariamman  Kovil  Street  BLock  4  ,
2.Vanaramutti  (R.V)  And  (P)  R.V.Raman  Nagar  Block  4  ,  999.OVERSEAS ELECTORS",3.512014787430684
