Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
6,Paravai-  625402,"1.Paravai (TP) Holikiras Nagar Ward 8  ,
2.Paravai (TP) Meenakshi Mill Colony 1st Street Ward 8 ,
3.Paravai (TP) Meenakshi Mill Colony 2nd Street Ward 8 ,
4.Paravai (TP) Meenakshi Mill Colony 3rd Street Ward 8 ,
5.Paravai (TP) Meenakshi Mill Colony 4th Street Ward 8 ,
6.Paravai (TP) Meenakshi Mill Colony 5th Street Ward 8 ,
7.Paravai (TP) Meenakshi Mill Colony 6th Street Ward 8 ,
8.Paravai (TP) Meenakshi Mill Colony 7th Street Ward 8 ,
9.Paravai (TP) Muthuramalingapuram Ward 4 ,
10.Paravai (TP) Valavan Nagar Ward 4",dravida munnetra kazhagam,tamilaga vettri kazhagam,16,1.713062098501071
12,Paravai-  625402,"1.Paravai (TP) Sri Mahaganapathy Nagar Ward 9 ,
2.Paravai (TP) Minsarakudiiruppu Ward 9 ,
3.Paravai (TP) Jeeva Nagar Ward 9 ,",dravida munnetra kazhagam,dravida munnetra kazhagam,0,0.0
13,Paravai-625402,"1.Paravai (TP) Sathyamoorth Nagar Main Street Ward 14 ,
2.Paravai (TP) Sathyamoorthy Nagar Ward 14 ,
3.Paravai (TP) Mariyamman Street Ward 14 ,
4.Paravai (TP) Kattunayakkan 1st Street Ward 14 ,
5.Paravai (TP) Karuppaiah Compound Ward 14 ,
6.Paravai (TP) Kattunayakkan 3rd  Street Ward 14 ,
7.Paravai (TP) Kattunayakkan 4th  Street Ward 14 ,
8.Paravai (TP) Muthuramalinga Street Ward 14 ,
9.Paravai (TP) Meenpannai Street Ward 14",tamilaga vettri kazhagam,dravida munnetra kazhagam,22,2.59433962264151
16,Oormechikulam Paravai II bit -625402,"1.Paravai (TP) Kaliyamman Kovil Street Ward 12 ,
2.Paravai (TP) Amman Kovil Street 12 ,
3.Paravai (TP) Pillaiyar Kovil Street Ward 12",dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,36,4.342581423401689
17,Oormechikulam Paravai II Bit -625402,"1.Paravai (P) Oormetchikulam Veeraiah Kovil Street Ward 11 ,
2.Paravai (P) Kattabomman Street Ward 11 ,
3.Paravai (P) Bharathi Street Ward 11
4.Paravai (S.P) Kumaran Street",tamilaga vettri kazhagam,dravida munnetra kazhagam,1,0.1485884101040119
18,Oormechikulam Paravai II bit -625402,"1.Paravai (C.NI.P) Mathakottai Street Oormechikulam Ward13 ,
2.Paravai (C.NI.P) Gandhimaidhanam East Street Oormechikulam Ward 13 ,
3.Paravai (S.P) Ghandhi Maidhanam Street Ward 13  ,
4.Paravai Gandhi Maidhanam Street Ward 10  ,
5.Paravai (C.NI.P) M G R Nagar Oormechikulam 13",dravida munnetra kazhagam,tamilaga vettri kazhagam,14,2.180685358255452
19,Oormechikulam Paravai II bit -625402,"1.Paravai (C.NI.P) Kalikudi Road Oormechikulam Ward 13
2.Paravai (C.NI.P) Kallikudi Road Unnamalai Colony oormetchikulam  Ward 13 ,
3.Paravai (C.NI.P) Kalikudi Road  Palpanai Colony oormetchikulam Ward13 ,
4.Paravai (C.NI.P) Chinnaiya Kovil Street oormetchikulam Ward 13 ,
5.Paravai (C.NI.P) Gandhi Nagar Oormechikulam Ward 13",tamilaga vettri kazhagam,dravida munnetra kazhagam,4,0.4733727810650888
20,Oormechikulam Paravai II bit -625402,"1.Paravai (S.P) Thirumagal Talkies Road Ward 10 ,
2.Paravai (S.P) Thirumagal Talkies Backside ( Poonga Nagar)
3.Paravai (TP) Vaigai Road Ward 10 ,
4.Paravai (TP) Poonga Nagar Ward 10",all india anna dravida munnetra kazhagam,tamilaga vettri kazhagam,27,3.924418604651163
27,"Panchayat Union Middle School  Middle School ICDS room
(Towars North to south west facing) SVD Nagar  Sikkandar Chavadi-625018","1 - Kovilpappakudi (R V),Kovilpappakudi (P), Sikkandhar Chavadi Ward 3 (from door no. 1 to door no. 3-271)",dravida munnetra kazhagam,tamilaga vettri kazhagam,31,3.526734926052332
32,Karisalkulam-625018,"1.Madurai(C) Vilangudi I.O.C.Nagar Manoranjitham Veethi Ward 1 , 2.Madurai(C)Vilangudi I.O.C Nagar Kurunji Veethi Ward 1 3.Madurai(C)Vilangudi I.O.C Nagar Thamarai Veethi Ward 1 4.Madurai(C) Vilangudi I.O.C Nagar Roja Veethi  Ward 1 , 5.Madurai(C) Vilangudi I.O.C Nagar Mullai Veethi Ward 1 , 6..Madurai(C)Vilangudi I.O.C Nagar Malligai Veethi Ward 1 7.Madurai(C) Vilangudi Ramuni Nagar 1st Street Ward 1 , 8.Madurai(C) Vilangudi Ramuni Nagar 2nd Street Ward 1, 9.Madurai(C) Vilangudi Ramuni Nagar 3rd Street Ward 1,",tamilaga vettri kazhagam,dravida munnetra kazhagam,24,3.187250996015936
33,Karisalkulam-625018,"1.Madurai(C) Vilangudi Karisalkulam 1st Street Ward 1, 2.Madurai(C) Vilangudi Karisalkulam 2nd Street Ward 1, 3.Madurai(C) Vilangudi Karisalkulam 3rd Street Ward 1, 4.Madurai(C) Vilangudi Karisalkulam 4th Street Ward 1 , 5.Madurai(C) Vilangudi Karisalkulam 5th Street Ward 1 , 6.Madurai(C) Vilangudi Karisalkulam 6th Street Ward 1 , 7.Madurai(C) Vilangudi Karisalkulam 7th Street Ward 1 ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,14,2.5
34,Karisalkulam-625018,"1.Madurai(C) Vilangudi Karisalkulam 8th Street Ward 1 , 2.Madurai(C) Vilangudi Karisalkulam 9th Street Ward 1 , 3.Madurai(C) Vilangudi Karisalkulam 10th Street Ward 2 , 4.Madurai(C) Vilangudi Karisalkulam 11th Street Ward 2 , 5.Madurai(C) Vilangudi Karisalkulam 12th Street Ward 2  , 6.Madurai(C) Vilangudi Karisalkulam 13th Street Ward 2 , 7.Madurai(C) Vilangudi Karisalkulam 14th Street Ward 2, 8.Madurai(C) Vilangudi Karisalkulam 15th Street Ward 2 , 9.Madurai(C) Vilangudi Karisalkulam 16th Street Ward 2 , 10.Madurai(C) Vilangudi Karisalkulam Adaimandhai Pottal Ward 2 , 11.Madurai(C) Vilangudi Karisalkulam Indra Nagar Ward 2",tamilaga vettri kazhagam,dravida munnetra kazhagam,30,4.846526655896607
36,Karisalkulam-625018,"1.Madurai(C) Vilangudi Booman Nagar Ward 2 2.Madurai(C) Vilangudi Periyar Nagar 1st Street Ward 2 3.Madurai(C) Vilangudi Periyar Nagar 2nd Street Ward 2 , 4.Madurai(C) Vilangudi Periyar Nagar 3rd Street Ward 2 , 5.Madurai(C) Vilangudi Periyar Nagar 4th Street Ward 2 , 6.Madurai(C) Vilangudi Periyar Nagar 5th Street Ward 2 , 7.Madurai(C) Vilangudi Periyar Nagar 6th Street Ward 2 , 8.Madurai(C) Vilangudi Periyar Nagar 7th Street Ward 2 ,
9.Madurai(C) Vilangudi Thiruvalluvar Nagar 1st Street Ward 2 , 10.Madurai(C) Vilangudi Thiruvalluvar Nagar 2nd Street Ward 2 , 11.Madurai(C) Vilangudi Thiruvalluvar Nagar 3rd Street Ward 2",tamilaga vettri kazhagam,dravida munnetra kazhagam,15,1.813784764207981
40,Vilangudi Koodalnagar-625018,"1.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street Ward 2 ,
2.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street 1st Cross Street Ward 2 ,
3.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street 2nd Cross Street  Ward 2 ,
4.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street 3rd Cross Street Ward 2 ,
5.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street 4th Cross Street Ward 2 ,
6.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 5th Street 5th Cross Street  Ward 2 ,
7.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 6th Street Ward 2 ,
8.Madurai (C) Vilangudi (TP) Chokkalinga Nagar 7th Street Ward 2 ,
9.Madurai (C) Vilangudi (TP) Chokkalinga Nagar Main Road Ward 2 ,
10.Madurai (C) Vilangudi (TP) Chokkalinga Nagar Krishnasamy Nagar Ward 2",tamilaga vettri kazhagam,dravida munnetra kazhagam,18,2.686567164179104
41,Vilangudi Koodalnagar-625018,"1.Madurai (C) Vilangudi (TP) Pillaiyar Kovil Koodal Nagar 1st Street Ward 2 ,
2.Madurai (C) Vilangudi (TP) Koodal Nagar 2nd Street Ward 2 ,
3.Madurai (C) Vilangudi (TP) Koodal Nagar 3rd Street Ward 2
4 - Madurai (C) Vilangudi (TP), Koodal Nagar 4th Street  Kamarajar Street Ward 2",dravida munnetra kazhagam,tamilaga vettri kazhagam,7,1.075268817204301
43,Saint Antony Middle School Koodal NagarSouthern East Building 8th Room - NorthFacing (Towards East to west),"1.Madurai (C) Vilangudi (TP) Chellaiah Nagar 1st Street Ward 2 ,
2.Madurai (C) Vilangudi (TP) Chellaiah Nagar 2nd Street Ward 2 ,
3.Madurai (C) Vilangudi (TP) Chellaiah Nagar 3rd Street Ward 2 ,
4.Madurai (C) Vilangudi (TP) Jesudoss Nagar 1st Street Ward 2 ,
5.Madurai (C) Vilangudi (TP) Jesudoss Nagar 2nd Street Ward 2 ,
6.Madurai (C) Vilangudi (TP) Appadurai Nagar 1st Street Ward 2,
7.Madurai (C) Vilangudi (TP) Appadurai Nagar 2nd Cross Street Ward 2
8.Madurai (C) Vilangudi (TP) Appadurai Nagar 3rd Cross Street Ward 2
9.Madurai (C) Vilangudi (TP) Appadurai Nagar 4th Street Ward 2,
10.Madurai (C)Vilangudi (TP) Appadurai Nagar 5th Street Ward 2",dravida munnetra kazhagam,tamilaga vettri kazhagam,6,1.136363636363636
44,South Terreced Builiding East Wing Middle Portion Vilangudi Koodal Nagar -625018,"1.Madurai (C) Vilangudi (SP) Ashok Nagar 1st Street Ward 2 2.Madurai(C) Vilangudi (P) Ashok Nagar 2nd Street Ward 2
3.Madurai (C) Vilangudi (SP) Ashok Nagar 3rd Street Ward 2 ,
4.Madurai (C) Vilangudi (SP) Ashok Nagar 4th Street Ward 2
5.Madurai (C) Vilangudi (SP) L.I.C. Colony Thamarai Veethi Ward 2 ,
6.Madurai (C) Vilangudi (TP) TNHB H TYPE Ward 2 ,
7.Madurai (C) Vilangudi (TP) TNHB M1 Quarters Ward 2,
8.Madurai (C) Vilangudi (TP) TNHB M2 Quarters Ward 2",dravida munnetra kazhagam,tamilaga vettri kazhagam,3,0.5836575875486382
46,Vilankudi-625018,"1.Madurai (C) Vilangudi (SP) Income Tax 1st Colony Ward 20 ,
2.Madurai (C) Vilangudi (SP) Income Tax Colony 2nd Street Ward 20 ,
3.Madurai (C) Vilangudi (SP) Income Tax Colony 3rd Street Ward 20 ,
4.Madurai (C) Vilangudi (SP) Income Tax Colony 4th Street Ward 20 ,
5.Madurai (C) Vilangudi (SP) Income Tax Colony 5th Street Ward 20 ,
6.Madurai (C) Vilangudi (SP) Income Tax Colony Church Veethi Ward 20 ,
7.Madurai (C) Vilangudi (SP) Karpaga Vinayagar Kovil Street Ward 20,
8 - Madurai (C) Vilangudi (SP), Income Tax Colony Thamarai Veethi Ward 20",tamilaga vettri kazhagam,dravida munnetra kazhagam,16,2.72572402044293
