Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
89,Madurai - 625016,533,27,tamilaga vettri kazhagam,56,5.065666041275797,No
33,Karisalkulam-625018,560,10,dravida munnetra kazhagam,14,1.785714285714286,No
296,Room.No.2,514,9,tamilaga vettri kazhagam,64,1.750972762645914,No
221,T.V.S Nagar-625003,518,9,tamilaga vettri kazhagam,77,1.737451737451738,No
160,Vilachery Main Road,462,8,dravida munnetra kazhagam,42,1.731601731601732,No
197,Palanganatham Main Road-625003,636,10,tamilaga vettri kazhagam,61,1.572327044025157,No
150,Samatipuram,452,7,tamilaga vettri kazhagam,8,1.548672566371681,No
300,Jaihindpuram-625011,584,9,tamilaga vettri kazhagam,39,1.541095890410959,No
136,Bethaniyapuram-625016,733,11,tamilaga vettri kazhagam,83,1.500682128240109,No
208,Palanganatham-625003,488,7,tamilaga vettri kazhagam,23,1.434426229508197,No
87,Virattipathu.,737,10,dravida munnetra kazhagam,55,1.35685210312076,No
298,Jaihindpuram - 625011,610,8,tamilaga vettri kazhagam,98,1.311475409836065,No
293,Jaihindpuram - 625011,612,8,tamilaga vettri kazhagam,102,1.30718954248366,No
138,North Side building,694,9,tamilaga vettri kazhagam,46,1.296829971181556,No
303,Jaihindupuram-625011,711,9,tamilaga vettri kazhagam,146,1.265822784810127,No
317,Subramaniyapuram- 625011,746,9,dravida munnetra kazhagam,112,1.206434316353887,No
42,Vilankudi Koodalnagar-625018,504,6,tamilaga vettri kazhagam,73,1.19047619047619,No
263,Jaihindpuram-625011,597,7,tamilaga vettri kazhagam,128,1.172529313232831,No
291,"East Side  North Side Class 2B Nehru
Street Jaihindupuram-625011",524,6,tamilaga vettri kazhagam,73,1.145038167938931,No
259,Madurai- 625011,612,7,tamilaga vettri kazhagam,70,1.143790849673203,No
63,Pethaniyapuram-625016,614,7,tamilaga vettri kazhagam,115,1.140065146579805,No
108,Puthukulam Ist Bit -Madurai.,439,5,all india anna dravida munnetra kazhagam,10,1.138952164009112,No
294,Madurai,544,6,tamilaga vettri kazhagam,91,1.102941176470588,No
122,Kochadai-625016,824,9,tamilaga vettri kazhagam,62,1.092233009708738,No
209,Palanganatham-625003,553,6,tamilaga vettri kazhagam,19,1.08499095840868,No
266,"Jaihindpuram
Main Road Madurai",746,8,tamilaga vettri kazhagam,108,1.072386058981233,No
68,"1st
room South Facing Arappalayam-625016",565,6,dravida munnetra kazhagam,12,1.061946902654867,No
60,Vilangudi - 625018,863,9,tamilaga vettri kazhagam,15,1.04287369640788,No
244,Muthupatti-625003,692,7,tamilaga vettri kazhagam,80,1.011560693641619,No
273,"Class Room-7c
Jaihindpuram-625011",594,6,tamilaga vettri kazhagam,34,1.01010101010101,No
163,Ponmeni Main Road-625010,500,5,tamilaga vettri kazhagam,67,1.0,No
66,Pethaniyapuram-625016,713,7,tamilaga vettri kazhagam,40,0.9817671809256662,No
297,Room.No.2,513,5,tamilaga vettri kazhagam,116,0.9746588693957114,No
44,South Terreced Builiding East Wing Middle Portion Vilangudi Koodal Nagar -625018,514,5,dravida munnetra kazhagam,3,0.9727626459143969,Yes
115,Madurai - 625016,516,5,tamilaga vettri kazhagam,32,0.9689922480620154,No
13,Paravai-625402,848,8,tamilaga vettri kazhagam,22,0.9433962264150944,No
313,Solaialagupuram 1st street,638,6,tamilaga vettri kazhagam,84,0.9404388714733543,No
155,Samatipuram-625010,866,8,dravida munnetra kazhagam,12,0.9237875288683602,No
126,West - facing - Virattipathu -625016,792,7,tamilaga vettri kazhagam,63,0.8838383838383838,No
79,madurai-625016,567,5,tamilaga vettri kazhagam,75,0.8818342151675485,No
88,Virattipathu.,795,7,dravida munnetra kazhagam,31,0.8805031446540881,No
292,Jaihindpuram,815,7,tamilaga vettri kazhagam,159,0.8588957055214724,No
165,Madurai - 625010,471,4,dravida munnetra kazhagam,24,0.8492569002123143,No
322,Jaihindupuram-625011,717,6,tamilaga vettri kazhagam,102,0.8368200836820083,No
239,,598,5,tamilaga vettri kazhagam,88,0.8361204013377926,No
260,Madurai- 625011,361,3,tamilaga vettri kazhagam,65,0.8310249307479225,No
172,Samatipuram-625010,725,6,dravida munnetra kazhagam,8,0.8275862068965517,No
178,Madakulam-625003,616,5,dravida munnetra kazhagam,132,0.8116883116883116,No
258,East Side North Block Class Room No.14 Jaihindpuram,752,6,tamilaga vettri kazhagam,58,0.7978723404255319,No
50,Vilankudi-625018,878,7,tamilaga vettri kazhagam,64,0.7972665148063782,No
59,Vilangudi - 625018,755,6,dravida munnetra kazhagam,25,0.7947019867549668,No
215,Madurai- 625003,630,5,tamilaga vettri kazhagam,36,0.7936507936507936,No
128,Virattipathu-625016,630,5,tamilaga vettri kazhagam,34,0.7936507936507936,No
290,Nehru Street Jaihindupuram-625011,505,4,tamilaga vettri kazhagam,52,0.7920792079207921,No
302,Jaihindpuram-625011,632,5,dravida munnetra kazhagam,33,0.7911392405063291,No
174,Samatipuram-625010,762,6,tamilaga vettri kazhagam,46,0.7874015748031495,No
166,Ponmeni - 625010,638,5,tamilaga vettri kazhagam,34,0.7836990595611284,No
248,Muthupatti-625003,767,6,tamilaga vettri kazhagam,112,0.7822685788787485,No
26,"SVD
Nagar  Kovilpapakudi-625018",643,5,tamilaga vettri kazhagam,90,0.7776049766718507,No
315,Solaialagupuram 1st street,772,6,tamilaga vettri kazhagam,49,0.7772020725388601,No
220,Muthupatti-625003,645,5,tamilaga vettri kazhagam,102,0.7751937984496124,No
159,Vilachery Main Road,649,5,dravida munnetra kazhagam,39,0.7704160246533128,No
58,Vilangudi - 625018,780,6,tamilaga vettri kazhagam,51,0.7692307692307693,No
78,Pethaniyapuram-625016,522,4,tamilaga vettri kazhagam,33,0.7662835249042145,No
241,,526,4,tamilaga vettri kazhagam,30,0.7604562737642585,No
133,South Side Building West Room Pethaniyapuram-625016,658,5,tamilaga vettri kazhagam,49,0.7598784194528876,No
43,Saint Antony Middle School Koodal NagarSouthern East Building 8th Room - NorthFacing (Towards East to west),528,4,dravida munnetra kazhagam,6,0.7575757575757576,No
6,Paravai-  625402,934,7,dravida munnetra kazhagam,16,0.7494646680942184,No
145,"Main Building
Ponmeni Pudur-625016",536,4,tamilaga vettri kazhagam,116,0.7462686567164178,No
148,"East Building North
Side Room P P Chavadi Sammattipuram-625010",539,4,tamilaga vettri kazhagam,15,0.7421150278293136,No
204,Palanganatham-625003,674,5,tamilaga vettri kazhagam,98,0.741839762611276,No
75,Pethaniyapuram-625016,684,5,dravida munnetra kazhagam,80,0.7309941520467835,No
283,"Officers
Room West Side Jaihindpuram -625011",685,5,tamilaga vettri kazhagam,171,0.7299270072992701,No
