serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
2,Paravai - 625402,"Government Higher Secondary School, Paravai, North Western side,  Building  2nd class room towards north to south - East Facing","1.Paravai (TP) Mela Veli Street 4th Cross Lane Ward 1 ,
2.Paravai (TP) Sarojini Street Ward 1 ,
3.Paravai (TP) Thiruvalluvar Street Ward 1 ,
4.Paravai (TP) Bharathi Ground Ward 1 ,
5.Paravai (TP) Vivekanandar Street Ward 5 ,
6.Paravai (TP) Karuppanasamy Koil Street Ward 5 ,
7.Paravai (TP) Sithambaranar Street Ward 5
8.Paravai (TP) THADCO Colony Ward 4 and 3 ,",dravida munnetra kazhagam,12.06896551724138
11,Paravai-  625402,"M.T.S Primary School,Paravai Eastern Side building 3rd Class room towards North to South - West Facing","1.Paravai (TP) Saminathan Nagar Ward 9 ,
2.Paravai (TP) Sathyamoorthy Nagar Main Road Ward 9,
3.Paravai (TP) Thermal Station Ward 9  ,",dravida munnetra kazhagam,13.33333333333333
45,Saint Antony Middle School Koodal NagarWestern Side Building 3rd Room - EastFacing (Towards South to North),Saint Antony Middle School Koodal NagarWestern Side Building 3rd Room - EastFacing (Towards South to North),"1.Madurai (C) Vilangudi (SP) Rayilar Nagar 1st Street Ward 2
2.Madurai (C) Vilangudi (SP) Rayilar Nagar 2nd Street Ward 2
3.Madurai (C) Vilangudi (SP) Rayilar Nagar 3rd Street Ward 2
4.Madurai (C) Vilangudi (SP) Rayilar Nagar 4th Street Ward 2
5.Madurai (C) Vilangudi (SP) Rayilar Nagar 5th Street Ward 2
6.Madurai (C) Vilangudi (SP) Rayilar Nagar 6th Street Ward 2
7.Madurai (C) Vilangudi (SP) Rayilar Nagar 6th 1st Cross Street Ward 2",dravida munnetra kazhagam,11.09489051094891
75,Pethaniyapuram-625016,"St.Mary of Lucca Matric Higher Secondary School,East side Building 8th Room","1.Madurai(C) Matha Kovil South Street Ward 66 , 2.Madurai(C) Matha Kovil North Street Ward 66 , 3.Madurai(C) Matha Kovil Mukiy Street Ward 65 , 4.Madurai(C) Anbu Street Ward 65 ,
5.Madurai(C) Valar Street Ward 65 ,
6.Madurai(C) Pastin  Nagar 7th Street Ward 65",dravida munnetra kazhagam,11.69590643274854
84,Madurai-10,"St. John Matric School   ,R C C Building West Side(room 5)
Melakkal Road Kochadai",1.Madurai (C) Indirani Nagar Building  (Right Side ) Ward 65,dravida munnetra kazhagam,11.25319693094629
91,Atchampathu,"C.S.I Elementary School   ,North Building, 1st room, south
facing","1 - Thuvariman (R.V) Thuvariman (P), T.Pudukudi ward 5 (from door no. 1 to door no. 5-159)",dravida munnetra kazhagam,21.51162790697675
94,Thuvariman-625010.,"Govt. High School ,North side Building, South - Facing, 3rd
Room","1.Duvariman (R.V) Duvariman (P) West Street Agraharam Ward 2,
2.Duvariman (R.V) Duvariman (P) Ganeshapuram Ward 4",dravida munnetra kazhagam,17.90849673202614
95,Thuvariman-625010.,"Govt. High School ,North side Building, South - Facing, 1st Room","1.Duvariman (R.V) Duvariman(p) Venkatachalapathy Nagar Ward 1 , 2.Duvariman (R.V) Duvariman (P) Indira colony Ward 1 ,",dravida munnetra kazhagam,13.35807050092764
97,Keelamathur- 625010,"C.S.I Elementary School , 5th Std North Face","1.Keelamathur (R.V) Keelamathur(p) East Street Ward 1 , 2.Keelamathur (R.V) Keelamathur (P) East Street Ward 2 ,
3.Keelamathur (R.V) Keelamathur (SP) Keelamathur Mela Street Ward 1 , 4.Keelamathur (R.V) Keelamathur (P) West Street Ward 2 , 5.Keelamathur (R.V) Keelamathur (P) Nadu Theru Ward 1 , 6.Keelamathur (R.V) Keelamathur (P) North Street Ward 1 , 7.Keelamathur (R.V) Keelamathur (P) North Street Ward 3 , 8.Keelamathur (R.V) Keelamathur (P) Melakkal Main road Ward 1",dravida munnetra kazhagam,26.4947245017585
102,South Facing - Tharapatty,"Kallar Elementary School , North Side Building","1.Kodimangalam (R.V) Kodimangalam (P)Melakkalmain  road,  nagartheertham Ward 3 , 2.Kodimangalam (R.V) Thiruparankundram (TP) East Street Tharapatti Ward 3 , 3.Kodimangalam (R.V) Thiruparankundram (TP) Harijanacolony Tharapatti Ward 3 , 4.Kodimangalam (R.V) Thiruparankundram (TP) Mela Street tharapatti Ward 4 , 5.Kodimangalam (R.V) Thiruparankundram (TP) North Street Tharapatti Ward 3 , 6.Kodimangalam (R.V) Thiruparankundram (TP) Kodimangalam Pudur Ward 4",dravida munnetra kazhagam,34.50937155457552
