serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
3,Paravai-  625402,"Government Panchayat Primary School , Paravai, North Western side, Corner Building 1st Class room, towards North to South East Facing.","1.Paravai (TP) Kumaran Street Ward 1 ,
2.Paravai (TP) South Kottai Street Ward 1 ,
3.Paravai (TP) West Kottai 1st Cross Lane Ward 2 ,
4.Paravai (TP) West Kottai 2nd Cross Lane Ward 2 ,
5.Paravai (TP) West Kottai 3rd Cross Lane Ward 2 ,
6.Paravai (TP) West Kottai 4th Cross Lane Ward 2 ,
7.Paravai (TP) West Kottai Street Ward 2 ,
8.Paravai (TP) North Veli Veethi Ward 2 ,
9.Paravai (TP) Maarnadu Nagar Ward 2  ,
10.Paravai (TP) North Kottai Street Ward 2  ,
11.Paravai (TP) Kavirayar Street Ward 2 ,
12.Paravai (TP) Thatchan Kovil Street Ward 2 ,
13.Paravai (TP) East Kottai Street Ward 2 ,",dravida munnetra kazhagam,9.050772626931568
6,Paravai-  625402,"Panchayat Union Primary School ,Paravai Northern Easten side Corner Building, 1st class room, towards  north to south - west facing","1.Paravai (TP) Holikiras Nagar Ward 8  ,
2.Paravai (TP) Meenakshi Mill Colony 1st Street Ward 8 ,
3.Paravai (TP) Meenakshi Mill Colony 2nd Street Ward 8 ,
4.Paravai (TP) Meenakshi Mill Colony 3rd Street Ward 8 ,
5.Paravai (TP) Meenakshi Mill Colony 4th Street Ward 8 ,
6.Paravai (TP) Meenakshi Mill Colony 5th Street Ward 8 ,
7.Paravai (TP) Meenakshi Mill Colony 6th Street Ward 8 ,
8.Paravai (TP) Meenakshi Mill Colony 7th Street Ward 8 ,
9.Paravai (TP) Muthuramalingapuram Ward 4 ,
10.Paravai (TP) Valavan Nagar Ward 4",dravida munnetra kazhagam,1.713062098501071
12,Paravai-  625402,"M.T.S Primary School,Paravai Eastern Side building 4th  Class room towards North to South - West Facing","1.Paravai (TP) Sri Mahaganapathy Nagar Ward 9 ,
2.Paravai (TP) Minsarakudiiruppu Ward 9 ,
3.Paravai (TP) Jeeva Nagar Ward 9 ,",dravida munnetra kazhagam,0.0
13,Paravai-625402,"Panchayat Union Middle School   , West Portion R.C Building Sathyamoorthi Nagar, Strong Building","1.Paravai (TP) Sathyamoorth Nagar Main Street Ward 14 ,
2.Paravai (TP) Sathyamoorthy Nagar Ward 14 ,
3.Paravai (TP) Mariyamman Street Ward 14 ,
4.Paravai (TP) Kattunayakkan 1st Street Ward 14 ,
5.Paravai (TP) Karuppaiah Compound Ward 14 ,
6.Paravai (TP) Kattunayakkan 3rd  Street Ward 14 ,
7.Paravai (TP) Kattunayakkan 4th  Street Ward 14 ,
8.Paravai (TP) Muthuramalinga Street Ward 14 ,
9.Paravai (TP) Meenpannai Street Ward 14",tamilaga vettri kazhagam,2.59433962264151
15,Paravai-625402,"Panchayat Union Middle School   ,West Portion R.C Building Sathyamoorthi Nagar, Strong Building East Side","1.Paravai (S.P) Kattunayakkan 4th  Street Ward 15 ,
2.Paravai (S.P) Arunthathiyar Street Ward 15 ,
3.Paravai (S.P) Sathyamoorthy Nagar North Street Ward 14
4.Paravai (S.P) Sathymoorthy Nagar North Main Street Ward 14 ,
5.Paravai (S.P) Kattunayakkan 5th  Street Ward 14 ,
6.Paravai (S.P) Annai Meenakshi Nagar",tamilaga vettri kazhagam,8.386411889596603
27,"Panchayat Union Middle School  Middle School ICDS room
(Towars North to south west facing) SVD Nagar  Sikkandar Chavadi-625018","Panchayat Union Middle School  Middle School ICDS room
(Towars North to south west facing) SVD Nagar  Sikkandar Chavadi-625018","1 - Kovilpappakudi (R V),Kovilpappakudi (P), Sikkandhar Chavadi Ward 3 (from door no. 1 to door no. 3-271)",dravida munnetra kazhagam,3.526734926052332
32,Karisalkulam-625018,"Corporation Building , Sanitary Inspector Room, East facing Building","1.Madurai(C) Vilangudi I.O.C.Nagar Manoranjitham Veethi Ward 1 , 2.Madurai(C)Vilangudi I.O.C Nagar Kurunji Veethi Ward 1 3.Madurai(C)Vilangudi I.O.C Nagar Thamarai Veethi Ward 1 4.Madurai(C) Vilangudi I.O.C Nagar Roja Veethi  Ward 1 , 5.Madurai(C) Vilangudi I.O.C Nagar Mullai Veethi Ward 1 , 6..Madurai(C)Vilangudi I.O.C Nagar Malligai Veethi Ward 1 7.Madurai(C) Vilangudi Ramuni Nagar 1st Street Ward 1 , 8.Madurai(C) Vilangudi Ramuni Nagar 2nd Street Ward 1, 9.Madurai(C) Vilangudi Ramuni Nagar 3rd Street Ward 1,",tamilaga vettri kazhagam,3.187250996015936
33,Karisalkulam-625018,"Corporation Building , AE office - Zone2, East facing Building","1.Madurai(C) Vilangudi Karisalkulam 1st Street Ward 1, 2.Madurai(C) Vilangudi Karisalkulam 2nd Street Ward 1, 3.Madurai(C) Vilangudi Karisalkulam 3rd Street Ward 1, 4.Madurai(C) Vilangudi Karisalkulam 4th Street Ward 1 , 5.Madurai(C) Vilangudi Karisalkulam 5th Street Ward 1 , 6.Madurai(C) Vilangudi Karisalkulam 6th Street Ward 1 , 7.Madurai(C) Vilangudi Karisalkulam 7th Street Ward 1 ,",dravida munnetra kazhagam,2.5
34,Karisalkulam-625018,"Corporation Building , Pandiyan Co-operative Ration Shop, (AB031) East facing Building","1.Madurai(C) Vilangudi Karisalkulam 8th Street Ward 1 , 2.Madurai(C) Vilangudi Karisalkulam 9th Street Ward 1 , 3.Madurai(C) Vilangudi Karisalkulam 10th Street Ward 2 , 4.Madurai(C) Vilangudi Karisalkulam 11th Street Ward 2 , 5.Madurai(C) Vilangudi Karisalkulam 12th Street Ward 2  , 6.Madurai(C) Vilangudi Karisalkulam 13th Street Ward 2 , 7.Madurai(C) Vilangudi Karisalkulam 14th Street Ward 2, 8.Madurai(C) Vilangudi Karisalkulam 15th Street Ward 2 , 9.Madurai(C) Vilangudi Karisalkulam 16th Street Ward 2 , 10.Madurai(C) Vilangudi Karisalkulam Adaimandhai Pottal Ward 2 , 11.Madurai(C) Vilangudi Karisalkulam Indra Nagar Ward 2",tamilaga vettri kazhagam,4.846526655896607
35,Karisalkulam-625018,"ICDS Building , Periyar Nagar, North Facing Building, East Side Room","1.Madurai(C) Vilangudi Pandian Nagar 1st Street Ward 2 , 2.Madurai(C) Vilangudi Pandian Nagar 2nd Street Ward 2 , 3.Madurai(C) Vilangudi Pandian Nagar 3rd Street Ward 2 , 4.Madurai(C) Vilangudi Pandian Nagar 3rd Cross Street Ward 2 , 5.Madurai(C) Vilangudi Pandian Nagar 4th Street Ward 2 , 6.Madurai(C) Vilangudi Thirumal Nagar 1st Street Ward 2 , 7.Madurai(C) Vilangudi Thirumal Nagar 2nd Street Ward 2",tamilaga vettri kazhagam,7.402234636871509
