serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
14,Paravai-625402,"Panchayat Union Middle School   ,East Portion , R.C Building Sathyamoorthi Nagar Strong Building East Side","1.Paravai (TP) Sathyamoorthy Nagar Ward 15 ,
2.Paravai (S.P) Kattunayakkan 1st Street Ward 15 ,
3.Paravai (S.P) Kattunayakkan 2nd Street Ward 15 ,
4.Paravai (S.P) Kattunayakkan 3rd  Street Ward 15",tamilaga vettri kazhagam,21.07317073170732
22,1st room Kovilpappakudi - 625018,"Panchayat Union middle school, North east corner separate, building (towards west facing)","1.Koil Pappakudi (R V), Koil Pappakudi (P) Muthaiya Nagar Ward 1
2.Koil Pappakudi (R V), Koil Pappakudi (P) Indra Nagar Ward 1
3.Koil Pappakudi (R V), Koil Pappakudi (P) Colony Street Ward 2 ,
4.Koil Pappakudi (R V), Koil Pappakudi (P) Sathya Nagar Ward 1",tamilaga vettri kazhagam,14.64393179538616
25,SVD Nagar Kovilpapakudi - 625018,"Panchayat Union middle school,  east west corner separate,
building (towards North facing)","1.Koil Pappakudi (R V), Koil Pappakudi (P) S V D Nagar Ward 2 , (From Door no. 27 to last)",tamilaga vettri kazhagam,15.76626240352811
26,"SVD
Nagar  Kovilpapakudi-625018","Panchayat Union middle school, North south corner separate, building (towards East facing), 1st room (near office room)","1.Koil Pappakudi (R V), Koil Pappakudi (P) P R C Nagar Ward 2
2.Koil Pappakudi (R V), Koil Pappakudi (P) S V D Nagar Ward 2  (From Door no. 1 to 27)",tamilaga vettri kazhagam,13.99688958009331
29,Panchayat Union Middle School  North East Corner Building ICDS (Towars North to south west facing) SVD Nagar  Sikkandar Chavadi-625018,Panchayat Union Middle School  North East Corner Building ICDS (Towars North to south west facing) SVD Nagar  Sikkandar Chavadi-625018,"1.Kovilpappakudi (R V),Kovilpappakudi (P) Dhinamani Nagar Ward 3( From door no. 3/501a to last)
2.Kovilpappakudi (R V),Kovilpappakudi (P), Sikkandhar Chavadi Ward 3 (from door no. 3-
275 till last)",tamilaga vettri kazhagam,26.29427792915531
30,"Eastern side corner building 1ST classroom(East to
west/North facing)","Panchayat union Middle school, sikkanthar chavadi(Jeeva theatre)","1.Kovilpappakudi (R V),Kovilpappakudi (P) Dhinamani Nagar Ward 3( From door no. 1 to 3/424C)",tamilaga vettri kazhagam,15.57496360989811
31,"Kovilpapakudi Panchayath Eastern side
corner building 2nd classroom (East to west/North facing)","Madurai West Panchayat union Middle school, SVD Nagar, sikkanthar chavadi","1.Kovilpappakudi (R V),Kovilpappakudi (P) Dhinamani Nagar Ward 3( From door no. 3/425a to 3-493F)",tamilaga vettri kazhagam,19.97563946406821
42,Vilankudi Koodalnagar-625018,"Saint Antony Middle School   ,Front Building Facing South, Class II C-Room","1.Madurai (C) Vilangudi (TP) Koodal Nagar 5th Street Chinnaiah Raj Compound Ward 2 ,
2.Madurai (C) Vilangudi (TP) Koodal Nagar 5th Street Kaveri Street Ward 2 ,
3.Madurai (C) Vilangudi (TP) Koodal Nagar 6th Street Vaigai Veedhi Ward 2 ,
4.Madurai (C) Vilangudi (TP) Koodal Nagar 7th Street Pattel Street Ward 2
5.Madurai (C) Vilangudi (TP) Koodal Nagar 8th Street Kamaraj Nagar Ward 2 ,
6.Madurai (C) Vilangudi (TP) Koodal Nagar 9th Street Kalaivanan Street Ward 2 ,
7.Madurai (C) Vilangudi (TP) Koodal Nagar 10th Street Ravindranath Tagore Ward 2
8.Madurai (C) Vilangudi (TP) Koodal Nagar 11th Street Jahir Ussain Street Ward 2 ,
9.Madurai (C) Vilangudi (TP) Annaisaratha Street Ward 2 ,
10.Madurai (C) Vilangudi (TP) Koodal Nagar 12th Street Thiru Vi Ka Street Ward 2 ,
11.Madurai (C) Vilangudi (TP) Koodal Nagar 13th Street Azad Street Ward 2 ,",tamilaga vettri kazhagam,14.48412698412699
48,Vilankudi-625018,"Panchayat Union Middle School , North West  Building South Portion","1.Madurai(C) Vilangudi (P) Sengol Nagar 3rd Street Ward 20 , 2.Madurai(C) Vilangudi (P) Sengol Nagar 4th Street Ward 20 , 3.Madurai(C) Vilangudi (P) Sengol Nagar 5th Street Ward 20, 4.Madurai(C) Vilangudi (P) Sengol Nagar 6th Street Ward 20, 5.Madurai(C) Vilangudi (P) Sengol Nagar 7th Street Ward 20, 6.Madurai(C) Vilangudi (P) Sengol Nagar Main Road Ward 20,
7.Madurai (C) Vilangudi (TP) SaMathana Nagar Ward 20 , 6.Madurai(C) Vilangudi (P) Ayyanarpuram (Gandhi Nagar) Ward 20",tamilaga vettri kazhagam,14.82517482517482
63,Pethaniyapuram-625016,"Corporation Elementary School   ,West Side Building, 1st room,
East facing","1 - Madurai (C), Pandiarajapuram Mettu Street Main Veethi Pethaniyapuram Ward 64 (from
door no. 1 to door no. 189)",tamilaga vettri kazhagam,18.72964169381108
