Serial No. Of Polling Station,Locality,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
1,Onamakkulam,Amma Makkal Munnettra Kazagam,Tamilaga Vettri Kazhagam,19,4.241071428571429
2,Onamakkulam,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,16,3.094777562862669
4,Ilavelangal,Puthiya Tamilagam,Tamilaga Vettri Kazhagam,31,4.613095238095238
7,Kothali,Tamilaga Vettri Kazhagam,Amma Makkal Munnettra Kazagam,19,3.89344262295082
9,Kalappaipatti,Puthiya Tamilagam,Amma Makkal Munnettra Kazagam,23,3.474320241691843
11,Kailaspuram,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,0,0.0
15,Akkanaickanpatti,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,2.387640449438202
16,Akkanaickanpatti,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,28,4.590163934426229
24,Ottanatham,Tamilaga Vettri Kazhagam,Puthiya Tamilagam,22,2.816901408450704
25,Ottanatham,Tamilaga Vettri Kazhagam,Amma Makkal Munnettra Kazagam,2,0.3710575139146568
26,Maniyachi,Tamilaga Vettri Kazhagam,Amma Makkal Munnettra Kazagam,23,3.538461538461538
27,Chokkanathapuram,Puthiya Tamilagam,Tamilaga Vettri Kazhagam,2,0.7220216606498195
31,Therku  Araikkulam,Tamilaga Vettri Kazhagam,Amma Makkal Munnettra Kazagam,23,4.136690647482014
37,Kombadi Thalavaipuram,Puthiya Tamilagam,Tamilaga Vettri Kazhagam,29,3.856382978723404
39,Jambulingapuram,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,32,4.086845466155811
40,Puthupatcheri,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.142857142857143
44,Ottapidaram,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,19,3.079416531604538
45,Muppilivetti,Amma Makkal Munnettra Kazagam,Tamilaga Vettri Kazhagam,16,1.731601731601732
49,Panchalankurichi,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,1.379310344827586
50,Governagiri,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,3.448275862068965
51,Governagiri,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,2.955665024630542
53,"Vadakku
Avarankadu",Puthiya Tamilagam,Dravida Munnetra Kazhagam,18,2.884615384615385
55,Sinthalakattai,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.823045267489712
56,Puthiamputhur,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,1.346153846153846
57,Puthiamputhur,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,4,0.9009009009009009
61,Puthiamputhur,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,30,3.768844221105527
66,Saminattham,Tamilaga Vettri Kazhagam,Puthiya Tamilagam,1,0.1481481481481481
83,Tharuvaikulam,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,0,0.0
84,AnanthamadanPach ery,Tamilaga Vettri Kazhagam,Puthiya Tamilagam,5,0.5524861878453038
89,Pandarampatti,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.9216589861751152
90,Pandarampatti,Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,30,2.918287937743191
153,Thalamuthu  Nagar,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,23,3.377386196769457
163,Lakshmi  puram,Puthiya Tamilagam,Dravida Munnetra Kazhagam,10,2.0
167,Sekkarakudi  1,Tamilaga Vettri Kazhagam,Amma Makkal Munnettra Kazagam,25,4.340277777777778
