Locality,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
Kothali,488,19,3.89344262295082
Ayiravanpatti,556,16,2.877697841726619
Vallanadu,810,18,2.222222222222222
Keelathattapparai,894,18,2.013422818791946
Thennampatti,720,14,1.944444444444444
Ananthanambi-kur uchi,581,10,1.721170395869191
A.Kumarapuram,715,12,1.678321678321678
Ilavelangal,672,11,1.636904761904762
Lakshmipuram,838,13,1.551312649164678
Maniyachi,650,10,1.538461538461539
Singathakurichi,782,12,1.534526854219949
Thimmarajapuram,731,11,1.504787961696306
V.P.Thalaiyuthu,346,5,1.445086705202312
"Vadakku
Avarankadu",624,9,1.442307692307692
Savarimangalam,355,5,1.408450704225352
Kasilingapuram,934,13,1.39186295503212
Mudivaithanandal,4074,56,1.374570446735395
MelaPoovani,591,8,1.353637901861252
AnanthamadanPach ery,905,12,1.325966850828729
Melamadam,925,12,1.297297297297297
Alantha,775,10,1.290322580645161
Therku  Araikkulam,556,7,1.258992805755396
Malaippatti,505,6,1.188118811881188
A  Velayuthapuram,600,7,1.166666666666667
Vittilapuram,2245,26,1.158129175946548
Vadakku  kalankarai,526,6,1.140684410646388
Allikulam,619,7,1.130856219709208
Kaliyavur,1506,17,1.128818061088978
Kalappaipatti,1064,12,1.12781954887218
Deivaseyelpuram,803,9,1.12079701120797
Govindapuram  & Keelakottai,814,9,1.105651105651106
Konarkulam,927,10,1.078748651564186
Puthupatcheri,700,7,1.0
Thuppaspatti,605,6,0.9917355371900827
Sekkarakudi  1,3230,32,0.9907120743034057
Umerikottai,1115,11,0.9865470852017937
Agaram,712,7,0.9831460674157303
Nattarkulam,518,5,0.9652509652509652
Kailaspuram,829,8,0.9650180940892641
Osanoothu,637,6,0.9419152276295133
Kollankinar,850,8,0.9411764705882352
Sangampatti,747,7,0.9370816599732262
Muthalangkurichi,747,7,0.9370816599732262
K.P  .Thalavaipuram,857,8,0.9334889148191364
Melathattapparai,1500,14,0.9333333333333335
Nanalkadu,750,7,0.9333333333333335
Nainarpuram,540,5,0.9259259259259258
Vallanadukasba,3827,35,0.9145544813169584
Murappanadu,1451,13,0.8959338387319091
Sillanatham,563,5,0.8880994671403196
Pudhupatti,795,7,0.8805031446540881
Spic  Nagar,229,2,0.8733624454148471
Soreespuram,3005,26,0.8652246256239602
Ellainayakkanpatti,697,6,0.860832137733142
Parivillikottai,586,5,0.8532423208191127
Keelaputhaneri,948,8,0.8438818565400843
Ottanatham,1320,11,0.8333333333333334
