Locality,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
A  Velayuthapuram,1,Tamilaga Vettri Kazhagam,1
A.Kumarapuram,1,Tamilaga Vettri Kazhagam,1
Agaram,1,Tamilaga Vettri Kazhagam,1
Akkanaickanpatti,2,Tamilaga Vettri Kazhagam,2
Alantha,1,Puthiya Tamilagam,1
Allikulam,1,Tamilaga Vettri Kazhagam,1
AnanthamadanPach ery,1,Tamilaga Vettri Kazhagam,1
Ananthanambi-kur uchi,1,Dravida Munnetra Kazhagam,1
Anavarathanallur,4,Tamilaga Vettri Kazhagam,3
Aniyaparanallur,2,Dravida Munnetra Kazhagam,1
Arockiapuram,1,Dravida Munnetra Kazhagam,1
Atthimarapatti,4,Tamilaga Vettri Kazhagam,3
Ayiravanpatti,1,Amma Makkal Munnettra Kazagam,1
Chockkalingapuram,1,Tamilaga Vettri Kazhagam,1
Chokkanathapuram,1,Puthiya Tamilagam,1
Deivaseyelpuram,1,Tamilaga Vettri Kazhagam,1
Ellainayakkanpatti,1,Tamilaga Vettri Kazhagam,1
Governagiri,2,Dravida Munnetra Kazhagam,2
Govindapuram  & Keelakottai,1,Puthiya Tamilagam,1
Ilavelangal,1,Puthiya Tamilagam,1
Jambulingapuram,1,Dravida Munnetra Kazhagam,1
K.P  .Thalavaipuram,1,Tamilaga Vettri Kazhagam,1
Kailaspuram,2,Dravida Munnetra Kazhagam,1
Kalappaipatti,2,Puthiya Tamilagam,2
Kaliyavur,3,Dravida Munnetra Kazhagam,2
Kallathikinaru,1,Puthiya Tamilagam,1
Kasilingapuram,1,Puthiya Tamilagam,1
Kattalenkulam,1,Dravida Munnetra Kazhagam,1
Keela  Poovani,1,Amma Makkal Munnettra Kazagam,1
Keelaputhaneri,2,Tamilaga Vettri Kazhagam,2
Keelathattapparai,1,Tamilaga Vettri Kazhagam,1
Kodiyankulam,1,Puthiya Tamilagam,1
Kollankinar,1,Puthiya Tamilagam,1
Kombadi Thalavaipuram,1,Puthiya Tamilagam,1
Konarkulam,1,Dravida Munnetra Kazhagam,1
Kootampuli,2,Tamilaga Vettri Kazhagam,2
Koottampuli,3,Tamilaga Vettri Kazhagam,3
Koottudenkadu,6,Tamilaga Vettri Kazhagam,6
Korampallam,4,Tamilaga Vettri Kazhagam,3
Kothali,1,Tamilaga Vettri Kazhagam,1
Kulaiyankarisal,4,Tamilaga Vettri Kazhagam,4
Kulesekaranallur,2,Puthiya Tamilagam,1
Kurukkusalai,1,Tamilaga Vettri Kazhagam,1
Lakshmi  puram,1,Puthiya Tamilagam,1
Lakshmipuram,1,Puthiya Tamilagam,1
M.  Savariarpuram,15,Tamilaga Vettri Kazhagam,15
M.Dhiraviapuram,1,Tamilaga Vettri Kazhagam,1
Malaippatti,1,Puthiya Tamilagam,1
Manakkarai,2,Tamilaga Vettri Kazhagam,2
Maniyachi,1,Tamilaga Vettri Kazhagam,1
Mappillaiurani,3,Tamilaga Vettri Kazhagam,3
Maravanmadam,2,Tamilaga Vettri Kazhagam,2
Maruthanvalvu,2,Puthiya Tamilagam,2
Mayakoothapuram,1,Dravida Munnetra Kazhagam,1
Meenachipatti,2,Tamilaga Vettri Kazhagam,2
Mela  Arasadi,1,Tamilaga Vettri Kazhagam,1
MelaPoovani,1,Puthiya Tamilagam,1
Melamadam,1,Tamilaga Vettri Kazhagam,1
Melapandiyapuram,1,Tamilaga Vettri Kazhagam,1
Melasekkarakudi,1,Dravida Munnetra Kazhagam,1
Melathattapparai,2,Dravida Munnetra Kazhagam,1
Mudivaithanandal,6,Tamilaga Vettri Kazhagam,6
Mullakadu,2,Tamilaga Vettri Kazhagam,2
Mullanvillai,1,Dravida Munnetra Kazhagam,1
Muppilivetti,1,Amma Makkal Munnettra Kazagam,1
Murappanadu,2,Dravida Munnetra Kazhagam,1
Muthalangkurichi,1,Tamilaga Vettri Kazhagam,1
Muthammal  Colony,2,Tamilaga Vettri Kazhagam,2
Muthammal  colony,12,Tamilaga Vettri Kazhagam,12
Nainarpuram,1,Tamilaga Vettri Kazhagam,1
Nanalkadu,1,Tamilaga Vettri Kazhagam,1
Naraikinaru,1,Tamilaga Vettri Kazhagam,1
Nattarkulam,1,Puthiya Tamilagam,1
Onamakkulam,2,Amma Makkal Munnettra Kazagam,1
Osanoothu,1,Puthiya Tamilagam,1
Ottanatham,2,Tamilaga Vettri Kazhagam,2
Ottapidaram,4,Tamilaga Vettri Kazhagam,4
Panchalankurichi,3,Tamilaga Vettri Kazhagam,2
Pandarampatti,2,Dravida Munnetra Kazhagam,2
Paraikuttam,1,Tamilaga Vettri Kazhagam,1
Parivillikottai,1,Tamilaga Vettri Kazhagam,1
Periyanayagapuram,2,Tamilaga Vettri Kazhagam,2
Peroorani,2,Tamilaga Vettri Kazhagam,2
Podammalpuram,1,Tamilaga Vettri Kazhagam,1
Pottalurani,1,Dravida Munnetra Kazhagam,1
Pudhupatti,1,Tamilaga Vettri Kazhagam,1
Pudukottai,11,Tamilaga Vettri Kazhagam,11
Pudur Pandiyapuram,1,Tamilaga Vettri Kazhagam,1
Puliampatti,1,Puthiya Tamilagam,1
Puliyamarthu Arasadi,1,Tamilaga Vettri Kazhagam,1
Puthiamputhur,8,Tamilaga Vettri Kazhagam,7
Puthiyamputhur,1,Puthiya Tamilagam,1
Puthupatcheri,1,Dravida Munnetra Kazhagam,1
Rajapalayam,5,Tamilaga Vettri Kazhagam,5
Rajavin  Kovil,1,Dravida Munnetra Kazhagam,1
Ramachandrapura m,1,Tamilaga Vettri Kazhagam,1
S.  Kailasapuram,1,Dravida Munnetra Kazhagam,1
Sakkammalpuram,1,Tamilaga Vettri Kazhagam,1
Sameerviyas  Nagar,1,Tamilaga Vettri Kazhagam,1
Saminattham,2,Tamilaga Vettri Kazhagam,2
Sangampatti,1,Tamilaga Vettri Kazhagam,1
Sankaraperi,2,Tamilaga Vettri Kazhagam,2
Savalaperi,1,Puthiya Tamilagam,1
Savarimangalam,1,Amma Makkal Munnettra Kazagam,1
Sekkarakudi  1,5,Tamilaga Vettri Kazhagam,3
Sennelpatti,1,Dravida Munnetra Kazhagam,1
Senthiampalam,1,Dravida Munnetra Kazhagam,1
Servaikaranmadam,1,Tamilaga Vettri Kazhagam,1
Sevelkulam,1,Puthiya Tamilagam,1
Sillanatham,1,Tamilaga Vettri Kazhagam,1
Siluvaipatti,9,Tamilaga Vettri Kazhagam,9
Singathakurichi,1,Tamilaga Vettri Kazhagam,1
Sinthalakattai,1,Dravida Munnetra Kazhagam,1
Sivagnanapuram,2,Tamilaga Vettri Kazhagam,2
Soosaipandiapuram,1,Tamilaga Vettri Kazhagam,1
Soreespuram,5,Tamilaga Vettri Kazhagam,5
Spic  Nagar,1,Tamilaga Vettri Kazhagam,1
State  Bank  Colony,4,Tamilaga Vettri Kazhagam,4
State  Bank  colony,3,Tamilaga Vettri Kazhagam,3
T.  Saveriyarpuram,19,Tamilaga Vettri Kazhagam,19
T.Saveriyarpuram,3,Tamilaga Vettri Kazhagam,3
Thalamuthu  Nagar,6,Tamilaga Vettri Kazhagam,6
Tharuvaikulam,7,Tamilaga Vettri Kazhagam,6
Thennampatti,1,Tamilaga Vettri Kazhagam,1
Therku  Araikkulam,1,Tamilaga Vettri Kazhagam,1
Therku Veerapandiapuram,2,Tamilaga Vettri Kazhagam,2
Therkusilukkanpatt i,1,Tamilaga Vettri Kazhagam,1
Thimmarajapuram,1,Dravida Munnetra Kazhagam,1
Thiraviapuram,1,Tamilaga Vettri Kazhagam,1
Thiruvananthapura m,1,Dravida Munnetra Kazhagam,1
Thuppaspatti,1,Tamilaga Vettri Kazhagam,1
Ulakkudi,1,Puthiya Tamilagam,1
Umerikottai,2,Tamilaga Vettri Kazhagam,2
V.P.Thalaiyuthu,1,Amma Makkal Munnettra Kazagam,1
