Serial No. Of Polling Station,Naam Tamilar Katchi,Dravida Munnetra Kazhagam,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,Puthiya Tamilagam,Amma Makkal Munnettra Kazagam,Naam Indiar Party,Tamizhaga Vaazhvurimai Katchi,Tamilaga Vettri Kazhagam,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Total of Valid Votes,Unnamed: 15,NOTA,Total,No. Of Tendered Votes,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Whether  for  all Voters  or  men  olny or  women  only,Naam Tamilar Katchi_Share_%,Dravida Munnetra Kazhagam_Share_%,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Share_%,Puthiya Tamilagam_Share_%,Amma Makkal Munnettra Kazagam_Share_%,Naam Indiar Party_Share_%,Tamizhaga Vaazhvurimai Katchi_Share_%,Tamilaga Vettri Kazhagam_Share_%,NOTA_Share_%,Total_Independent_Votes,Independent_Share_%,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Naam Tamilar Katchi_Rank,Dravida Munnetra Kazhagam_Rank,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank,Puthiya Tamilagam_Rank,Amma Makkal Munnettra Kazagam_Rank,Naam Indiar Party_Rank,Tamizhaga Vaazhvurimai Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Margin_Percentage,Runner_Up_Party,Naam Tamilar Katchi_Rank.1,Dravida Munnetra Kazhagam_Rank.1,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi_Rank.1,Puthiya Tamilagam_Rank.1,Amma Makkal Munnettra Kazagam_Rank.1,Naam Indiar Party_Rank.1,Tamizhaga Vaazhvurimai Katchi_Rank.1,Tamilaga Vettri Kazhagam_Rank.1,Independent_Rank.1,Independent.1_Rank.1,Independent.2_Rank.1,Independent.3_Rank.1,Independent.4_Rank.1
1,25,103,0,7,161,1,4,142,1,1,1,1,1,448,0,4,452,0,Onamakkulam,"Panchayat  Union  Primary  School  ,SSA Building,North  portion,Onamakkulam","1.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  1, 2.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  2, 999.OVERSEAS  ELECTORS",All  Voters,5.580357142857143,22.99107142857143,0.0,1.5625,35.9375,0.2232142857142857,0.8928571428571428,31.69642857142857,0.8928571428571428,5,1.116071428571429,Amma Makkal Munnettra Kazagam,161,142,19,4,3,13,5,1,7,6,2,7,7,7,7,7,4.241071428571429,Tamilaga Vettri Kazhagam,4,3,13,5,1,7,6,2,7,7,7,7,7
2,32,190,3,78,34,0,3,174,0,1,0,1,1,517,0,0,517,0,Onamakkulam,"Panchayat  Union  Primary  School,SSA Building  South  Portion  Onamakkulam","1.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  3, 2.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  4, 3.Onamakkulam  (R.V)  And  (P)  Veerapandian  puliakkulam  Block  5, 4.Onamakkulam  (R.V)  And  (P)  Veerapandian  pulikkulam  Block  6, 999.OVERSEAS  ELECTORS",All  Voters,6.189555125725339,36.7504835589942,0.5802707930367506,15.08704061895551,6.576402321083171,0.0,0.5802707930367506,33.65570599613153,0.0,3,0.5802707930367506,Dravida Munnetra Kazhagam,190,174,16,5,1,6,3,4,11,6,2,11,8,11,8,8,3.094777562862669,Tamilaga Vettri Kazhagam,5,1,6,3,4,11,6,2,11,8,11,8,8
3,25,55,0,3,140,0,1,117,1,2,1,1,0,346,0,2,348,0,V.P.Thalaiyuthu,"Panchayat  Union  Primary  School, V.P.Thalaiyuthu","1.Onamakkulam  (R.V),  Onamakkulam  &  Thennampatti  (P)
V.P.Thalaiyouthu  Block  5,  2.Onamakkulam  (R.V),  Thennampatti  (P) V.P.Thalaiyothu  Block  6,
3.Onmakkulam  (R.V),  Thennampatti  (P)  V.P.Thalaiyouthu  Block  7,
999.OVERSEAS  ELECTORS",All  Voters,7.225433526011561,15.89595375722543,0.0,0.8670520231213872,40.46242774566474,0.0,0.2890173410404624,33.81502890173411,0.5780346820809248,5,1.445086705202312,Amma Makkal Munnettra Kazagam,140,117,23,4,3,11,5,1,11,7,2,7,6,7,7,11,6.647398843930636,Tamilaga Vettri Kazhagam,4,3,11,5,1,11,7,2,7,6,7,7,11
4,15,121,1,208,135,0,4,177,4,2,3,1,1,672,0,2,674,0,Ilavelangal,"Panchayat  Union  Middle  School,West Building,  Middle  portion,  Ilavelangal","1.Ilavelangal  (R.V)  And  (P)  Kammavar  street  Block  1, 2.Ilavelangal  (R.V)  And  (P)  Jakkammal  street  Block  2,
3.Ilavelangal  (R.V)  And  (P)  Muthalamman  street  Block  3,
999.OVERSEAS  ELECTORS",All  Voters,2.232142857142857,18.00595238095238,0.1488095238095238,30.95238095238095,20.08928571428572,0.0,0.5952380952380952,26.33928571428572,0.2976190476190476,11,1.636904761904762,Puthiya Tamilagam,208,177,31,5,4,10,1,3,13,6,2,6,9,8,10,10,4.613095238095238,Tamilaga Vettri Kazhagam,5,4,10,1,3,13,6,2,6,9,8,10,10
5,51,83,2,35,225,0,5,139,2,6,2,1,5,556,0,5,561,0,Ayiravanpatti,T.N.D.T.A.Primary  School  Ayiravanpatti,"1.Ilavelangal  (R.V)  And  (P)  Ayiravanpatti  Block  4, 2.Ilavelangal  (R.V)  And  (P)  Ayiravanpatti  Block  5, 999.OVERSEAS  ELECTORS",All  Voters,9.172661870503598,14.92805755395683,0.3597122302158274,6.294964028776978,40.46762589928058,0.0,0.8992805755395683,25.0,0.8992805755395683,16,2.877697841726619,Amma Makkal Munnettra Kazagam,225,139,86,4,3,9,5,1,13,7,2,9,6,9,12,7,15.46762589928058,Tamilaga Vettri Kazhagam,4,3,9,5,1,13,7,2,9,6,9,12,7
6,76,78,5,113,123,2,7,302,5,4,2,2,1,720,0,5,725,0,Thennampatti,Panchayat  Union  Primary  School  East Building  Thennampatti,"1.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  1, 2.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  2, 3.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  3, 4.Thennampatti  (R.V)  And  (P)  Gopalapuram  Block  4, 999.OVERSEAS  ELECTORS",All  Voters,10.55555555555556,10.83333333333333,0.6944444444444444,15.69444444444444,17.08333333333333,0.2777777777777778,0.9722222222222222,41.94444444444444,0.6944444444444444,14,1.944444444444444,Tamilaga Vettri Kazhagam,302,123,179,5,4,7,3,2,10,6,1,7,9,10,10,13,24.86111111111111,Amma Makkal Munnettra Kazagam,5,4,7,3,2,10,6,1,7,9,10,10,13
7,67,52,1,32,148,2,0,167,2,4,0,4,9,488,0,4,492,0,Kothali,"Panchayat  Union  Primary  School,  SSA Building  ,  East  portion,  Kothali","1.Kothali  (R.V)  And  (P)  Kothali  Block  1,
2.Kothali  (R.V)  And  (P)  Kothali  Block  2,
3.Kothali  (R.V)  And  (P)  Kothali  Block  3, 999.OVERSEAS  ELECTORS",All  Voters,13.72950819672131,10.65573770491803,0.2049180327868853,6.557377049180328,30.32786885245902,0.4098360655737705,0.0,34.22131147540984,0.819672131147541,19,3.89344262295082,Tamilaga Vettri Kazhagam,167,148,19,3,4,11,5,2,9,12,1,9,7,12,7,6,3.89344262295082,Amma Makkal Munnettra Kazagam,3,4,11,5,2,9,12,1,9,7,12,7,6
8,44,74,1,120,70,2,2,85,0,1,0,0,3,402,0,4,406,0,Kalappaipatti,"C.M.M.L.  Primary  SchoolMain  Building, Kalappaipatti","1.Kalappaipatti  (R.V)  And  (P)  Kalappaipatti  Block  1, 2.Kalappaipatti  (R.V)  And  (P)  Kalappaipatti  Block  2, 999.OVERSEAS  ELECTORS",All  Voters,10.9452736318408,18.40796019900498,0.2487562189054726,29.85074626865671,17.41293532338308,0.4975124378109453,0.4975124378109453,21.14427860696518,0.9950248756218906,4,0.9950248756218906,Puthiya Tamilagam,120,85,35,5,3,9,1,4,7,7,2,11,9,11,11,6,8.706467661691542,Tamilaga Vettri Kazhagam,5,3,9,1,4,7,7,2,11,9,11,11,6
9,26,41,1,225,202,4,2,153,1,5,0,2,0,662,0,3,665,0,Kalappaipatti,"C.M.M.L.  Primary  School,  North  Tiled Building,  Main  Kalappaipatti","1.Kalappaipatti  (R.V)  And  (P)  Ammalpatti  Block  3,
2.Kalappaipatti  (R.V)  And  (P)  Ayyapparajapuram  Block  4, 3.Kalappaipatti  (R.V)  And  (P)  Veppankulam  Block  5, 999.OVERSEAS  ELECTORS",All  Voters,3.927492447129909,6.193353474320242,0.1510574018126888,33.98791540785498,30.51359516616314,0.6042296072507553,0.3021148036253776,23.11178247734139,0.4531722054380665,8,1.208459214501511,Puthiya Tamilagam,225,202,23,5,4,10,1,2,7,8,3,10,6,12,8,12,3.474320241691843,Amma Makkal Munnettra Kazagam,5,4,10,1,2,7,8,3,10,6,12,8,12
10,90,106,2,401,54,0,3,149,2,3,2,2,0,814,0,3,817,0,Govindapuram  & Keelakottai,"Noon  Meal  Centre,  Keelakottai","1.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Keela  kottai  south
street  Block  1,  2.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Keela kottai  west  street  Block  1,  3.Govindapuram  &  Keelakottai  (R.V),
Keelakottai  (P)  Keelakottai  middle  street  Block  1,  4.Govindapuram  & Keelakottai  (R.V),  Keelakottai  (P)  Keelakottai  East  street  Block  1, 5.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Gopalapuram
Galaveedu  Block  2,  6.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P) Govindapuram  Block  5,
999.OVERSEAS  ELECTORS",All  Voters,11.05651105651106,13.02211302211302,0.2457002457002457,49.26289926289926,6.633906633906633,0.0,0.3685503685503685,18.3046683046683,0.3685503685503685,9,1.105651105651106,Puthiya Tamilagam,401,149,252,4,3,8,1,5,12,6,2,8,6,8,8,12,30.95823095823096,Tamilaga Vettri Kazhagam,4,3,8,1,5,12,6,2,8,6,8,8,12
