Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
1,Onamakkulam,"Panchayat  Union  Primary  School  ,SSA Building,North  portion,Onamakkulam","1.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  1, 2.Onamakkulam  (R.V)  And  (P)  Onamakkulam  Block  2, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,4.241071428571429
3,V.P.Thalaiyuthu,"Panchayat  Union  Primary  School, V.P.Thalaiyuthu","1.Onamakkulam  (R.V),  Onamakkulam  &  Thennampatti  (P)
V.P.Thalaiyouthu  Block  5,  2.Onamakkulam  (R.V),  Thennampatti  (P) V.P.Thalaiyothu  Block  6,
3.Onmakkulam  (R.V),  Thennampatti  (P)  V.P.Thalaiyouthu  Block  7,
999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,6.647398843930636
5,Ayiravanpatti,T.N.D.T.A.Primary  School  Ayiravanpatti,"1.Ilavelangal  (R.V)  And  (P)  Ayiravanpatti  Block  4, 2.Ilavelangal  (R.V)  And  (P)  Ayiravanpatti  Block  5, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,15.46762589928058
6,Thennampatti,Panchayat  Union  Primary  School  East Building  Thennampatti,"1.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  1, 2.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  2, 3.Thennampatti  (R.V)  And  (P)  Thennampatti  Block  3, 4.Thennampatti  (R.V)  And  (P)  Gopalapuram  Block  4, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,24.86111111111111
7,Kothali,"Panchayat  Union  Primary  School,  SSA Building  ,  East  portion,  Kothali","1.Kothali  (R.V)  And  (P)  Kothali  Block  1,
2.Kothali  (R.V)  And  (P)  Kothali  Block  2,
3.Kothali  (R.V)  And  (P)  Kothali  Block  3, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.89344262295082
25,Ottanatham,"Ramanujam  Hindu  Middle  school  ,East Portion  Ottanatham","1.Ottanatham  (R.V)  And  (P)  Block  4, 2.Ottanatham(R.V)  And  (P)  Block  5, 3.Ottanatham  (R.V)  And  (P)  Block  6, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,0.3710575139146568
26,Maniyachi,"R.C.  Primary  School  ,South  Portion, Maniyachi","1.Maniyachi  (R.V)  And  (P)  Maniachei  Block  1,
2.Maniachei  (R.V)  And  (P)  Maniachi  Kasbha  Block  2, 3.Maniachei  (R.V)  And  (P)  Vadamalapuram  Block  3,
4.Maniachi  (R.V)  And  (P)  Maniachi  Railway  Station  Block  5,  5.Maniachi (R.V)  And  (P)  Sundararajapuram  Block  6,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.538461538461538
28,Paraikuttam,"T.N.D.T.A.Primary  School,Paraikuttam","1.Paraikuttam  (R.V)  And  (P)  Paraikuttam  Block  1, 2.Paraikuttam  (R.V)  And  (P)  Paraikuttam  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,7.096774193548387
31,Therku  Araikkulam,"Panchayat  Union  Middle  School,North Building,  Therku  Araikkulam.","1.Innam  Aaraikulam  (R.V)  And  (P)  South  Aaraikulam  Block  1,  2.Innam Aaraikulam  (R.V)  And  (P)  Noth  Aaraikulam  Block  2,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,4.136690647482014
36,Savarimangalam,"T.N.D.T.A.  Primary  school,  Savarimangalam.","1.S.kailasapuram  (R.V)  And  (P)  Savarimangalam  Block  1, 2.S.Kailasapuram  (R.V)  And  (P)  Savarimangalam  Block  2,
3.S.  Kailasapuram  (R.V)  And  (P)  Savarimangalam  Block  3,
999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,14.08450704225352
42,Ottapidaram,"T.M.P.Meckvai  Higher  Secondary  School
,(Swish  Red  Cross  Memorial  Hall  South Portion)  Ottapidaram","1.Ottapidaram  (R.V)  And  (P)  V.O.C.  Street  Block  2,
2.Ottapidaram  (R.V)  And  (P)  South  Parambur,  colony  &  Muppulivetti (West),
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,5.933250927070458
43,Ottapidaram,"T.M.P.Meckvai  Higher  Secondary  School
,Memorial  West  Side  Portion,  Ottapidaram","1.Ottapidaram  (R.V)  And  (P)  North  parumboor  Hospital  street  Block  8, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.311004784689
44,Ottapidaram,"T.M.P.Meckvai  Higher  Secondary  School
,Memorial  East  Side  Portion,  Ottapidaram","1.Ottapidaram  (R.V)  And  (P)  Mettur  part  Block  7,
2.Ottapidaram  (R.V)  And  (P)  South  parumboor  Ricemill  colony  Block  8, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.079416531604538
45,Muppilivetti,"Panchayat  Union  Primary  School  ,West Building,  Muppilivetti","1.Ottapidaram  (R.V)  And  (P)  Muppulivetti  Block  10,
2.Ottapidaram  (R.V)  And  (P)  Muppulivetti  Yadavar  Street  Block  11, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,1.731601731601732
48,Panchalankurichi,"Amber  sarkar  Main  Building,  Agathigal Colony,  Panchalankurichi","1.Panjalankurichi  (R.V)  And  (P)  Panjalankurichi  selon  colony  Block  1 (Door  No:  1  -  60)
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.95708154506438
69,Therku Veerapandiapuram,"Panchayat  Union  Middle  School,South Facing  Building,North  Portion,Therku Veerapandiapuram.","1.TherkuVeerapandiapuram  (R.V)  And  (P)  A,  Kumareddeyapuram  Block  3, 2.TherkuVeerapandiapuram  (R.V)  And  (P)  Kumaragri  Block  4,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,10.95890410958904
71,Nainarpuram,"T.N.D.T.A.  Primary  School,  Nainarpuram","1.Sillanatham  (R.V)  And  (P)  Nainarpuram  Block  3, 2.Sillanatham  (R.V)  And  (P)  Nainarpuram  Block  4, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,9.074074074074074
72,Valasamuthiram,Hindu  primary  school  Valasamuthiram,"1.Valasamuthiram  ((R.V)  And  (P)  Valasamuthiram  Block  1, 2.Valasamuthiram  (R.V)  And  (P)  Venkataeswarapuram  Block  2, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,15.26104417670683
76,A.Kumarapuram,"Hindu  Primary  School,  A.Kumarapuram Mela  Arasadi","1.K.  Shunmugapuram  (R.V)  And  (P)  Melamaruthur  Block  1, 2.Melarasaradi  (R.V)  And  (P)  Kumarapuram  Block  2,
3.Melarasaradi  (R.V)  And  (P)  Kumarampuram  Block  3,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,18.46153846153846
83,Tharuvaikulam,Punitha  Catherin  Primary  School  New Building  West  Portion  Tharuvaikulam,"1.Tharuvaikulam  (R.V)  And  (P),Sundan  pachichery  block  6  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,0.0
87,Thuppaspatti,"Panchayat  Union  Primary  School, Thuppaspatti","1.Keelaarasaradi  (R.V)  And  (P)  Keelaarasaradi  Block  1, 2.Keelaarasaradi  (R.V)  And  (P)  Ayyanarpuram  Block  2, 3.Keelaarasaradi  (R.V)  And  (P)  Thuppachipatti  Block  4, 4.Keelaarasaradi  (R.V)  And  (P)  Thuppachipatti  Block  5, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.65289256198347
94,Sankaraperi,"St.Antony's  Matriculation  Hr.  Sec.School, Sangaraperi.","1.(Thoothukudi  Corporation)  Sankaraperi  block1,  (Door  No:  Above  1/130)",Tamilaga Vettri Kazhagam,21.89655172413793
164,Keela  Poovani,"Government  Higher  Secondary  School,  North Building,  West  Side,  1st  Room,  Keela  Poovani","1.Poovani  (R.V)  And  (P)  Keelapoovani  Block  3,
2.Poovani  (R.V)  And  (P)  Keelapoovani  Block  4,
3.Poovani  (R.V)  And  (P)  Keelapoovani  Block  5,
4.Poovani  (R.V)  And  (P)  Keelapoovani  Sethuramalingapuram  Block  6, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,11.18530884808013
166,Chockkalingapuram,"Hindu  Primary  School  South  Portion, Chockkalingapuram","1.Sekkarakudi  2  (R.V)  Sekkarakudi  (P)  Middle  Street,  East  Street  Block  4, 2.Sekkarakudi  2  (R.V)  Sekkarakudi  (P)  West  Street  Block  5,
3.Sekkarakudi  2  (R.V)  Sekkarakudi  (P)  North  Street  Block  6,
4.Sekkarakudi  2  (R.V)  Sekkarakudi  (P)  Chokalingapuram  Ammankovil East  Stret  Block  3,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.23952095808383
167,Sekkarakudi  1,"Govt  Higher  secondary  School,  Teacher  Staff Room,  North  Building  ,  East  Side  from  2nd room  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  7, 2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  East  Street  Block  7,
3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Sekarakudi  Block  9, 4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  East  Street  Block  8,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.340277777777778
168,Sekkarakudi  1,"Govt  Higher  secondary  School,  Teacher  Staff Room,  North  Building  ,  west  side  from  2nd room  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  South  Street  Block  8, 2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  West  Street  Block  8, 3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  East  Street  Block  9,
4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Indaian  Bank  Street  Block  9, 5.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  West  Street  Block  9,
999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,6.59090909090909
169,Sekkarakudi  1,"Govt  Higher  secondary  School,  south Building  1st  Room  from  East,  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  East  Street  Block  13, 2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  West  Street  Block  13, 3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  South  Street  Block  13, 4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  East  Street  Block
14,5.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  West  Street  Block  14, 6.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  14,
7.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Nadusekkarakudi,  South  Street
Block  15,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,8.382526564344746
170,Sekkarakudi  1,"Govt  Higher  secondary  School,  ,Eastern Wing  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Mela  Street  Block  10,
2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  10, 3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Keela  Street  Block  10, 4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  North  street  Block  12, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,3.982300884955752
171,Sekkarakudi  1,"Govt  Higher  secondary  School,  Center building  Middle  Portion,  Sekkarakudi","1.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Main  street  Block  11, 2.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  North  street  Block  11,
3.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  Middle  Street  Block  12,
4.Sekkarakudi  1  (R.V)  Sekkarakudi  (P)  South  Street  Block  12, 999.OVERSEAS  ELECTORS",Amma Makkal Munnettra Kazagam,8.99854862119013
