Serial No. Of Polling Station,Locality,Building  in  Which  it  will  be  Located,Polling  Area,Winner_Party,Margin_Percentage
4,Ilavelangal,"Panchayat  Union  Middle  School,West Building,  Middle  portion,  Ilavelangal","1.Ilavelangal  (R.V)  And  (P)  Kammavar  street  Block  1, 2.Ilavelangal  (R.V)  And  (P)  Jakkammal  street  Block  2,
3.Ilavelangal  (R.V)  And  (P)  Muthalamman  street  Block  3,
999.OVERSEAS  ELECTORS",Puthiya Tamilagam,4.613095238095238
8,Kalappaipatti,"C.M.M.L.  Primary  SchoolMain  Building, Kalappaipatti","1.Kalappaipatti  (R.V)  And  (P)  Kalappaipatti  Block  1, 2.Kalappaipatti  (R.V)  And  (P)  Kalappaipatti  Block  2, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,8.706467661691542
9,Kalappaipatti,"C.M.M.L.  Primary  School,  North  Tiled Building,  Main  Kalappaipatti","1.Kalappaipatti  (R.V)  And  (P)  Ammalpatti  Block  3,
2.Kalappaipatti  (R.V)  And  (P)  Ayyapparajapuram  Block  4, 3.Kalappaipatti  (R.V)  And  (P)  Veppankulam  Block  5, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,3.474320241691843
10,Govindapuram  & Keelakottai,"Noon  Meal  Centre,  Keelakottai","1.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Keela  kottai  south
street  Block  1,  2.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Keela kottai  west  street  Block  1,  3.Govindapuram  &  Keelakottai  (R.V),
Keelakottai  (P)  Keelakottai  middle  street  Block  1,  4.Govindapuram  & Keelakottai  (R.V),  Keelakottai  (P)  Keelakottai  East  street  Block  1, 5.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P)  Gopalapuram
Galaveedu  Block  2,  6.Govindapuram  &  Keelakottai  (R.V),  Keelakottai  (P) Govindapuram  Block  5,
999.OVERSEAS  ELECTORS",Puthiya Tamilagam,30.95823095823096
11,Kailaspuram,"T.N.D.T.A.High  School  North  Building  East postion,  1st  Room  Kailaspuram","1.Kailasapuram  (R.V),  Keelakottai  (P)  First  street  Block  2,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,0.0
12,Kailaspuram,"T.N.D.T.A.High  School  North  Building  East postion,  4th  Room,Kailaspuram","1.Kailasapuram  (R.V),  Keelakottai  (P)  Middle  street  Block  3, 2.Kailasapuram  (R.V),  Keelakottai  (P)  East  street  Block  4, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,11.61137440758294
13,Kodiyankulam,"T.N.D.T.A.Primary  School,  Kodiankulam.","1.Kodiyankulam  (R.V)  And  (P)  North  street  Block  1, 2.Kodiyankulam  (R.V)  And  (P)  East  Street  Block  2, 3.Kodiyankulam  (R.V)  And  (P)  South  Street  Block  3, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,49.21592279855248
14,Puliampatti,"R.C.  Middle  School,East  Building,  South Portion,  Puliampatti","1.Akkanaickanpatti  (R.V)  And  (P)  Ottudanpatti  East  Strett  Block  4, 2.Akkanaickanpatti  (R.V)  And  (P)  Ottudanpatti  West  Street  Block  4, 3.Akkanaickenpatti  (R.V)  And  (P)  Ottudanpatti  North  Street  Block  4, 4.Akkanaickenpatti  (R.V)  And  (P)  Ottudanpatti  South  Street  Block  4, 5.Akkanaickenpatti  (R.V)  And  (P)  Puliampatti  North  Street  Block  5, 6.Akkanaickenpatti  (R.V)  And  (P)  Puliampatti  South  Street  Block  5, 999.OVERSEAS  ELECTORS",Puthiya Tamilagam,29.83651226158038
15,Akkanaickanpatti,"Panchayat  Union  Primary  School,  East Building,Akkanaickanpatti","1.Akkanaickanpatti  (R.V)  And  (P)  East  street  Block  1,
2.Akkanaickanpatti  (R.V)  And  (P)  South  Street  Block  1, 3.Akkanaickanpatti  (R.V)  And  (P)  West  street  Block  3,
4.Akkanaickenpatti  (R.V)  And  (P)  South  Colony  Block  3,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,2.387640449438202
16,Akkanaickanpatti,"Government  High  School,  West  Building Akkanaickanpatti","1.Akkanaickanpatti  (R.V)  And  (P)  North  Street  Block  2, 2.Akkanaickanpatti  (R.V)  And  (P)  North  Colony  Block  3,
3.Akkanaickenpatti  (R.V)  And  (P)  Mela  Maniyachi  Block  6,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,4.590163934426229
